2. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ЗАНЯТИЯМ И ВОЗРАСТНЫМ ГРУППАМ  (на 1000 человек, занятых в соответствующей группе занятий)											
											
											
	В возрасте, лет										В трудоспособном возрасте
Женщины в возрасте 15-64 лет, занятые в экономике 	21.0	99.0	121.0	119.0	132.0	170.0	158.0	124.0	36.0	20.0	943.0
в том числе по группам занятий:											
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	5.0	50.0	87.0	106.0	137.0	194.0	192.0	157.0	50.0	22.0	928.0
специалисты высшего уровня квалификации	7.0	92.0	131.0	125.0	133.0	161.0	148.0	124.0	51.0	28.0	921.0
специалисты среднего уровня квалификации	17.0	108.0	131.0	129.0	134.0	164.0	149.0	118.0	33.0	17.0	950.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	38.0	138.0	126.0	111.0	119.0	157.0	148.0	114.0	32.0	17.0	951.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	46.0	146.0	147.0	131.0	133.0	154.0	128.0	86.0	19.0	10.0	970.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	18.0	66.0	103.0	122.0	155.0	207.0	188.0	121.0	14.0	6.0	979.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	26.0	96.0	112.0	110.0	131.0	183.0	176.0	129.0	27.0	10.0	963.0
операторы, аппаратчики, машинисты установок и машин	16.0	75.0	101.0	109.0	135.0	193.0	189.0	137.0	32.0	13.0	955.0
неквалифицированные рабочие	22.0	68.0	88.0	95.0	124.0	178.0	185.0	158.0	44.0	38.0	917.0
занятые на военной службе	6.0	59.0	112.0	144.0	196.0	250.0	154.0	59.0	14.0	6.0	980.0
лица, неточно указавшие или не указавшие  занятия 	24.0	96.0	115.0	117.0	127.0	166.0	155.0	130.0	43.0	27.0	928.0
Городское население в возрасте 15-64 лет, занятое в экономике 	20.0	106.0	131.0	123.0	127.0	159.0	146.0	118.0	44.0	26.0	954.0
в том числе по группам занятий:											
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	4.0	52.0	106.0	122.0	138.0	176.0	168.0	143.0	59.0	32.0	946.0
специалисты высшего уровня квалификации	7.0	94.0	138.0	123.0	126.0	151.0	142.0	124.0	57.0	38.0	927.0
специалисты среднего уровня квалификации	18.0	117.0	141.0	132.0	127.0	151.0	139.0	114.0	39.0	22.0	954.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	43.0	148.0	133.0	113.0	113.0	146.0	140.0	111.0	34.0	19.0	950.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	42.0	157.0	162.0	142.0	129.0	140.0	113.0	79.0	23.0	13.0	973.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	23.0	97.0	122.0	115.0	133.0	179.0	171.0	116.0	31.0	13.0	975.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	26.0	114.0	126.0	110.0	118.0	159.0	154.0	126.0	45.0	22.0	971.0
операторы, аппаратчики, машинисты установок и машин	11.0	88.0	122.0	127.0	138.0	181.0	162.0	116.0	39.0	16.0	977.0
неквалифицированные рабочие	36.0	100.0	103.0	97.0	110.0	152.0	159.0	143.0	53.0	47.0	919.0
занятые на военной службе	5.0	123.0	173.0	169.0	183.0	192.0	100.0	38.0	12.0	5.0	992.0
лица, неточно указавшие или не указавшие  занятия 	24.0	105.0	127.0	126.0	129.0	156.0	139.0	116.0	49.0	29.0	949.0
Мужчины в возрасте 15-64 лет, занятые в экономике 	20.0	111.0	139.0	128.0	126.0	151.0	135.0	111.0	50.0	29.0	971.0
в том числе по группам занятий:											
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	4.0	51.0	116.0	133.0	141.0	167.0	152.0	133.0	65.0	38.0	962.0
специалисты высшего уровня квалификации	6.0	99.0	151.0	121.0	119.0	136.0	126.0	118.0	69.0	55.0	945.0
специалисты среднего уровня квалификации	20.0	130.0	157.0	141.0	124.0	133.0	118.0	102.0	48.0	27.0	973.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	59.0	177.0	161.0	136.0	107.0	113.0	95.0	80.0	42.0	30.0	969.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	33.0	179.0	191.0	164.0	127.0	117.0	84.0	62.0	27.0	16.0	984.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	26.0	111.0	137.0	122.0	131.0	168.0	154.0	104.0	34.0	13.0	986.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	27.0	121.0	131.0	110.0	113.0	151.0	146.0	124.0	51.0	26.0	974.0
операторы, аппаратчики, машинисты установок и машин	10.0	92.0	127.0	132.0	139.0	177.0	155.0	110.0	41.0	17.0	983.0
неквалифицированные рабочие	62.0	157.0	140.0	112.0	101.0	119.0	113.0	101.0	51.0	44.0	954.0
занятые на военной службе	4.0	140.0	189.0	176.0	180.0	177.0	86.0	32.0	11.0	5.0	995.0
лица, неточно указавшие или не указавшие  занятия 	25.0	113.0	138.0	134.0	131.0	149.0	126.0	102.0	52.0	30.0	969.0
Женщины в возрасте 15-64 лет, занятые в экономике 	21.0	100.0	122.0	118.0	128.0	166.0	157.0	126.0	39.0	23.0	938.0
в том числе по группам занятий:											
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	5.0	53.0	91.0	107.0	134.0	188.0	189.0	157.0	52.0	24.0	924.0
специалисты высшего уровня квалификации	7.0	92.0	132.0	123.0	129.0	159.0	149.0	127.0	52.0	30.0	918.0
специалисты среднего уровня квалификации	17.0	110.0	134.0	128.0	129.0	160.0	148.0	120.0	35.0	19.0	946.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	41.0	145.0	130.0	111.0	114.0	149.0	144.0	114.0	34.0	18.0	948.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	46.0	148.0	149.0	133.0	130.0	150.0	126.0	87.0	20.0	11.0	968.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	17.0	76.0	100.0	103.0	138.0	195.0	195.0	135.0	28.0	13.0	959.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	24.0	92.0	111.0	109.0	130.0	182.0	179.0	133.0	29.0	11.0	960.0
операторы, аппаратчики, машинисты установок и машин	15.0	74.0	101.0	109.0	134.0	192.0	189.0	139.0	33.0	14.0	953.0
неквалифицированные рабочие	20.0	63.0	80.0	87.0	115.0	173.0	188.0	171.0	54.0	49.0	897.0
занятые на военной службе	6.0	57.0	111.0	142.0	195.0	248.0	157.0	62.0	16.0	6.0	978.0
лица, неточно указавшие или не указавшие  занятия 	23.0	95.0	115.0	117.0	126.0	164.0	155.0	132.0	45.0	28.0	926.0
Сельское население в возрасте 15-64 лет, занятое в экономике 	23.0	101.0	119.0	123.0	144.0	179.0	154.0	111.0	33.0	13.0	976.0
в том числе по группам занятий:											
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	4.0	39.0	74.0	102.0	148.0	210.0	196.0	155.0	51.0	21.0	960.0
специалисты высшего уровня квалификации	8.0	93.0	123.0	128.0	147.0	169.0	146.0	116.0	47.0	23.0	948.0
специалисты среднего уровня квалификации	15.0	106.0	123.0	134.0	148.0	172.0	149.0	112.0	29.0	12.0	971.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	26.0	107.0	111.0	115.0	143.0	186.0	160.0	112.0	27.0	13.0	965.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	37.0	151.0	152.0	134.0	141.0	158.0	124.0	78.0	17.0	8.0	983.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	25.0	78.0	109.0	123.0	153.0	198.0	171.0	111.0	23.0	9.0	984.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	31.0	117.0	126.0	116.0	129.0	170.0	153.0	113.0	35.0	10.0	987.0
операторы, аппаратчики, машинисты установок и машин	18.0	93.0	117.0	129.0	153.0	192.0	154.0	101.0	34.0	9.0	990.0
неквалифицированные рабочие	40.0	102.0	113.0	110.0	133.0	169.0	159.0	122.0	37.0	15.0	973.0
занятые на военной службе	4.0	164.0	200.0	176.0	176.0	173.0	76.0	22.0	6.0	3.0	995.0
лица, неточно указавшие или не указавшие  занятия 	35.0	119.0	128.0	120.0	133.0	164.0	145.0	106.0	32.0	18.0	969.0
Мужчины в возрасте 15-64 лет, занятые в экономике 	25.0	107.0	123.0	122.0	139.0	172.0	147.0	109.0	42.0	14.0	985.0
в том числе по группам занятий:											
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	3.0	41.0	79.0	103.0	143.0	200.0	187.0	155.0	61.0	28.0	972.0
специалисты высшего уровня квалификации	6.0	96.0	123.0	109.0	134.0	166.0	147.0	127.0	58.0	34.0	966.0
специалисты среднего уровня квалификации	15.0	116.0	129.0	127.0	134.0	157.0	143.0	116.0	45.0	18.0	982.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	22.0	105.0	123.0	121.0	128.0	158.0	145.0	117.0	51.0	30.0	969.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	22.0	190.0	186.0	151.0	132.0	126.0	91.0	65.0	27.0	10.0	990.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	35.0	95.0	116.0	121.0	147.0	185.0	151.0	101.0	37.0	12.0	987.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	30.0	117.0	127.0	115.0	127.0	166.0	151.0	116.0	40.0	11.0	988.0
операторы, аппаратчики, машинисты установок и машин	18.0	94.0	118.0	130.0	153.0	192.0	152.0	99.0	35.0	9.0	991.0
неквалифицированные рабочие	57.0	124.0	119.0	106.0	119.0	148.0	140.0	115.0	55.0	17.0	981.0
занятые на военной службе	4.0	190.0	221.0	182.0	169.0	151.0	59.0	17.0	5.0	2.0	998.0
лица, неточно указавшие или не указавшие  занятия 	39.0	132.0	137.0	123.0	128.0	155.0	134.0	99.0	36.0	17.0	981.0
Женщины в возрасте 15-64 лет, занятые в экономике 	22.0	94.0	115.0	124.0	149.0	186.0	162.0	113.0	24.0	11.0	965.0
в том числе по группам занятий:											
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	4.0	37.0	68.0	102.0	153.0	220.0	206.0	156.0	39.0	15.0	947.0
специалисты высшего уровня квалификации	9.0	92.0	123.0	137.0	152.0	171.0	145.0	111.0	42.0	18.0	940.0
специалисты среднего уровня квалификации	15.0	103.0	120.0	137.0	153.0	178.0	151.0	110.0	23.0	10.0	967.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	27.0	108.0	109.0	114.0	145.0	189.0	162.0	111.0	24.0	11.0	964.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	42.0	137.0	140.0	128.0	145.0	170.0	136.0	82.0	13.0	7.0	980.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	18.0	64.0	104.0	124.0	157.0	209.0	187.0	119.0	12.0	6.0	982.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	37.0	116.0	120.0	119.0	139.0	189.0	161.0	100.0	14.0	5.0	981.0
операторы, аппаратчики, машинисты установок и машин	20.0	80.0	100.0	112.0	146.0	203.0	186.0	122.0	21.0	10.0	969.0
неквалифицированные рабочие	25.0	80.0	108.0	114.0	145.0	189.0	177.0	129.0	20.0	13.0	966.0
занятые на военной службе	6.0	65.0	118.0	153.0	199.0	257.0	143.0	44.0	9.0	6.0	986.0
лица, неточно указавшие или не указавшие  занятия 	30.0	102.0	117.0	116.0	139.0	176.0	158.0	116.0	26.0	20.0	953.0
