2. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМН И ВЛАДЕНИЮ ЯЗЫКАМИ					
					
	Всего	в том числе указали владение языком			Не указали владение языком
Сельское население	1036.0	49.0	1034.0	18.0	2.0
Магаданская область					
Городское и сельское население	643.0	5.0	640.0	35.0	3.0
Городское население	428.0	4.0	425.0	34.0	3.0
Сельское население	215.0	1.0	215.0	1.0	-
КАМЧАДАЛЫ					
Камчатская область					
Городское и сельское население	1881.0		1879.0	68.0	2.0
Городское население	1030.0		1029.0	50.0	1.0
Сельское население	851.0		850.0	18.0	1.0
Корякский автономный округ					
Городское и сельское население	132.0		132.0	7.0	-
Городское население	80.0		80.0	6.0	-
Сельское население	52.0		52.0	1.0	-
КЕРЕКИ					
Чукотский автономный округ					
Городское и сельское население	3.0	2.0	3.0	3.0	-
Городское население	-	-	-	-	-
Сельское население	3.0	2.0	3.0	3.0	-
КЕТЫ					
Красноярский край					
Городское и сельское население	1189.0	365.0	1186.0	25.0	-
Городское население	199.0	39.0	199.0	12.0	-
Сельское население	990.0	326.0	987.0	13.0	-
КОРЯКИ					
Территории преимущественного проживания КМН					
Городское и сельское население	8271.0	2549.0	8142.0	214.0	86.0
Городское население	2368.0	522.0	2351.0	135.0	15.0
Сельское население	5903.0	2027.0	5791.0	79.0	71.0
Камчатская область					
Городское и сельское население	7328.0	2115.0	7214.0	175.0	82.0
Городское население	1998.0	379.0	1984.0	112.0	12.0
Сельское население	5330.0	1736.0	5230.0	63.0	70.0
Корякский автономный округ					
Городское и сельское население	6710.0	1978.0	6597.0	123.0	81.0
Городское население	1611.0	303.0	1597.0	78.0	12.0
Сельское население	5099.0	1675.0	5000.0	45.0	69.0
Магаданская область					
Городское и сельское население	888.0	432.0	875.0	26.0	4.0
Городское население	346.0	141.0	343.0	19.0	3.0
Сельское население	542.0	291.0	532.0	7.0	1.0
Чукотский автономный округ					
Городское и сельское население	55.0	2.0	53.0	13.0	-
Городское население	24.0	2.0	24.0	4.0	-
Сельское население	31.0	-	29.0	9.0	-
КУМАНДИНЦЫ					
Территории преимущественного проживания КМН					
Городское и сельское население	2888.0	931.0	2880.0	261.0	1.0
Городское население	1522.0	426.0	1518.0	155.0	-
Сельское население	1366.0	505.0	1362.0	106.0	1.0
Алтайский край					
Городское и сельское население	1663.0	581.0	1659.0	84.0	-
Городское население	831.0	222.0	829.0	61.0	-
Сельское население	832.0	359.0	830.0	23.0	-
Республика Алтай					
Городское и сельское население	931.0	315.0	927.0	138.0	1.0
Городское население	445.0	178.0	443.0	59.0	-
Сельское население	486.0	137.0	484.0	79.0	1.0
Кемеровская область					
Городское и сельское население	294.0	35.0	294.0	39.0	-
Городское население	246.0	26.0	246.0	35.0	-
Сельское население	48.0	9.0	48.0	4.0	-
МАНСИ					
Территории преимущественного проживания КМН					
Городское и сельское население	10831.0	2202.0	10737.0	418.0	67.0
Городское население	5497.0	553.0	5461.0	246.0	28.0
Сельское население	5334.0	1649.0	5276.0	172.0	39.0
Тюменская область					
Городское и сельское население	10561.0	2102.0	10470.0	398.0	66.0
Городское население	5357.0	540.0	5322.0	229.0	27.0
Сельское население	5204.0	1562.0	5148.0	169.0	39.0
Ханты-Мансийский автономный округ – Югра					
Городское и сельское население	9894.0	2007.0	9804.0	339.0	65.0
Городское население	4865.0	490.0	4831.0	178.0	26.0
Сельское население	5029.0	1517.0	4973.0	161.0	39.0
Свердловская область					
Городское и сельское население	259.0	97.0	256.0	18.0	1.0
Городское население	130.0	11.0	129.0	15.0	1.0
Сельское население	129.0	86.0	127.0	3.0	-
Республика Коми					
Городское и сельское население	11.0	3.0	11.0	2.0	-
Городское население	10.0	2.0	10.0	2.0	-
Сельское население	1.0	1.0	1.0	-	-
НАГАЙБАКИ					
Челябинская область					
Городское и сельское население	9087.0	7000.0	8949.0	363.0	24.0
Городское население	1447.0	709.0	1443.0	211.0	-
Сельское население	7640.0	6291.0	7506.0	152.0	24.0
НАНАЙЦЫ					
Территории преимущественного проживания КМН					
Городское и сельское население	11569.0	3068.0	11523.0	394.0	41.0
Городское население	3278.0	657.0	3267.0	275.0	9.0
Сельское население	8291.0	2411.0	8256.0	119.0	32.0
Хабаровский край					
Городское и сельское население	10993.0	3027.0	10949.0	363.0	39.0
Городское население	3002.0	628.0	2992.0	248.0	8.0
Сельское население	7991.0	2399.0	7957.0	115.0	31.0
Приморский край					
Городское и сельское население	417.0	15.0	416.0	19.0	1.0
Городское население	142.0	8.0	141.0	15.0	1.0
Сельское население	275.0	7.0	275.0	4.0	-
Сахалинская область					
Городское и сельское население	159.0	26.0	158.0	12.0	1.0
Городское население	134.0	21.0	134.0	12.0	-
Сельское население	25.0	5.0	24.0	-	1.0
НГАНАСАНЫ					
Красноярский край					
Городское и сельское население	811.0	406.0	803.0	73.0	1.0
Городское население	147.0	57.0	147.0	16.0	-
Сельское население	664.0	349.0	656.0	57.0	1.0
Таймырский (Долгано-Ненецкий) автономный округ					
Городское и сельское население	766.0	390.0	758.0	69.0	1.0
Городское население	111.0	43.0	111.0	14.0	-
Сельское население	655.0	347.0	647.0	55.0	1.0
НЕГИДАЛЬЦЫ					
Хабаровский край					
Городское и сельское население	505.0	35.0	505.0	18.0	-
Городское население	115.0	15.0	115.0	9.0	-
Сельское население	390.0	20.0	390.0	9.0	-
НЕНЦЫ					
Территории преимущественного проживания КМН					
Городское и сельское население	39813.0	28128.0	35211.0	2905.0	663.0
Городское население	6781.0	3308.0	6483.0	710.0	83.0
Сельское население	33032.0	24820.0	28728.0	2195.0	580.0
Ямало-Ненецкий автономный округ					
Городское и сельское население	26435.0	22601.0	22424.0	783.0	593.0
Городское население	3616.0	2304.0	3486.0	212.0	74.0
Сельское население	22819.0	20297.0	18938.0	571.0	519.0
Архангельская область					
Городское и сельское население	8326.0	2660.0	8123.0	1465.0	3.0
Городское население	1822.0	455.0	1737.0	271.0	2.0
Сельское население	6504.0	2205.0	6386.0	1194.0	1.0
Ненецкий автономный округ					
Городское и сельское население	7754.0	2509.0	7553.0	1419.0	2.0
Городское население	1582.0	401.0	1499.0	232.0	1.0
Сельское население	6172.0	2108.0	6054.0	1187.0	1.0
Таймырский (Долгано-Ненецкий) автономный округ					
Городское и сельское население	3054.0	2187.0	2761.0	63.0	56.0
Городское население	390.0	172.0	388.0	26.0	-
Сельское население	2664.0	2015.0	2373.0	37.0	56.0
Ханты-Мансийский автономный округ – Югра					
Городское и сельское население	1290.0	337.0	1278.0	378.0	4.0
Городское население	329.0	46.0	329.0	31.0	-
Сельское население	961.0	291.0	949.0	347.0	4.0
Республика Коми					
Городское и сельское население	708.0	343.0	625.0	216.0	7.0
Городское население	624.0	331.0	543.0	170.0	7.0
Сельское население	84.0	12.0	82.0	46.0	-
НИВХИ					
Территории преимущественного проживания КМН					
Городское и сельское население	4902.0	477.0	4887.0	134.0	15.0
Городское население	2291.0	281.0	2287.0	109.0	4.0
Сельское население	2611.0	196.0	2600.0	25.0	11.0
Хабаровский край					
Городское и сельское население	2452.0	193.0	2444.0	94.0	8.0
Городское население	969.0	92.0	968.0	75.0	1.0
Сельское население	1483.0	101.0	1476.0	19.0	7.0
Сахалинская область					
Городское и сельское население	2450.0	284.0	2443.0	40.0	7.0
Городское население	1322.0	189.0	1319.0	34.0	3.0
Сельское население	1128.0	95.0	1124.0	6.0	4.0
ОРОЧИ					
Хабаровский край					
Городское и сельское население	426.0	18.0	425.0	13.0	1.0
Городское население	150.0	5.0	150.0	6.0	-
Сельское население	276.0	13.0	275.0	7.0	1.0
СААМЫ					
Мурманская область					
Городское и сельское население	1769.0	568.0	1766.0	161.0	3.0
Городское население	680.0	172.0	680.0	80.0	-
Сельское население	1089.0	396.0	1086.0	81.0	3.0
СЕЛЬКУПЫ					
Территории преимущественного проживания КМН					
Городское и сельское население	4056.0	1243.0	4016.0	241.0	25.0
Городское население	645.0	125.0	644.0	66.0	1.0
Сельское население	3411.0	1118.0	3372.0	175.0	24.0
Тюменская область					
Городское и сельское население	1857.0	1142.0	1818.0	156.0	24.0
Городское население	275.0	112.0	274.0	34.0	1.0
Сельское население	1582.0	1030.0	1544.0	122.0	23.0
Ямало-Ненецкий автономный округ					
Городское и сельское население	1797.0	1127.0	1758.0	152.0	24.0
Городское население	228.0	100.0	227.0	31.0	1.0
Сельское население	1569.0	1027.0	1531.0	121.0	23.0
Томская область					
Городское и сельское население	1787.0	44.0	1786.0	52.0	1.0
Городское население	312.0	5.0	312.0	22.0	-
Сельское население	1475.0	39.0	1474.0	30.0	1.0
Красноярский край					
Городское и сельское население	412.0	57.0	412.0	33.0	-
Городское население	58.0	8.0	58.0	10.0	-
Сельское население	354.0	49.0	354.0	23.0	-
СОЙОТЫ					
Республика Бурятия					
Городское и сельское население	2739.0	2623.0	2429.0	87.0	39.0
Городское население	232.0	186.0	230.0	48.0	-
Сельское население	2507.0	2437.0	2199.0	39.0	39.0
ТАЗЫ					
Приморский край					
Городское и сельское население	256.0	5.0	256.0	7.0	-
Городское население	90.0	3.0	90.0	6.0	-
Сельское население	166.0	2.0	166.0	1.0	-
ТЕЛЕНГИТЫ					
Республика Алтай					
Городское и сельское население	2368.0	2314.0	1999.0	160.0	19.0
Городское население	87.0	74.0	86.0	15.0	-
Сельское население	2281.0	2240.0	1913.0	145.0	19.0
ТЕЛЕУТЫ					
Кемеровская область					
Городское и сельское население	2534.0	1717.0	2530.0	71.0	2.0
Городское население	1044.0	654.0	1043.0	44.0	-
Сельское население	1490.0	1063.0	1487.0	27.0	2.0
ТОФАЛАРЫ					
Иркутская область					
Городское и сельское население	723.0	114.0	723.0	3.0	-
Городское население	42.0	3.0	42.0	3.0	-
Сельское население	681.0	111.0	681.0	-	-
ТУБАЛАРЫ					
Республика Алтай					
Городское и сельское население	1533.0	408.0	1530.0	289.0	1.0
Городское население	120.0	18.0	120.0	58.0	-
Сельское население	1413.0	390.0	1410.0	231.0	1.0
ТУВИНЦЫ-ТОДЖИНЦЫ					
Республика Тыва					
Городское и сельское население	4435.0	4406.0	3552.0	243.0	10.0
Городское население	3.0	2.0	3.0	1.0	-
Сельское население	4432.0	4404.0	3549.0	242.0	10.0
УДЭГЕЙЦЫ					
Территории преимущественного проживания КМН					
Городское и сельское население	1531.0	140.0	1527.0	68.0	4.0
Городское население	337.0	39.0	337.0	36.0	-
Сельское население	1194.0	101.0	1190.0	32.0	4.0
Приморский край					
Городское и сельское население	918.0	51.0	916.0	20.0	2.0
Городское население	178.0	18.0	178.0	16.0	-
Сельское население	740.0	33.0	738.0	4.0	2.0
Хабаровский край					
Городское и сельское население	613.0	89.0	611.0	48.0	2.0
Городское население	159.0	21.0	159.0	20.0	-
Сельское население	454.0	68.0	452.0	28.0	2.0
УЛЬТА (ОРОКИ)					
Сахалинская область					
Городское и сельское население	298.0	11.0	297.0	34.0	1.0
Городское население	169.0	4.0	168.0	14.0	1.0
Сельское население	129.0	7.0	129.0	20.0	-
УЛЬЧИ					
Хабаровский край					
Городское и сельское население	2718.0	363.0	2710.0	95.0	7.0
Городское население	413.0	55.0	412.0	59.0	-
Сельское население	2305.0	308.0	2298.0	36.0	7.0
ХАНТЫ					
Территории преимущественного проживания КМН					
Городское и сельское население	27655.0	12221.0	26884.0	1231.0	275.0
Городское население	9190.0	2306.0	9061.0	496.0	61.0
Сельское население	18465.0	9915.0	17823.0	735.0	214.0
Тюменская область					
Городское и сельское население	26694.0	12112.0	25935.0	1205.0	273.0
Городское население	8924.0	2242.0	8806.0	479.0	60.0
Сельское население	17770.0	9870.0	17129.0	726.0	213.0
Ханты-Мансийский автономный округ – Югра					
Городское и сельское население	17128.0	5908.0	16826.0	518.0	151.0
Городское население	6798.0	1371.0	6704.0	301.0	45.0
Сельское население	10330.0	4537.0	10122.0	217.0	106.0
Ямало-Ненецкий автономный округ					
Городское и сельское население	8760.0	6010.0	8328.0	628.0	117.0
Городское население	1657.0	777.0	1637.0	125.0	13.0
Сельское население	7103.0	5233.0	6691.0	503.0	104.0
Томская область					
Городское и сельское население	873.0	53.0	872.0	19.0	1.0
Городское население	186.0	12.0	186.0	12.0	-
Сельское население	687.0	41.0	686.0	7.0	1.0
Республика Коми					
Городское и сельское население	88.0	56.0	77.0	7.0	1.0
Городское население	80.0	52.0	69.0	5.0	1.0
Сельское население	8.0	4.0	8.0	2.0	-
ЧЕЛКАНЦЫ					
Республика Алтай					
Городское и сельское население	830.0	466.0	817.0	164.0	4.0
Городское население	113.0	60.0	113.0	35.0	-
Сельское население	717.0	406.0	704.0	129.0	4.0
ЧУВАНЦЫ					
Территории преимущественного проживания КМН					
Городское и сельское население	990.0	88.0	985.0	55.0	5.0
Городское население	295.0	27.0	295.0	33.0	-
Сельское население	695.0	61.0	690.0	22.0	5.0
Чукотский автономный округ					
Городское и сельское население	951.0	88.0	946.0	52.0	5.0
Городское население	259.0	27.0	259.0	30.0	-
Сельское население	692.0	61.0	687.0	22.0	5.0
Магаданская область					
Городское и сельское население	39.0		39.0	3.0	-
Городское население	36.0		36.0	3.0	-
Сельское население	3.0		3.0	-	-
ЧУКЧИ					
Территории преимущественного проживания КМН					
Городское и сельское население	14034.0	6418.0	13619.0	368.0	271.0
Городское население	2320.0	725.0	2306.0	159.0	11.0
Сельское население	11714.0	5693.0	11313.0	209.0	260.0
Чукотский автономный округ					
Городское и сельское население	12622.0	5555.0	12271.0	288.0	221.0
Городское население	2264.0	715.0	2250.0	137.0	11.0
Сельское население	10358.0	4840.0	10021.0	151.0	210.0
Корякский автономный округ					
Городское и сельское население	1412.0	863.0	1348.0	80.0	50.0
Городское население	56.0	10.0	56.0	22.0	-
Сельское население	1356.0	853.0	1292.0	58.0	50.0
ЧУЛЫМЦЫ					
Территории преимущественного проживания КМН					
Городское и сельское население	643.0	113.0	643.0	7.0	-
Городское население	44.0	10.0	44.0	2.0	-
Сельское население	599.0	103.0	599.0	5.0	-
Томская область					
Городское и сельское население	484.0	73.0	484.0	4.0	-
Городское население	33.0	4.0	33.0	1.0	-
Сельское население	451.0	69.0	451.0	3.0	-
Красноярский край					
Городское и сельское население	159.0	40.0	159.0	3.0	-
Городское население	11.0	6.0	11.0	1.0	-
Сельское население	148.0	34.0	148.0	2.0	-
ШАПСУГИ					
Краснодарский край					
Городское и сельское население	3213.0	3030.0	3151.0	116.0	16.0
Городское население	792.0	679.0	788.0	92.0	4.0
Сельское население	2421.0	2351.0	2363.0	24.0	12.0
ШОРЦЫ					
Территории преимущественного проживания КМН					
Городское и сельское население	12773.0	5473.0	12735.0	578.0	11.0
Городское население	9094.0	3215.0	9081.0	465.0	9.0
Сельское население	3679.0	2258.0	3654.0	113.0	2.0
Кемеровская область 					
Городское и сельское население	11554.0	4936.0	11521.0	409.0	11.0
Городское население	8545.0	2988.0	8533.0	381.0	9.0
Сельское население	3009.0	1948.0	2988.0	28.0	2.0
Республика Хакасия					
Городское и сельское население	1078.0	487.0	1074.0	160.0	-
Городское население	531.0	224.0	530.0	79.0	-
Сельское население	547.0	263.0	544.0	81.0	-
Республика Алтай					
Городское и сельское население	141.0	50.0	140.0	9.0	-
Городское население	18.0	3.0	18.0	5.0	-
Сельское население	123.0	47.0	122.0	4.0	-
ЭВЕНКИ					
Территории преимущественного проживания КМН					
Городское и сельское население	34610.0	6780.0	32511.0	17199.0	188.0
Городское население	7901.0	1344.0	7778.0	3492.0	34.0
Сельское население	26709.0	5436.0	24733.0	13707.0	154.0
Республика Саха (Якутия)					
Городское и сельское население	18232.0	1384.0	16241.0	15578.0	137.0
Городское население	4221.0	363.0	4103.0	2931.0	31.0
Сельское население	14011.0	1021.0	12138.0	12647.0	106.0
Красноярский край					
Городское и сельское население	4632.0	2359.0	4598.0	297.0	16.0
Городское население	1438.0	612.0	1435.0	190.0	2.0
Сельское население	3194.0	1747.0	3163.0	107.0	14.0
Эвенкийский автономный округ					
Городское и сельское население	3802.0	2029.0	3771.0	198.0	14.0
Городское население	1079.0	519.0	1077.0	134.0	1.0
Сельское население	2723.0	1510.0	2694.0	64.0	13.0
Хабаровский край					
Городское и сельское население	4533.0	791.0	4522.0	360.0	7.0
Городское население	699.0	64.0	699.0	96.0	-
Сельское население	3834.0	727.0	3823.0	264.0	7.0
Республика Бурятия					
Городское и сельское население	2334.0	757.0	2300.0	519.0	10.0
Городское население	662.0	143.0	661.0	131.0	-
Сельское население	1672.0	614.0	1639.0	388.0	10.0
Амурская область					
Городское и сельское население	1501.0	833.0	1485.0	78.0	8.0
Городское население	174.0	43.0	174.0	28.0	-
Сельское население	1327.0	790.0	1311.0	50.0	8.0
Читинская область					
Городское и сельское население	1492.0	272.0	1486.0	182.0	3.0
Городское население	213.0	36.0	213.0	44.0	-
Сельское население	1279.0	236.0	1273.0	138.0	3.0
Иркутская область					
Городское и сельское население	1431.0	341.0	1425.0	122.0	6.0
Городское население	350.0	63.0	349.0	51.0	1.0
Сельское население	1081.0	278.0	1076.0	71.0	5.0
Сахалинская область					
Городское и сельское население	243.0	24.0	242.0	16.0	1.0
Городское население	89.0	12.0	89.0	10.0	-
Сельское население	154.0	12.0	153.0	6.0	1.0
Томская область					
Городское и сельское население	103.0	9.0	103.0	6.0	-
Городское население	19.0	4.0	19.0	3.0	-
Сельское население	84.0	5.0	84.0	3.0	-
Тюменская область					
Городское и сельское население	109.0	10.0	109.0	41.0	-
Городское население	36.0	4.0	36.0	8.0	-
Сельское население	73.0	6.0	73.0	33.0	-
ЭВЕНЫ					
Территории преимущественного проживания КМН					
Городское и сельское население	18642.0	6080.0	17358.0	9869.0	119.0
Городское население	5831.0	1379.0	5679.0	2727.0	38.0
Сельское население	12811.0	4701.0	11679.0	7142.0	81.0
Республика Саха (Якутия)					
Городское и сельское население	11657.0	3272.0	10430.0	9449.0	81.0
Городское население	3569.0	777.0	3434.0	2532.0	27.0
Сельское население	8088.0	2495.0	6996.0	6917.0	54.0
Магаданская область 					
Городское и сельское население	2527.0	994.0	2509.0	117.0	9.0
Городское население	1415.0	402.0	1402.0	96.0	8.0
Сельское население	1112.0	592.0	1107.0	21.0	1.0
Камчатская область 					
Городское и сельское население	1779.0	789.0	1756.0	94.0	20.0
Городское население	277.0	73.0	276.0	38.0	1.0
Сельское население	1502.0	716.0	1480.0	56.0	19.0
Корякский автономный округ					
Городское и сельское население	751.0	319.0	731.0	58.0	18.0
Городское население	117.0	33.0	117.0	18.0	-
Сельское население	634.0	286.0	614.0	40.0	18.0
Чукотский автономный округ					
Городское и сельское население	1407.0	511.0	1400.0	102.0	4.0
Городское население	313.0	78.0	311.0	34.0	1.0
Сельское население	1094.0	433.0	1089.0	68.0	3.0
Хабаровский край					
Городское и сельское население	1272.0	514.0	1263.0	107.0	5.0
Городское население	257.0	49.0	256.0	27.0	1.0
Сельское население	1015.0	465.0	1007.0	80.0	4.0
ЭНЦЫ					
Таймырский (Долгано-Ненецкий) автономный округ					
Городское и сельское население	197.0	66.0	191.0	71.0	1.0
Городское население	24.0	10.0	24.0	6.0	-
Сельское население	173.0	56.0	167.0	65.0	1.0
ЭСКИМОСЫ					
Территории преимущественного проживания КМН					
Городское и сельское население	1537.0	236.0	1511.0	443.0	26.0
Городское население	394.0	31.0	392.0	92.0	2.0
Сельское население	1143.0	205.0	1119.0	351.0	24.0
Чукотский автономный округ					
Городское и сельское население	1534.0	236.0	1508.0	442.0	26.0
Городское население	394.0	31.0	392.0	92.0	2.0
Сельское население	1140.0	205.0	1116.0	350.0	24.0
Корякский автономный округ					
Городское и сельское население	3.0	-	3.0	1.0	-
Городское население	-	-	-	-	-
Сельское население	3.0	-	3.0	1.0	-
ЮКАГИРЫ					
Территории преимущественного проживания КМН					
Городское и сельское население	1176.0	323.0	1125.0	685.0	2.0
Городское население	494.0	110.0	480.0	275.0	-
Сельское население	682.0	213.0	645.0	410.0	2.0
Республика Саха (Якутия)					
Городское и сельское население	1097.0	310.0	1046.0	677.0	2.0
Городское население	426.0	99.0	412.0	269.0	-
Сельское население	671.0	211.0	634.0	408.0	2.0
Магаданская область					
Городское и сельское население	79.0	13.0	79.0	8.0	-
Городское население	68.0	11.0	68.0	6.0	-
Сельское население	11.0	2.0	11.0	2.0	-
