3. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ТИПАМ, РАЗМЕРУ И ЧИСЛУ ДЕТЕЙ МОЛОЖЕ 18 ЛЕТ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Число частных домохозяйств	В них чис-ленность членов домохозяйств	Из общего числа домохозяйств – домохозяйства, состоящие из					Средний размер домохозяйства, человек
в том числе домохозяйства:								
с 1 ребенком	73771.0	158301.0	64031.0	8839.0	804.0	80.0	17.0	2.14584321752
с 2 детьми	11449.0	35611.0		10395.0	891.0	129.0	34.0	3.11040265525
с 3 и более детьми	1611.0	7167.0			1154.0	289.0	168.0	4.44878957169
в них детей		5234.0			3462.0	1028.0	744.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	357621.0	1150760.0		288641.0	61844.0	5856.0	1280.0	3.21781998261
из них домохозяйства, имеющие детей моложе 18 лет	273799.0	890414.0		213387.0	53563.0	5590.0	1259.0	3.25207177528
в том числе домохозяйства:								
с 1 ребенком	231370.0	713130.0		213387.0	17014.0	912.0	57.0	3.0822059904
с 2 детьми	38204.0	154657.0			36549.0	1496.0	159.0	4.04818867134
с 3 и более детьми	4225.0	22627.0				3182.0	1043.0	5.35550295858
в них детей		13679.0				9546.0	4133.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	449183.0	1740201.0		189922.0	174898.0	56208.0	28155.0	3.87414706256
из них домохозяйства, имеющие детей моложе 18 лет	310926.0	1264983.0		96770.0	138631.0	50204.0	25321.0	4.06843750603
в том числе домохозяйства:								
с 1 ребенком	221948.0	829145.0		94578.0	100871.0	20693.0	5806.0	3.73576243084
с 2 детьми	71872.0	329621.0		2192.0	37057.0	24101.0	8522.0	4.5862227293
с 3 и более детьми	17106.0	106217.0			703.0	5410.0	10993.0	6.20934175143
в них детей		57927.0			2109.0	16361.0	39457.0	
Прочие домохозяйства	897061.0	2708415.0	645785.0	124710.0	47977.0	15408.0	63181.0	3.01920939602
из них домохозяйства, имеющие детей моложе 18 лет	124504.0	405212.0	59797.0	35683.0	16004.0	5352.0	7668.0	3.25461029365
в том числе домохозяйства:								
с 1 ребенком	94974.0	278912.0	53656.0	26033.0	8977.0	2540.0	3768.0	2.93671952324
с 2 детьми	20812.0	76066.0	6141.0	6990.0	4391.0	1639.0	1651.0	3.65491062848
с 3 и более детьми	8718.0	50234.0		2660.0	2636.0	1173.0	2249.0	5.7621013994
в них детей		34213.0		7980.0	9080.0	4273.0	12880.0	
Белгородская область								
Все домохозяйства	429213.0	1366887.0	150070.0	131265.0	95033.0	33858.0	18987.0	3.18463560051
из них домохозяйства, имеющие детей моложе 18 лет	221438.0	847853.0	18330.0	77613.0	76670.0	30595.0	18230.0	3.82885051346
в том числе домохозяйства:								
с 1 ребенком	148762.0	512549.0	18133.0	72646.0	37522.0	15578.0	4883.0	3.4454296124
с 2 детьми	62870.0	276927.0	197.0	4878.0	38482.0	10788.0	8525.0	4.4047558454
с 3 и более детьми	9806.0	58377.0		89.0	666.0	4229.0	4822.0	5.95319192331
в них детей		32598.0		267.0	2029.0	12790.0	17512.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	305083.0	981203.0	88338.0	103530.0	82773.0	22986.0	7456.0	3.21618379261
из них домохозяйства, имеющие детей моложе 18 лет	156527.0	605285.0		59457.0	68728.0	21166.0	7176.0	3.866968638
в том числе домохозяйства:								
с 1 ребенком	101803.0	358139.0		59457.0	33444.0	7637.0	1265.0	3.51796116028
с 2 детьми	47850.0	207224.0			35284.0	9846.0	2720.0	4.33070010449
с 3 и более детьми	6874.0	39922.0				3683.0	3191.0	5.80768111725
в них детей		22695.0				11049.0	11646.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	20656.0	114602.0			2531.0	8363.0	9762.0	5.54812161115
из них домохозяйства, имеющие детей моложе 18 лет	16668.0	96835.0				7210.0	9458.0	5.80963522918
в том числе домохозяйства:								
с 1 ребенком	10522.0	56465.0				7210.0	3312.0	5.36637521384
с 2 детьми	5243.0	33170.0					5243.0	6.32653061224
с 3 и более детьми	903.0	7200.0					903.0	7.97342192691
в них детей		3000.0					3000.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	535.0	4536.0					535.0	8.4785046729
из них домохозяйства, имеющие детей моложе 18 лет	481.0	4166.0					481.0	8.66112266112
в том числе домохозяйства:								
с 1 ребенком	145.0	1073.0					145.0	7.4
с 2 детьми	203.0	1702.0					203.0	8.3842364532
с 3 и более детьми	133.0	1391.0					133.0	10.4586466165
в них детей		500.0					500.0	
Домохозяйства, состоящие из матери с детьми	51894.0	117927.0	39841.0	10413.0	1337.0	213.0	90.0	2.27245924384
из них домохозяйства, имеющие детей моложе 18 лет	24684.0	60380.0	15568.0	7645.0	1184.0	200.0	87.0	2.44611894345
в том числе домохозяйства:								
с 1 ребенком	19179.0	42306.0	15568.0	3302.0	283.0	24.0	2.0	2.2058501486
с 2 детьми	4758.0	14738.0		4343.0	373.0	35.0	7.0	3.09751996637
с 3 и более детьми	747.0	3336.0			528.0	141.0	78.0	4.46586345382
в них детей		2451.0			1584.0	503.0	364.0	
Домохозяйства, состоящие из отца с детьми	5122.0	11321.0	4202.0	799.0	95.0	18.0	8.0	2.21026942601
из них домохозяйства, имеющие детей моложе 18 лет	1594.0	3885.0	1037.0	453.0	78.0	18.0	8.0	2.43726474279
в том числе домохозяйства:								
с 1 ребенком	1306.0	2922.0	1037.0	235.0	29.0	3.0	2.0	2.23736600306
с 2 детьми	242.0	756.0		218.0	19.0	4.0	1.0	3.12396694215
с 3 и более детьми	46.0	207.0			30.0	11.0	5.0	4.5
в них детей		150.0			90.0	39.0	21.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	9785.0	32090.0		7456.0	2018.0	247.0	64.0	3.27950945324
из них домохозяйства, имеющие детей моложе 18 лет	7692.0	25527.0		5633.0	1760.0	237.0	62.0	3.31864274571
в том числе домохозяйства:								
с 1 ребенком	6220.0	19283.0		5633.0	551.0	36.0	-	3.1001607717
с 2 детьми	1274.0	5170.0			1209.0	58.0	7.0	4.05808477237
с 3 и более детьми	198.0	1074.0				143.0	55.0	5.42424242424
в них детей		649.0				429.0	220.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	14180.0	54725.0		6071.0	5439.0	1774.0	896.0	3.85930888575
из них домохозяйства, имеющие детей моложе 18 лет	10548.0	42559.0		3488.0	4570.0	1631.0	859.0	4.03479332575
в том числе домохозяйства:								
с 1 ребенком	7191.0	26316.0		3398.0	3041.0	615.0	137.0	3.65957446809
с 2 детьми	2695.0	12189.0		90.0	1502.0	790.0	313.0	4.52282003711
с 3 и более детьми	662.0	4054.0			27.0	226.0	409.0	6.12386706949
в них детей		2258.0			81.0	684.0	1493.0	
Прочие домохозяйства	21958.0	50483.0	17689.0	2996.0	840.0	257.0	176.0	2.29907095364
из них домохозяйства, имеющие детей моложе 18 лет	3244.0	9216.0	1725.0	937.0	350.0	133.0	99.0	2.84093711467
в том числе домохозяйства:								
с 1 ребенком	2396.0	6045.0	1528.0	621.0	174.0	53.0	20.0	2.52295492487
с 2 детьми	605.0	1978.0	197.0	227.0	95.0	55.0	31.0	3.2694214876
с 3 и более детьми	243.0	1193.0		89.0	81.0	25.0	48.0	4.90946502058
в них детей		895.0		267.0	274.0	86.0	268.0	
Брянская область								
Все домохозяйства	395653.0	1236761.0	144722.0	120880.0	87754.0	28516.0	13781.0	3.125872924
из них домохозяйства, имеющие детей моложе 18 лет	202142.0	758599.0	18852.0	72225.0	72042.0	25829.0	13194.0	3.75280248538
в том числе домохозяйства:								
с 1 ребенком	132329.0	445220.0	18455.0	66385.0	32365.0	11821.0	3303.0	3.36449304385
с 2 детьми	59292.0	252411.0	397.0	5594.0	38738.0	9254.0	5309.0	4.25708358632
с 3 и более детьми	10521.0	60968.0		246.0	939.0	4754.0	4582.0	5.79488641764
в них детей		35683.0		738.0	2927.0	14412.0	17606.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	272517.0	879148.0	79401.0	90208.0	75160.0	20860.0	6888.0	3.22602993575
из них домохозяйства, имеющие детей моложе 18 лет	140939.0	547427.0		52208.0	62901.0	19185.0	6645.0	3.88414136612
в том числе домохозяйства:								
с 1 ребенком	88126.0	309639.0		52208.0	27930.0	6849.0	1139.0	3.51359417198
с 2 детьми	45474.0	195163.0			34971.0	8221.0	2282.0	4.29174913137
с 3 и более детьми	7339.0	42625.0				4115.0	3224.0	5.80801199073
в них детей		24587.0				12345.0	12242.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	11635.0	64466.0			1481.0	4900.0	5254.0	5.54069617533
из них домохозяйства, имеющие детей моложе 18 лет	9257.0	53828.0				4193.0	5064.0	5.81484282165
в том числе домохозяйства:								
с 1 ребенком	6118.0	32846.0				4193.0	1925.0	5.36874795685
с 2 детьми	2622.0	16708.0					2622.0	6.37223493516
с 3 и более детьми	517.0	4274.0					517.0	8.2669245648
в них детей		1769.0					1769.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	259.0	2299.0					259.0	8.87644787645
из них домохозяйства, имеющие детей моложе 18 лет	229.0	2102.0					229.0	9.17903930131
в том числе домохозяйства:								
с 1 ребенком	64.0	477.0					64.0	7.453125
с 2 детьми	91.0	769.0					91.0	8.45054945055
с 3 и более детьми	74.0	856.0					74.0	11.5675675676
в них детей		306.0					306.0	
Домохозяйства, состоящие из матери с детьми	54371.0	125014.0	40854.0	11450.0	1614.0	311.0	142.0	2.29927718821
из них домохозяйства, имеющие детей моложе 18 лет	25173.0	62879.0	15138.0	8198.0	1410.0	286.0	141.0	2.49787470703
в том числе домохозяйства:								
с 1 ребенком	18782.0	41578.0	15138.0	3312.0	300.0	26.0	6.0	2.21371525929
с 2 детьми	5404.0	16829.0		4886.0	435.0	70.0	13.0	3.11417468542
с 3 и более детьми	987.0	4472.0			675.0	190.0	122.0	4.53090172239
в них детей		3306.0			2025.0	686.0	595.0	
Домохозяйства, состоящие из отца с детьми	5413.0	12058.0	4387.0	864.0	132.0	22.0	8.0	2.22760022169
из них домохозяйства, имеющие детей моложе 18 лет	1829.0	4480.0	1180.0	517.0	105.0	19.0	8.0	2.4494259158
в том числе домохозяйства:								
с 1 ребенком	1474.0	3296.0	1180.0	247.0	41.0	5.0	1.0	2.23609226594
с 2 детьми	301.0	940.0		270.0	27.0	3.0	1.0	3.12292358804
с 3 и более детьми	54.0	244.0			37.0	11.0	6.0	4.51851851852
в них детей		174.0			111.0	39.0	24.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	11539.0	37841.0		8784.0	2408.0	272.0	75.0	3.27940029465
из них домохозяйства, имеющие детей моложе 18 лет	9166.0	30399.0		6722.0	2107.0	263.0	74.0	3.31649574515
в том числе домохозяйства:								
с 1 ребенком	7363.0	22777.0		6722.0	598.0	40.0	3.0	3.09344017384
с 2 детьми	1582.0	6422.0			1509.0	60.0	13.0	4.05941845765
с 3 и более детьми	221.0	1200.0				163.0	58.0	5.42986425339
в них детей		724.0				489.0	235.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	15025.0	58404.0		6124.0	5988.0	1965.0	948.0	3.88712146423
из них домохозяйства, имеющие детей моложе 18 лет	11092.0	45204.0		3345.0	5029.0	1806.0	912.0	4.07536963577
в том числе домохозяйства:								
с 1 ребенком	7402.0	27377.0		3254.0	3316.0	680.0	152.0	3.69859497433
с 2 детьми	2925.0	13092.0		91.0	1681.0	881.0	272.0	4.4758974359
с 3 и более детьми	765.0	4735.0			32.0	245.0	488.0	6.18954248366
в них детей		2656.0			96.0	736.0	1824.0	
Прочие домохозяйства	24894.0	57531.0	20080.0	3450.0	971.0	186.0	207.0	2.31103880453
из них домохозяйства, имеющие детей моложе 18 лет	4457.0	12280.0	2534.0	1235.0	490.0	77.0	121.0	2.75521651335
в том числе домохозяйства:								
с 1 ребенком	3000.0	7230.0	2137.0	642.0	180.0	28.0	13.0	2.41
с 2 детьми	893.0	2488.0	397.0	347.0	115.0	19.0	15.0	2.78611422172
с 3 и более детьми	564.0	2562.0		246.0	195.0	30.0	93.0	4.54255319149
в них детей		2161.0		738.0	695.0	117.0	611.0	
Владимирская область								
Все домохозяйства	447449.0	1352203.0	173588.0	146274.0	89221.0	26932.0	11434.0	3.02202709136
из них домохозяйства, имеющие детей моложе 18 лет	217647.0	788561.0	23780.0	86820.0	71624.0	24394.0	11029.0	3.62311908733
в том числе домохозяйства:								
с 1 ребенком	157653.0	521460.0	23438.0	81084.0	37838.0	12388.0	2905.0	3.30764400297
с 2 детьми	52364.0	222655.0	342.0	5590.0	33073.0	8711.0	4648.0	4.25206248568
с 3 и более детьми	7630.0	44446.0		146.0	713.0	3295.0	3476.0	5.825163827
в них детей		25573.0		438.0	2191.0	10033.0	12911.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	305521.0	954963.0	94547.0	110353.0	76520.0	18684.0	5417.0	3.12568694132
из них домохозяйства, имеющие детей моложе 18 лет	147949.0	559135.0		63063.0	62510.0	17122.0	5254.0	3.77924149538
в том числе домохозяйства:								
с 1 ребенком	103949.0	361762.0		63063.0	33062.0	6870.0	954.0	3.48018739959
с 2 детьми	38977.0	167841.0			29448.0	7571.0	1958.0	4.30615491187
с 3 и более детьми	5023.0	29532.0				2681.0	2342.0	5.87935496715
в них детей		16745.0				8043.0	8702.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	11726.0	63434.0			1666.0	5462.0	4598.0	5.4096878731
из них домохозяйства, имеющие детей моложе 18 лет	9188.0	52230.0				4744.0	4444.0	5.68458859382
в том числе домохозяйства:								
с 1 ребенком	6493.0	34449.0				4744.0	1749.0	5.30555983367
с 2 детьми	2286.0	14446.0					2286.0	6.31933508311
с 3 и более детьми	409.0	3335.0					409.0	8.15403422983
в них детей		1393.0					1393.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	213.0	1808.0					213.0	8.4882629108
из них домохозяйства, имеющие детей моложе 18 лет	189.0	1661.0					189.0	8.78835978836
в том числе домохозяйства:								
с 1 ребенком	60.0	444.0					60.0	7.4
с 2 детьми	73.0	604.0					73.0	8.27397260274
с 3 и более детьми	56.0	613.0					56.0	10.9464285714
в них детей		222.0					222.0	
Домохозяйства, состоящие из матери с детьми	65263.0	147452.0	50861.0	12531.0	1437.0	284.0	150.0	2.25935062746
из них домохозяйства, имеющие детей моложе 18 лет	29762.0	72392.0	19189.0	8909.0	1250.0	266.0	148.0	2.43236341644
в том числе домохозяйства:								
с 1 ребенком	23586.0	51923.0	19189.0	4074.0	297.0	22.0	4.0	2.20143305351
с 2 детьми	5343.0	16653.0		4835.0	420.0	64.0	24.0	3.11678832117
с 3 и более детьми	833.0	3816.0			533.0	180.0	120.0	4.58103241297
в них детей		2776.0			1599.0	643.0	534.0	
Домохозяйства, состоящие из отца с детьми	6547.0	14398.0	5440.0	953.0	127.0	19.0	8.0	2.19917519475
из них домохозяйства, имеющие детей моложе 18 лет	2554.0	5981.0	1839.0	598.0	92.0	17.0	8.0	2.34181675803
в том числе домохозяйства:								
с 1 ребенком	2158.0	4675.0	1839.0	284.0	30.0	5.0	-	2.16635773865
с 2 детьми	348.0	1088.0		314.0	26.0	7.0	1.0	3.12643678161
с 3 и более детьми	48.0	218.0			36.0	5.0	7.0	4.54166666667
в них детей		159.0			108.0	17.0	34.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	13774.0	44331.0		11127.0	2349.0	250.0	48.0	3.21845506026
из них домохозяйства, имеющие детей моложе 18 лет	10965.0	35591.0		8622.0	2054.0	241.0	48.0	3.24587323301
в том числе домохозяйства:								
с 1 ребенком	9281.0	28550.0		8622.0	614.0	42.0	3.0	3.07617713608
с 2 детьми	1514.0	6140.0			1440.0	66.0	8.0	4.05548216645
с 3 и более детьми	170.0	901.0				133.0	37.0	5.3
в них детей		542.0				399.0	143.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	16670.0	63631.0		7441.0	6294.0	2028.0	907.0	3.81709658068
из них домохозяйства, имеющие детей моложе 18 лет	12265.0	49034.0		4226.0	5267.0	1886.0	886.0	3.99788014676
в том числе домохозяйства:								
с 1 ребенком	8543.0	30988.0		4131.0	3625.0	663.0	124.0	3.62729720239
с 2 детьми	2958.0	13356.0		95.0	1605.0	976.0	282.0	4.51521298174
с 3 и более детьми	764.0	4690.0			37.0	247.0	480.0	6.1387434555
в них детей		2586.0			111.0	744.0	1731.0	
Прочие домохозяйства	27735.0	62186.0	22740.0	3869.0	828.0	205.0	93.0	2.24214890932
из них домохозяйства, имеющие детей моложе 18 лет	4775.0	12537.0	2752.0	1402.0	451.0	118.0	52.0	2.62554973822
в том числе домохозяйства:								
с 1 ребенком	3583.0	8669.0	2410.0	910.0	210.0	42.0	11.0	2.41948088194
с 2 детьми	865.0	2527.0	342.0	346.0	134.0	27.0	16.0	2.92138728324
с 3 и более детьми	327.0	1341.0		146.0	107.0	49.0	25.0	4.10091743119
в них детей		1150.0		438.0	373.0	187.0	152.0	
Воронежская область								
Все домохозяйства	688884.0	2132526.0	259643.0	213836.0	142602.0	48442.0	24361.0	3.09562422701
из них домохозяйства, имеющие детей моложе 18 лет	331146.0	1246440.0	28616.0	122899.0	113258.0	43198.0	23175.0	3.76401949593
в том числе домохозяйства:								
с 1 ребенком	230244.0	787123.0	27999.0	115548.0	57301.0	22765.0	6631.0	3.4186471743
с 2 детьми	86932.0	377145.0	617.0	7078.0	54895.0	14420.0	9922.0	4.33839092624
с 3 и более детьми	13970.0	82172.0		273.0	1062.0	6013.0	6622.0	5.8820329277
в них детей		47191.0		819.0	3311.0	18266.0	24795.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	488412.0	1538103.0	153300.0	167776.0	123941.0	33018.0	10377.0	3.14919166605
из них домохозяйства, имеющие детей моложе 18 лет	235403.0	902323.0		94143.0	101309.0	29991.0	9960.0	3.83309898345
в том числе домохозяйства:								
с 1 ребенком	158580.0	556051.0		94143.0	50857.0	11686.0	1894.0	3.50643839072
с 2 детьми	66992.0	288766.0			50452.0	13071.0	3469.0	4.3104549797
с 3 и более детьми	9831.0	57506.0				5234.0	4597.0	5.84945580307
в них детей		32961.0				15702.0	17259.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	26889.0	147327.0			3616.0	11726.0	11547.0	5.47908066496
из них домохозяйства, имеющие детей моложе 18 лет	21073.0	121302.0				10002.0	11071.0	5.75627580316
в том числе домохозяйства:								
с 1 ребенком	14295.0	76637.0				10002.0	4293.0	5.36110528157
с 2 детьми	5764.0	36530.0					5764.0	6.33761276891
с 3 и более детьми	1014.0	8135.0					1014.0	8.02268244576
в них детей		3388.0					3388.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	644.0	5305.0					644.0	8.23757763975
из них домохозяйства, имеющие детей моложе 18 лет	573.0	4845.0					573.0	8.4554973822
в том числе домохозяйства:								
с 1 ребенком	207.0	1524.0					207.0	7.36231884058
с 2 детьми	243.0	2037.0					243.0	8.38271604938
с 3 и более детьми	123.0	1284.0					123.0	10.4390243902
в них детей		464.0					464.0	
Домохозяйства, состоящие из матери с детьми	84486.0	190339.0	66456.0	15578.0	1893.0	368.0	191.0	2.25290580688
из них домохозяйства, имеющие детей моложе 18 лет	35657.0	87354.0	22589.0	10934.0	1612.0	338.0	184.0	2.44984154584
в том числе домохозяйства:								
с 1 ребенком	27870.0	61520.0	22589.0	4841.0	393.0	36.0	11.0	2.20739146035
с 2 детьми	6681.0	20747.0		6093.0	500.0	69.0	19.0	3.10537344709
с 3 и более детьми	1106.0	5087.0			719.0	233.0	154.0	4.59945750452
в них детей		3728.0			2157.0	838.0	733.0	
Домохозяйства, состоящие из отца с детьми	9296.0	20424.0	7695.0	1410.0	159.0	26.0	6.0	2.19707401033
из них домохозяйства, имеющие детей моложе 18 лет	3221.0	7567.0	2283.0	788.0	121.0	23.0	6.0	2.34927041292
в том числе домохозяйства:								
с 1 ребенком	2738.0	5971.0	2283.0	421.0	29.0	4.0	1.0	2.18078889701
с 2 детьми	414.0	1292.0		367.0	44.0	3.0	-	3.12077294686
с 3 и более детьми	69.0	304.0			48.0	16.0	5.0	4.40579710145
в них детей		220.0			144.0	56.0	20.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	18314.0	59363.0		14461.0	3403.0	370.0	80.0	3.24140002184
из них домохозяйства, имеющие детей моложе 18 лет	13901.0	45643.0		10508.0	2961.0	355.0	77.0	3.28343284656
в том числе домохозяйства:								
с 1 ребенком	11571.0	35853.0		10508.0	989.0	71.0	3.0	3.09852216749
с 2 детьми	2070.0	8388.0			1972.0	91.0	7.0	4.05217391304
с 3 и более детьми	260.0	1402.0				193.0	67.0	5.39230769231
в них детей		851.0				579.0	272.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	20331.0	78496.0		8653.0	7910.0	2533.0	1235.0	3.86090207073
из них домохозяйства, имеющие детей моложе 18 лет	14215.0	57803.0		4410.0	6384.0	2276.0	1145.0	4.06633837496
в том числе домохозяйства:								
с 1 ребенком	10008.0	37088.0		4289.0	4631.0	898.0	190.0	3.70583533173
с 2 детьми	3340.0	15250.0		121.0	1710.0	1123.0	386.0	4.56586826347
с 3 и более детьми	867.0	5465.0			43.0	255.0	569.0	6.30334486736
в них детей		3031.0			129.0	769.0	2133.0	
Прочие домохозяйства	40512.0	93169.0	32192.0	5958.0	1680.0	401.0	281.0	2.29978771722
из них домохозяйства, имеющие детей моложе 18 лет	7103.0	19603.0	3744.0	2116.0	871.0	213.0	159.0	2.75981979445
в том числе домохозяйства:								
с 1 ребенком	4975.0	12479.0	3127.0	1346.0	402.0	68.0	32.0	2.50834170854
с 2 детьми	1428.0	4135.0	617.0	497.0	217.0	63.0	34.0	2.89565826331
с 3 и более детьми	700.0	2989.0		273.0	252.0	82.0	93.0	4.27
в них детей		2548.0		819.0	881.0	322.0	526.0	
Ивановская область								
Все домохозяйства	338724.0	998175.0	140546.0	110156.0	64004.0	17182.0	6836.0	2.94686824671
из них домохозяйства, имеющие детей моложе 18 лет	159911.0	567162.0	18973.0	66633.0	52243.0	15540.0	6522.0	3.54673537155
в том числе домохозяйства:								
с 1 ребенком	116627.0	378107.0	18769.0	62136.0	26465.0	7590.0	1667.0	3.24201942946
с 2 детьми	37878.0	158264.0	204.0	4390.0	25209.0	5478.0	2597.0	4.17825650774
с 3 и более детьми	5406.0	30791.0		107.0	569.0	2472.0	2258.0	5.69570847207
в них детей		18033.0		321.0	1764.0	7518.0	8430.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	229713.0	703668.0	76681.0	82698.0	54608.0	12223.0	3503.0	3.06324848833
из них домохозяйства, имеющие детей моложе 18 лет	108274.0	404216.0		48428.0	45283.0	11185.0	3378.0	3.73326929826
в том числе домохозяйства:								
с 1 ребенком	76241.0	262253.0		48428.0	22804.0	4417.0	592.0	3.43978961451
с 2 детьми	28453.0	121288.0			22479.0	4739.0	1235.0	4.262749095
с 3 и более детьми	3580.0	20675.0				2029.0	1551.0	5.7751396648
в них детей		11815.0				6087.0	5728.0	
