																			
1. НАСЕЛЕНИЕ ПО ПОЛУ, ВОЗРАСТНЫМ ГРУППАМ И ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ																			
																			
																			
	Все население	Всего указали источников средств к существованию	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения указали			
65 и более	18813448.0	23223613.0	771241.0	3275466.0	-	17807642.0	927837.0	59794.0	-	141382.0	40358.0	42413.0	128098.0	29382.0	135512.0	14297041.0	4220115.0	157118.0	3662.0
возраст не указан	119895.0	35984.0	17874.0	1554.0	753.0	4198.0	844.0	955.0	219.0	1440.0	179.0	258.0	5673.0	2037.0	88403.0	27822.0	3170.0	311.0	189.0
Мужчины	67605133.0	86789595.0	32017042.0	8457577.0	1599555.0	10677893.0	2554009.0	7684961.0	427300.0	1401746.0	191317.0	102753.0	20310924.0	1364518.0	729581.0	47963179.0	17940055.0	944399.0	27919.0
из них в возрасте, лет:																			
до 15	12137689.0	18717311.0	1595.0	138935.0	7642.0	228868.0	143868.0	6533976.0	-	187058.0	2092.0	8905.0	11434392.0	29980.0	85802.0	5671015.0	6103498.0	270283.0	7091.0
15 – 19	6504187.0	8950632.0	1032299.0	315821.0	1153910.0	157396.0	111712.0	983716.0	24565.0	207910.0	3852.0	3464.0	4899470.0	56517.0	50430.0	4191229.0	2038665.0	213700.0	10163.0
20 – 29	11097287.0	12666175.0	7957761.0	1061241.0	431589.0	22094.0	227081.0	46407.0	104700.0	460784.0	32510.0	11159.0	2021286.0	289563.0	123555.0	9338932.0	1579390.0	53442.0	1968.0
30 – 49	21516954.0	25302470.0	16954996.0	3775929.0	6032.0	504451.0	880782.0	73917.0	234397.0	402985.0	101191.0	44800.0	1569373.0	753617.0	262571.0	17328954.0	3805739.0	117073.0	2617.0
50 – 54	4642046.0	5735207.0	3379640.0	876004.0	-	576773.0	373001.0	14481.0	45029.0	45539.0	19588.0	9296.0	251764.0	144092.0	54628.0	3502409.0	1023623.0	60087.0	1299.0
55 – 59	2365925.0	3037457.0	1466854.0	419002.0	-	710917.0	229842.0	6833.0	18535.0	20171.0	8904.0	4722.0	94645.0	57032.0	31791.0	1681908.0	602055.0	49284.0	887.0
60 – 64	3250993.0	4585523.0	781475.0	658192.0	-	2896449.0	169790.0	7930.0	-	26325.0	7194.0	7107.0	12756.0	18305.0	29864.0	1962481.0	1154894.0	101850.0	1904.0
65 и более	6029686.0	7776420.0	432094.0	1211806.0	-	5579561.0	417512.0	17314.0	-	50011.0	15889.0	13180.0	24853.0	14200.0	46951.0	4271526.0	1630768.0	78543.0	1898.0
возраст не указан	60366.0	18400.0	10328.0	647.0	382.0	1384.0	421.0	387.0	74.0	963.0	97.0	120.0	2385.0	1212.0	43989.0	14725.0	1423.0	137.0	92.0
Женщины	77561598.0	99553017.0	30147634.0	9746595.0	1730493.0	21242262.0	2156553.0	8949437.0	744009.0	574264.0	158319.0	121874.0	23149341.0	832236.0	774107.0	55293250.0	20258785.0	1201340.0	34116.0
из них в возрасте, лет:																			
до 15	11608912.0	17909342.0	1139.0	131570.0	5115.0	220903.0	102681.0	6304134.0	-	148393.0	1765.0	8537.0	10956282.0	28823.0	80964.0	5410114.0	5860701.0	250777.0	6356.0
15 – 19	6296441.0	8877872.0	636392.0	302955.0	1194347.0	172828.0	72607.0	1132211.0	43853.0	71023.0	3859.0	3553.0	5198743.0	45501.0	47434.0	3865169.0	2148967.0	225053.0	9818.0
20 – 29	10982093.0	13216714.0	6565257.0	1111250.0	523617.0	49143.0	144268.0	862643.0	201300.0	93389.0	23970.0	10113.0	3435155.0	196609.0	121507.0	8678226.0	2014572.0	162083.0	5705.0
30 – 49	22688166.0	26807637.0	17248805.0	3837400.0	7043.0	413260.0	696432.0	556115.0	415385.0	121932.0	73448.0	43028.0	2951164.0	443625.0	259198.0	18251895.0	3981163.0	190681.0	5229.0
50 – 54	5429152.0	6833986.0	3668243.0	936079.0	-	1194018.0	351968.0	30185.0	83326.0	20847.0	16114.0	10757.0	443391.0	79058.0	60828.0	4016551.0	1240064.0	109651.0	2058.0
55 – 59	2981474.0	4228853.0	1076077.0	468347.0	-	2484824.0	126969.0	8215.0	-	9600.0	5508.0	5395.0	31384.0	12534.0	33139.0	1779435.0	1059023.0	108222.0	1655.0
60 – 64	4732069.0	6213836.0	605028.0	894427.0	-	4476391.0	150880.0	12886.0	-	17232.0	9104.0	11120.0	26689.0	10079.0	38062.0	3253248.0	1363201.0	76124.0	1434.0
65 и более	12783762.0	15447193.0	339147.0	2063660.0	-	12228081.0	510325.0	42480.0	-	91371.0	24469.0	29233.0	103245.0	15182.0	88561.0	10025515.0	2589347.0	78575.0	1764.0
возраст не указан	59529.0	17584.0	7546.0	907.0	371.0	2814.0	423.0	568.0	145.0	477.0	82.0	138.0	3288.0	825.0	44414.0	13097.0	1747.0	174.0	97.0
Городское население	106429049.0	128042632.0	49003163.0	6036776.0	2858036.0	22562630.0	3237712.0	9179775.0	696986.0	1488903.0	283317.0	108455.0	31031241.0	1555638.0	1454297.0	83023515.0	20867705.0	1052831.0	30701.0
из него в возрасте, лет:																			
до 15	16197539.0	23083469.0	2273.0	64759.0	10022.0	249174.0	150097.0	6891479.0	-	247948.0	2697.0	10029.0	15407275.0	47716.0	157908.0	9196959.0	6645094.0	194068.0	3510.0
15 – 19	9658331.0	12861184.0	1281858.0	188433.0	1963208.0	213412.0	112083.0	1101322.0	34972.0	228751.0	6507.0	4989.0	7652743.0	72906.0	93783.0	6507691.0	2827125.0	220144.0	9588.0
20 – 29	17005984.0	19133281.0	11578642.0	633286.0	872077.0	54471.0	229662.0	637279.0	171479.0	441564.0	48646.0	14148.0	4101708.0	350319.0	236340.0	14537350.0	2106459.0	120804.0	5031.0
30 – 49	32879139.0	36041540.0	26474769.0	2408700.0	12031.0	725180.0	1010367.0	450113.0	390217.0	384525.0	146478.0	43047.0	3166164.0	829949.0	505880.0	28843227.0	3396596.0	129247.0	4189.0
50 – 54	7709838.0	9101336.0	5627581.0	723057.0	-	1399588.0	499983.0	33257.0	87873.0	44571.0	29380.0	9897.0	492615.0	153534.0	112634.0	6190456.0	1311489.0	93291.0	1968.0
55 – 59	4152260.0	5429614.0	2112447.0	367126.0	-	2498897.0	255410.0	11040.0	12296.0	19594.0	11874.0	4532.0	86330.0	50068.0	63865.0	2847544.0	1142245.0	96951.0	1655.0
60 – 64	5743047.0	7399840.0	1220590.0	575919.0	-	5253533.0	237112.0	14512.0	-	27105.0	11771.0	5988.0	29233.0	24077.0	66655.0	4068573.0	1494583.0	110973.0	2263.0
65 и более	12971017.0	14961571.0	688695.0	1074712.0	-	12165007.0	742329.0	40101.0	-	93631.0	25811.0	15605.0	90428.0	25252.0	132828.0	10806847.0	1941897.0	87110.0	2335.0
возраст не указан	111894.0	30797.0	16308.0	784.0	698.0	3368.0	669.0	672.0	149.0	1214.0	153.0	220.0	4745.0	1817.0	84404.0	24868.0	2217.0	243.0	162.0
Мужчины	49149510.0	59066528.0	24828436.0	2730790.0	1355132.0	7558351.0	1678664.0	4126237.0	248308.0	1079549.0	156093.0	46658.0	14317227.0	941083.0	704986.0	38317022.0	9647844.0	465905.0	13753.0
из них в возрасте, лет:																			
до 15	8282205.0	11798922.0	1278.0	33035.0	5913.0	126637.0	87268.0	3507203.0	-	138752.0	1463.0	5123.0	7867899.0	24351.0	81351.0	4707534.0	3390498.0	100945.0	1877.0
15 – 19	4864332.0	6394263.0	775047.0	93793.0	950841.0	98306.0	66744.0	500873.0	11409.0	175923.0	3245.0	2421.0	3675820.0	39841.0	48402.0	3352549.0	1353398.0	105235.0	4748.0
20 – 29	8488494.0	9309224.0	6262798.0	310232.0	392480.0	17485.0	138747.0	34135.0	56927.0	371415.0	27897.0	6939.0	1485743.0	204426.0	119167.0	7467351.0	865934.0	34403.0	1639.0
30 – 49	15721798.0	17148489.0	12908403.0	1136202.0	5543.0	422005.0	547276.0	51136.0	138726.0	299049.0	84507.0	20512.0	1027504.0	507626.0	254264.0	13838089.0	1579698.0	48256.0	1491.0
50 – 54	3477142.0	4054962.0	2627463.0	336568.0	-	487827.0	246459.0	10458.0	28888.0	31084.0	16065.0	4193.0	169563.0	96394.0	53180.0	2829977.0	557875.0	35279.0	831.0
55 – 59	1817801.0	2231474.0	1176844.0	168976.0	-	586502.0	157133.0	4991.0	12296.0	13458.0	7320.0	2090.0	62252.0	39612.0	31244.0	1374942.0	378932.0	32094.0	589.0
60 – 64	2313523.0	3131344.0	681790.0	241430.0	-	2034520.0	120601.0	5484.0	-	16226.0	5263.0	1903.0	8815.0	15312.0	29291.0	1503345.0	715997.0	63619.0	1271.0
65 и более	4127715.0	4981836.0	385339.0	410192.0	-	3783932.0	314111.0	11690.0	-	32833.0	10252.0	3375.0	17664.0	12448.0	46082.0	3229949.0	804490.0	45969.0	1225.0
возраст не указан	56500.0	16014.0	9474.0	362.0	355.0	1137.0	325.0	267.0	62.0	809.0	81.0	102.0	1967.0	1073.0	42005.0	13286.0	1022.0	105.0	82.0
Женщины	57279539.0	68976104.0	24174727.0	3305986.0	1502904.0	15004279.0	1559048.0	5053538.0	448678.0	409354.0	127224.0	61797.0	16714014.0	614555.0	749311.0	44706493.0	11219861.0	586926.0	16948.0
из них в возрасте, лет:																			
до 15	7915334.0	11284547.0	995.0	31724.0	4109.0	122537.0	62829.0	3384276.0	-	109196.0	1234.0	4906.0	7539376.0	23365.0	76557.0	4489425.0	3254596.0	93123.0	1633.0
15 – 19	4793999.0	6466921.0	506811.0	94640.0	1012367.0	115106.0	45339.0	600449.0	23563.0	52828.0	3262.0	2568.0	3976923.0	33065.0	45381.0	3155142.0	1473727.0	114909.0	4840.0
20 – 29	8517490.0	9824057.0	5315844.0	323054.0	479597.0	36986.0	90915.0	603144.0	114552.0	70149.0	20749.0	7209.0	2615965.0	145893.0	117173.0	7069999.0	1240525.0	86401.0	3392.0
30 – 49	17157341.0	18893051.0	13566366.0	1272498.0	6488.0	303175.0	463091.0	398977.0	251491.0	85476.0	61971.0	22535.0	2138660.0	322323.0	251616.0	15005138.0	1816898.0	80991.0	2698.0
50 – 54	4232696.0	5046374.0	3000118.0	386489.0	-	911761.0	253524.0	22799.0	58985.0	13487.0	13315.0	5704.0	323052.0	57140.0	59454.0	3360479.0	753614.0	58012.0	1137.0
55 – 59	2334459.0	3198140.0	935603.0	198150.0	-	1912395.0	98277.0	6049.0	-	6136.0	4554.0	2442.0	24078.0	10456.0	32621.0	1472602.0	763313.0	64857.0	1066.0
60 – 64	3429524.0	4268496.0	538800.0	334489.0	-	3219013.0	116511.0	9028.0	-	10879.0	6508.0	4085.0	20418.0	8765.0	37364.0	2565228.0	778586.0	47354.0	992.0
65 и более	8843302.0	9979735.0	303356.0	664520.0	-	8381075.0	428218.0	28411.0	-	60798.0	15559.0	12230.0	72764.0	12804.0	86746.0	7576898.0	1137407.0	41141.0	1110.0
возраст не указан	55394.0	14783.0	6834.0	422.0	343.0	2231.0	344.0	405.0	87.0	405.0	72.0	118.0	2778.0	744.0	42399.0	11582.0	1195.0	138.0	80.0
Сельское население	38737682.0	58299980.0	13161513.0	12167396.0	472012.0	9357525.0	1472850.0	7454623.0	474323.0	487107.0	66319.0	116172.0	12429024.0	641116.0	49391.0	20232914.0	17331135.0	1092908.0	31334.0
из него в возрасте, лет:																			
до 15	7549062.0	13543184.0	461.0	205746.0	2735.0	200597.0	96452.0	5946631.0	-	87503.0	1160.0	7413.0	6983399.0	11087.0	8858.0	1884170.0	5319105.0	326992.0	9937.0
15 – 19	3142297.0	4967320.0	386833.0	430343.0	385049.0	116812.0	72236.0	1014605.0	33446.0	50182.0	1204.0	2028.0	2445470.0	29112.0	4081.0	1548707.0	1360507.0	218609.0	10393.0
20 – 29	5073396.0	6749608.0	2944376.0	1539205.0	83129.0	16766.0	141687.0	271771.0	134521.0	112609.0	7834.0	7124.0	1354733.0	135853.0	8722.0	3479808.0	1487503.0	94721.0	2642.0
30 – 49	11325981.0	16068567.0	7729032.0	5204629.0	1044.0	192531.0	566847.0	179919.0	259565.0	140392.0	28161.0	44781.0	1354373.0	367293.0	15889.0	6737622.0	4390306.0	178507.0	3657.0
50 – 54	2361360.0	3467857.0	1420302.0	1089026.0	-	371203.0	224986.0	11409.0	40482.0	21815.0	6322.0	10156.0	202540.0	69616.0	2822.0	1328504.0	952198.0	76447.0	1389.0
55 – 59	1195139.0	1836696.0	430484.0	520223.0	-	696844.0	101401.0	4008.0	6239.0	10177.0	2538.0	5585.0	39699.0	19498.0	1065.0	613799.0	518833.0	60555.0	887.0
60 – 64	2240015.0	3399519.0	165913.0	976700.0	-	2119307.0	83558.0	6304.0	-	16452.0	4527.0	12239.0	10212.0	4307.0	1271.0	1147156.0	1023512.0	67001.0	1075.0
65 и более	5842431.0	8262042.0	82546.0	2200754.0	-	5642635.0	185508.0	19693.0	-	47751.0	14547.0	26808.0	37670.0	4130.0	2684.0	3490194.0	2278218.0	70008.0	1327.0
возраст не указан	8001.0	5187.0	1566.0	770.0	55.0	830.0	175.0	283.0	70.0	226.0	26.0	38.0	928.0	220.0	3999.0	2954.0	953.0	68.0	27.0
Мужчины	18455623.0	27723067.0	7188606.0	5726787.0	244423.0	3119542.0	875345.0	3558724.0	178992.0	322197.0	35224.0	56095.0	5993697.0	423435.0	24595.0	9646157.0	8292211.0	478494.0	14166.0
из них в возрасте, лет:																			
до 15	3855484.0	6918389.0	317.0	105900.0	1729.0	102231.0	56600.0	3026773.0	-	48306.0	629.0	3782.0	3566493.0	5629.0	4451.0	963481.0	2713000.0	169338.0	5214.0
15 – 19	1639855.0	2556369.0	257252.0	222028.0	203069.0	59090.0	44968.0	482843.0	13156.0	31987.0	607.0	1043.0	1223650.0	16676.0	2028.0	838680.0	685267.0	108465.0	5415.0
20 – 29	2608793.0	3356951.0	1694963.0	751009.0	39109.0	4609.0	88334.0	12272.0	47773.0	89369.0	4613.0	4220.0	535543.0	85137.0	4388.0	1871581.0	713456.0	19039.0	329.0
30 – 49	5795156.0	8153981.0	4046593.0	2639727.0	489.0	82446.0	333506.0	22781.0	95671.0	103936.0	16684.0	24288.0	541869.0	245991.0	8307.0	3490865.0	2226041.0	68817.0	1126.0
50 – 54	1164904.0	1680245.0	752177.0	539436.0	-	88946.0	126542.0	4023.0	16141.0	14455.0	3523.0	5103.0	82201.0	47698.0	1448.0	672432.0	465748.0	24808.0	468.0
55 – 59	548124.0	805983.0	290010.0	250026.0	-	124415.0	72709.0	1842.0	6239.0	6713.0	1584.0	2632.0	32393.0	17420.0	547.0	306966.0	223123.0	17190.0	298.0
60 – 64	937470.0	1454179.0	99685.0	416762.0	-	861929.0	49189.0	2446.0	-	10099.0	1931.0	5204.0	3941.0	2993.0	573.0	459136.0	438897.0	38231.0	633.0
65 и более	1901971.0	2794584.0	46755.0	801614.0	-	1795629.0	103401.0	5624.0	-	17178.0	5637.0	9805.0	7189.0	1752.0	869.0	1041577.0	826278.0	32574.0	673.0
возраст не указан	3866.0	2386.0	854.0	285.0	27.0	247.0	96.0	120.0	12.0	154.0	16.0	18.0	418.0	139.0	1984.0	1439.0	401.0	32.0	10.0
Женщины	20282059.0	30576913.0	5972907.0	6440609.0	227589.0	6237983.0	597505.0	3895899.0	295331.0	164910.0	31095.0	60077.0	6435327.0	217681.0	24796.0	10586757.0	9038924.0	614414.0	17168.0
из них в возрасте, лет:																			
до 15	3693578.0	6624795.0	144.0	99846.0	1006.0	98366.0	39852.0	2919858.0	-	39197.0	531.0	3631.0	3416906.0	5458.0	4407.0	920689.0	2606105.0	157654.0	4723.0
15 – 19	1502442.0	2410951.0	129581.0	208315.0	181980.0	57722.0	27268.0	531762.0	20290.0	18195.0	597.0	985.0	1221820.0	12436.0	2053.0	710027.0	675240.0	110144.0	4978.0
20 – 29	2464603.0	3392657.0	1249413.0	788196.0	44020.0	12157.0	53353.0	259499.0	86748.0	23240.0	3221.0	2904.0	819190.0	50716.0	4334.0	1608227.0	774047.0	75682.0	2313.0
30 – 49	5530825.0	7914586.0	3682439.0	2564902.0	555.0	110085.0	233341.0	157138.0	163894.0	36456.0	11477.0	20493.0	812504.0	121302.0	7582.0	3246757.0	2164265.0	109690.0	2531.0
50 – 54	1196456.0	1787612.0	668125.0	549590.0	-	282257.0	98444.0	7386.0	24341.0	7360.0	2799.0	5053.0	120339.0	21918.0	1374.0	656072.0	486450.0	51639.0	921.0
55 – 59	647015.0	1030713.0	140474.0	270197.0	-	572429.0	28692.0	2166.0	-	3464.0	954.0	2953.0	7306.0	2078.0	518.0	306833.0	295710.0	43365.0	589.0
60 – 64	1302545.0	1945340.0	66228.0	559938.0	-	1257378.0	34369.0	3858.0	-	6353.0	2596.0	7035.0	6271.0	1314.0	698.0	688020.0	584615.0	28770.0	442.0
65 и более	3940460.0	5467458.0	35791.0	1399140.0	-	3847006.0	82107.0	14069.0	-	30573.0	8910.0	17003.0	30481.0	2378.0	1815.0	2448617.0	1451940.0	37434.0	654.0
возраст не указан	4135.0	2801.0	712.0	485.0	28.0	583.0	79.0	163.0	58.0	72.0	10.0	20.0	510.0	81.0	2015.0	1515.0	552.0	36.0	17.0
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
35 – 39	223481.0	165738.0	154773.0	10965.0	20953.0	1318.0	29463.0	6009.0	241905.0	167879.0	158333.0	9546.0	17074.0	8069.0	43326.0	5557.0			
40 – 44	272686.0	209782.0	198439.0	11343.0	17117.0	2833.0	36659.0	6295.0	303359.0	209131.0	198857.0	10274.0	16599.0	15647.0	55715.0	6267.0			
45 – 49	254888.0	198676.0	189245.0	9431.0	12416.0	4402.0	34004.0	5390.0	293882.0	195259.0	186535.0	8724.0	14777.0	23369.0	54522.0	5955.0			
50 – 54	216341.0	170782.0	163912.0	6870.0	8348.0	6358.0	26314.0	4539.0	264246.0	163795.0	157425.0	6370.0	13021.0	34069.0	47560.0	5801.0			
55 – 59	120318.0	96062.0	92664.0	3398.0	3560.0	5292.0	12839.0	2565.0	155942.0	88914.0	85980.0	2934.0	7119.0	30120.0	26588.0	3201.0			
60 – 64	164128.0	129909.0	126205.0	3704.0	3755.0	14024.0	13513.0	2927.0	250231.0	122137.0	118843.0	3294.0	9652.0	79051.0	34620.0	4771.0			
65 – 69	120539.0	95371.0	93146.0	2225.0	1962.0	14258.0	7025.0	1923.0	204891.0	85882.0	83919.0	1963.0	7662.0	85407.0	22321.0	3619.0			
70 и более	186261.0	129159.0	126598.0	2561.0	2012.0	46858.0	5472.0	2760.0	467806.0	103350.0	100969.0	2381.0	24690.0	302533.0	29034.0	8199.0			
возраст не указан	4154.0	985.0	874.0	111.0	226.0	39.0	91.0	2813.0	4236.0	959.0	877.0	82.0	137.0	125.0	95.0	2920.0			
Орловская область																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	318104.0	206228.0	190674.0	15554.0	71019.0	12585.0	25979.0	2293.0	397170.0	207696.0	192123.0	15573.0	61597.0	83651.0	41553.0	2673.0			
в том числе в     возрасте, лет:																			
  до 16	13.0	12.0	9.0	3.0		1.0	-		23.0	19.0	11.0	8.0		2.0	2.0				
16 – 17	14127.0	55.0	32.0	23.0	13662.0	2.0	2.0	406.0	13838.0	314.0	206.0	108.0	13190.0	3.0	5.0	326.0			
18 – 19	12620.0	417.0	331.0	86.0	12016.0	6.0	8.0	173.0	13664.0	1817.0	1455.0	362.0	11631.0	1.0	79.0	136.0			
20 – 24	29544.0	8157.0	7220.0	937.0	20623.0	13.0	473.0	278.0	31082.0	14308.0	12828.0	1480.0	15014.0	92.0	1403.0	265.0			
25 – 29	28446.0	17421.0	15745.0	1676.0	8630.0	28.0	2136.0	231.0	29128.0	19662.0	17879.0	1783.0	5282.0	377.0	3578.0	229.0			
30 – 34	27195.0	19674.0	17881.0	1793.0	4157.0	63.0	3111.0	190.0	27828.0	19925.0	18195.0	1730.0	2631.0	645.0	4436.0	191.0			
35 – 39	28820.0	21966.0	20042.0	1924.0	2870.0	161.0	3629.0	194.0	30161.0	22146.0	20417.0	1729.0	1805.0	1210.0	4806.0	194.0			
40 – 44	36232.0	28067.0	25706.0	2361.0	3112.0	327.0	4551.0	175.0	37620.0	27382.0	25370.0	2012.0	1770.0	2148.0	6128.0	192.0			
45 – 49	34271.0	26793.0	24702.0	2091.0	2390.0	502.0	4411.0	175.0	37342.0	26187.0	24317.0	1870.0	1667.0	3437.0	5822.0	229.0			
50 – 54	29449.0	23378.0	21740.0	1638.0	1663.0	833.0	3432.0	143.0	33539.0	22204.0	20701.0	1503.0	1437.0	4742.0	4963.0	193.0			
55 – 59	13810.0	11203.0	10509.0	694.0	518.0	663.0	1347.0	79.0	17542.0	10542.0	9844.0	698.0	643.0	3937.0	2300.0	120.0			
60 – 64	20659.0	16684.0	15731.0	953.0	653.0	1683.0	1539.0	100.0	31077.0	15978.0	15112.0	866.0	1110.0	10627.0	3207.0	155.0			
65 – 69	16512.0	13371.0	12784.0	587.0	353.0	1939.0	805.0	44.0	26439.0	11573.0	10968.0	605.0	1026.0	11778.0	1946.0	116.0			
70 и более	26332.0	19006.0	18221.0	785.0	359.0	6357.0	532.0	78.0	67797.0	15603.0	14788.0	815.0	4382.0	44644.0	2873.0	295.0			
возраст не указан	74.0	24.0	21.0	3.0	13.0	7.0	3.0	27.0	90.0	36.0	32.0	4.0	9.0	8.0	5.0	32.0			
Рязанская область																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	461722.0	298698.0	277026.0	21672.0	105425.0	18263.0	34662.0	4674.0	572351.0	299559.0	278173.0	21386.0	83456.0	127090.0	56663.0	5583.0			
в том числе в     возрасте, лет:																			
  до 16	11.0	9.0	6.0	3.0		-	2.0		23.0	20.0	8.0	12.0		-	3.0				
16 – 17	19301.0	55.0	27.0	28.0	18643.0	3.0	5.0	595.0	18255.0	348.0	191.0	157.0	17379.0	8.0	10.0	510.0			
18 – 19	20488.0	494.0	351.0	143.0	19643.0	2.0	23.0	326.0	18678.0	2437.0	1925.0	512.0	15889.0	15.0	94.0	243.0			
20 – 24	43314.0	10693.0	9254.0	1439.0	31456.0	14.0	604.0	547.0	40580.0	18791.0	16627.0	2164.0	19437.0	182.0	1682.0	488.0			
25 – 29	39591.0	23680.0	21234.0	2446.0	12715.0	46.0	2692.0	458.0	39448.0	27079.0	24587.0	2492.0	6996.0	489.0	4422.0	462.0			
30 – 34	39051.0	28269.0	25613.0	2656.0	6085.0	95.0	4145.0	457.0	39146.0	28475.0	26001.0	2474.0	3537.0	877.0	5870.0	387.0			
35 – 39	39905.0	30450.0	27874.0	2576.0	4133.0	198.0	4782.0	342.0	40815.0	30048.0	27750.0	2298.0	2507.0	1511.0	6342.0	407.0			
40 – 44	49815.0	38763.0	35858.0	2905.0	4240.0	492.0	5887.0	433.0	52361.0	38289.0	35822.0	2467.0	2572.0	3076.0	7968.0	456.0			
45 – 49	47458.0	37552.0	34901.0	2651.0	3307.0	734.0	5506.0	359.0	51178.0	36224.0	34027.0	2197.0	2285.0	4715.0	7504.0	450.0			
50 – 54	41889.0	33679.0	31582.0	2097.0	2310.0	1032.0	4569.0	299.0	48560.0	32494.0	30453.0	2041.0	2053.0	6900.0	6647.0	466.0			
55 – 59	21287.0	17436.0	16389.0	1047.0	811.0	841.0	2015.0	184.0	28039.0	17066.0	16068.0	998.0	1081.0	6138.0	3491.0	263.0			
60 – 64	33229.0	27149.0	25675.0	1474.0	1046.0	2501.0	2310.0	223.0	50729.0	26615.0	25203.0	1412.0	1717.0	17012.0	4967.0	418.0			
65 – 69	26907.0	22035.0	20949.0	1086.0	537.0	2961.0	1211.0	163.0	41798.0	18655.0	17674.0	981.0	1446.0	18239.0	3139.0	319.0			
70 и более	39400.0	28423.0	27302.0	1121.0	497.0	9343.0	909.0	228.0	102647.0	23003.0	21825.0	1178.0	6557.0	67925.0	4524.0	638.0			
возраст не указан	76.0	11.0	11.0	-	2.0	1.0	2.0	60.0	94.0	15.0	12.0	3.0	-	3.0	-	76.0			
Смоленская область																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	390686.0	244919.0	222276.0	22643.0	91636.0	16153.0	33325.0	4653.0	489199.0	245700.0	223257.0	22443.0	78845.0	104004.0	55378.0	5272.0			
в том числе в     возрасте, лет:																			
  до 16	30.0	17.0	13.0	4.0		13.0	-		45.0	32.0	16.0	16.0		11.0	2.0				
16 – 17	17630.0	75.0	40.0	35.0	17044.0	8.0	3.0	500.0	17422.0	321.0	160.0	161.0	16601.0	10.0	10.0	480.0			
18 – 19	16544.0	455.0	312.0	143.0	15861.0	7.0	12.0	209.0	17259.0	2086.0	1460.0	626.0	14890.0	13.0	72.0	198.0			
