6. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И УРОВНЮ ОБРАЗОВАНИЯ									
(на 1000 человек в возрасте 15-64 лет, занятых в соответствующей группе занятий)									
									
									
	Имеющие образование							Не имеющие начального общего образова-ния	Не указавшие уровень образова-ния
специалисты высшего уровня квалификации	768.0	43.0	132.0	19.0	31.0	5.0	0.0	0.0	2.0
специалисты среднего уровня квалификации	238.0	57.0	448.0	109.0	122.0	23.0	2.0	0.0	1.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	284.0	84.0	341.0	92.0	170.0	25.0	2.0	0.0	2.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	162.0	49.0	376.0	142.0	212.0	50.0	6.0	1.0	2.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	93.0	20.0	305.0	227.0	216.0	120.0	16.0	2.0	1.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	54.0	23.0	393.0	234.0	214.0	72.0	9.0	0.0	1.0
операторы, аппаратчики, машинисты установок и машин	51.0	21.0	391.0	233.0	229.0	66.0	8.0	0.0	1.0
неквалифицированные рабочие	65.0	28.0	307.0	206.0	238.0	133.0	21.0	1.0	1.0
занятые на военной службе	582.0	23.0	259.0	52.0	75.0	8.0	0.0	0.0	1.0
лица, неточно указавшие или не указавшие занятия 	296.0	48.0	310.0	103.0	168.0	46.0	7.0	3.0	19.0
Женщины, занятые в экономике	281.0	35.0	400.0	112.0	138.0	30.0	3.0	0.0	1.0
в том числе по группам занятий:									
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	500.0	38.0	348.0	44.0	61.0	7.0	1.0	0.0	1.0
специалисты высшего уровня квалификации	720.0	39.0	193.0	19.0	26.0	2.0	0.0	0.0	1.0
специалисты среднего уровня квалификации	152.0	47.0	637.0	73.0	80.0	9.0	1.0	0.0	1.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	164.0	60.0	456.0	105.0	192.0	20.0	2.0	0.0	1.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	82.0	29.0	444.0	178.0	211.0	49.0	5.0	1.0	1.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	59.0	15.0	354.0	208.0	245.0	104.0	13.0	1.0	1.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	57.0	19.0	403.0	226.0	234.0	54.0	5.0	1.0	1.0
операторы, аппаратчики, машинисты установок и машин	71.0	21.0	432.0	195.0	233.0	43.0	4.0	0.0	1.0
неквалифицированные рабочие	47.0	15.0	370.0	196.0	261.0	96.0	14.0	0.0	1.0
занятые на военной службе	281.0	35.0	500.0	61.0	114.0	8.0	0.0	0.0	1.0
лица, неточно указавшие или не указавшие занятия 	316.0	47.0	348.0	84.0	148.0	31.0	5.0	3.0	18.0
Сельское население, занятое в экономике 	127.0	16.0	320.0	222.0	196.0	101.0	17.0	1.0	0.0
в том числе по группам занятий:									
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	352.0	27.0	401.0	96.0	98.0	23.0	3.0	0.0	0.0
специалисты высшего уровня квалификации	620.0	39.0	244.0	42.0	44.0	11.0	0.0	0.0	0.0
специалисты среднего уровня квалификации	89.0	27.0	642.0	118.0	98.0	23.0	3.0	0.0	0.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	86.0	28.0	507.0	154.0	190.0	32.0	3.0	0.0	0.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	49.0	15.0	362.0	247.0	235.0	82.0	9.0	1.0	0.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	27.0	6.0	193.0	243.0	269.0	220.0	40.0	2.0	0.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	27.0	10.0	284.0	306.0	235.0	120.0	18.0	0.0	0.0
операторы, аппаратчики, машинисты установок и машин	17.0	7.0	240.0	349.0	253.0	115.0	19.0	0.0	0.0
неквалифицированные рабочие	17.0	6.0	212.0	259.0	260.0	203.0	41.0	2.0	0.0
занятые на военной службе	421.0	16.0	340.0	86.0	116.0	18.0	2.0	0.0	1.0
лица, неточно указавшие или не указавшие занятия 	117.0	19.0	301.0	197.0	216.0	123.0	22.0	2.0	3.0
Мужчины, занятые в экономике 	105.0	14.0	254.0	269.0	214.0	120.0	23.0	1.0	0.0
в том числе по группам занятий:									
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	415.0	30.0	333.0	97.0	97.0	25.0	3.0	0.0	0.0
специалисты высшего уровня квалификации	586.0	34.0	221.0	70.0	65.0	23.0	0.0	0.0	1.0
специалисты среднего уровня квалификации	140.0	30.0	462.0	183.0	139.0	40.0	6.0	0.0	0.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	161.0	33.0	377.0	176.0	196.0	50.0	7.0	0.0	0.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	99.0	25.0	317.0	221.0	248.0	77.0	12.0	1.0	0.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	46.0	8.0	185.0	250.0	248.0	210.0	50.0	3.0	0.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	27.0	10.0	272.0	313.0	231.0	126.0	20.0	1.0	0.0
операторы, аппаратчики, машинисты установок и машин	16.0	6.0	229.0	357.0	254.0	118.0	20.0	0.0	0.0
неквалифицированные рабочие	20.0	7.0	167.0	273.0	240.0	232.0	58.0	3.0	0.0
занятые на военной службе	479.0	13.0	289.0	86.0	112.0	19.0	2.0	0.0	0.0
лица, неточно указавшие или не указавшие занятия 	113.0	18.0	258.0	218.0	220.0	139.0	28.0	2.0	4.0
Женщины, занятые в экономике 	152.0	19.0	397.0	168.0	174.0	80.0	10.0	0.0	0.0
в том числе по группам занятий:									
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	286.0	24.0	474.0	96.0	97.0	21.0	2.0	0.0	0.0
специалисты высшего уровня квалификации	636.0	41.0	254.0	30.0	35.0	4.0	0.0	0.0	0.0
специалисты среднего уровня квалификации	71.0	25.0	708.0	95.0	82.0	17.0	2.0	0.0	0.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	77.0	28.0	521.0	151.0	190.0	31.0	2.0	0.0	0.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	30.0	12.0	379.0	256.0	230.0	84.0	9.0	0.0	0.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	12.0	4.0	200.0	237.0	285.0	229.0	32.0	1.0	0.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	26.0	9.0	335.0	276.0	249.0	96.0	9.0	0.0	0.0
операторы, аппаратчики, машинисты установок и машин	41.0	12.0	374.0	238.0	242.0	85.0	8.0	0.0	0.0
неквалифицированные рабочие	14.0	5.0	255.0	245.0	282.0	174.0	24.0	1.0	0.0
занятые на военной службе	199.0	26.0	537.0	89.0	131.0	15.0	2.0	0.0	1.0
лица, неточно указавшие или не указавшие занятия 	122.0	20.0	358.0	166.0	211.0	104.0	14.0	2.0	3.0
