3. ТЕРРИТОРИЯ, ЧИСЛО РАЙОНОВ, НАСЕЛЕННЫХ ПУНКТОВ И СЕЛЬСКИХ АДМИНИСТРАЦИЙ                                                                                                   ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ 								
	Территория, тысяч кв.       км1)	Районы	Города	Городские районы (округа)	Поселки городского типа	Сельские админист-рации2)	Сельские населенные пункты	в том числе без населения3)
Псковская область	55.3	24.0	14.0	-	14.0	247.0	8393.0	1073.0
Южный федеральный округ	589.2	256.0	135.0	51.0	132.0	3127.0	9639.0	207.0
Республика Адыгея	7.6	7.0	2.0	-	5.0	50.0	224.0	4.0
Республика Дагестан	50.3	41.0	10.0	3.0	19.0	701.0	1605.0	46.0
Республика Ингушетия	}       19,3	4.0	4.0	6.0	-	32.0	41.0	-
Чеченская Республика		15.0	5.0	4.0	3.0	213.0	324.0	27.0
Кабардино-Балкарская Республика	12.5	9.0	8.0	-	4.0	115.0	168.0	-
Республика Калмыкия	76.1	13.0	3.0	-	-	112.0	262.0	1.0
Карачаево-Черкесская Республика	14.1	8.0	4.0	-	7.0	80.0	139.0	-
Республика Северная Осетия-Алания	8.0	8.0	6.0	4.0	7.0	96.0	209.0	26.0
Краснодарский край	76.0	38.0	26.0	11.0	21.0	390.0	1719.0	11.0
Ставропольский край	66.5	26.0	19.0	3.0	7.0	284.0	736.0	5.0
Астраханская область	44.1	11.0	6.0	4.0	9.0	151.0	427.0	8.0
Волгоградская область	113.9	33.0	19.0	8.0	25.0	449.0	1509.0	56.0
Ростовская область	100.8	43.0	23.0	8.0	25.0	454.0	2276.0	23.0
Приволжский федеральный округ	1038.0	448.0	196.0	77.0	387.0	6996.0	35023.0	2146.0
Республика Башкортостан	143.6	54.0	21.0	7.0	40.0	945.0	4586.0	84.0
Республика Марий Эл	23.2	14.0	4.0	-	16.0	180.0	1612.0	53.0
Республика Мордовия	26.2	22.0	7.0	3.0	18.0	422.0	1313.0	29.0
Республика Татарстан	68.0	43.0	20.0	7.0	21.0	910.0	3081.0	36.0
Удмуртская Республика	42.1	25.0	6.0	5.0	10.0	313.0	2059.0	149.0
Чувашская Республика	18.3	21.0	9.0	3.0	8.0	350.0	1723.0	14.0
Кировская область	120.8	39.0	18.0	4.0	54.0	564.0	4557.0	773.0
Нижегородская область	76.9	48.0	28.0	8.0	69.0	540.0	4853.0	426.0
Оренбургская область	124.0	35.0	12.0	7.0	4.0	606.0	1742.0	27.0
Пензенская область	43.2	28.0	11.0	4.0	16.0	376.0	1490.0	46.0
Пермская область	160.6	33.0	25.0	7.0	44.0	519.0	3961.0	342.0
Коми-Пермяцкий автономный округ	32.9	6.0	1.0	-	1.0	75.0	708.0	20.0
Самарская область	53.6	27.0	11.0	12.0	24.0	331.0	1314.0	63.0
Саратовская область	100.2	38.0	18.0	6.0	30.0	614.0	1752.0	55.0
Ульяновская область	37.3	21.0	6.0	4.0	33.0	326.0	980.0	49.0
Уральский федеральный округ	1788.9	116.0	114.0	25.0	174.0	1537.0	5892.0	229.0
Курганская область	71.0	24.0	9.0	-	6.0	420.0	1230.0	14.0
Свердловская область	194.8	30.0	47.0	12.0	97.0	431.0	1796.0	128.0
Тюменская область	1435.2	38.0	28.0	3.0	41.0	429.0	1606.0	63.0
Ханты-Мансийский автономный округ - Югра	523.1	9.0	16.0	-	24.0	70.0	173.0	4.0
Ямало-Ненецкий автономный округ	750.3	7.0	7.0	-	9.0	42.0	102.0	19.0
Челябинская область	87.9	24.0	30.0	10.0	30.0	257.0	1260.0	24.0
Сибирский федеральный округ	5114.8	325.0	132.0	59.0	291.0	3628.0	11792.0	267.0
Республика Алтай	92.6	10.0	1.0	-	-	90.0	243.0	1.0
Республика Бурятия	351.3	21.0	6.0	3.0	29.0	226.0	611.0	5.0
Республика Тыва	170.5	17.0	5.0	-	2.0	112.0	389.0	46.0
Республика Хакасия	61.9	8.0	5.0	-	12.0	79.0	254.0	1.0
Алтайский край	169.1	60.0	12.0	5.0	14.0	726.0	1620.0	16.0
Красноярский край	2339.7	48.0	25.0	7.0	46.0	511.0	1649.0	31.0
Таймырский (Долгано-Ненецкий) автономный округ	862.1	3.0	1.0	-	1.0	20.0	27.0	2.0
Эвенкийский автономный округ	767.6	3.0	-	-	1.0	22.0	26.0	3.0
Иркутская область	767.9	33.0	22.0	7.0	55.0	365.0	1503.0	39.0
Усть-Ордынский Бурятский автономный округ	22.4	6.0	-	-	-	77.0	322.0	5.0
Кемеровская область	95.5	19.0	20.0	14.0	46.0	235.0	1066.0	25.0
Новосибирская область	178.2	30.0	14.0	10.0	18.0	428.0	1566.0	43.0
Омская область	139.7	32.0	6.0	5.0	24.0	359.0	1524.0	23.0
Томская область	316.9	16.0	6.0	4.0	1.0	132.0	606.0	28.0
Читинская область	431.5	31.0	10.0	4.0	44.0	365.0	761.0	9.0
Агинский Бурятский автономный округ	19.0	3.0	-	-	4.0	35.0	62.0	-
Дальневосточный федеральный округ	6215.9	143.0	70.0	12.0	236.0	1271.0	2779.0	155.0
Республика Саха (Якутия)	3103.2	33.0	13.0	-	55.0	364.0	590.0	39.0
Приморский край	165.9	24.0	12.0	5.0	46.0	226.0	606.0	4.0
Хабаровский край	788.6	17.0	7.0	7.0	24.0	186.0	431.0	10.0
Амурская область	363.7	20.0	9.0	-	21.0	289.0	608.0	6.0
Камчатская область	472.3	11.0	4.0	-	7.0	24.0	83.0	10.0
Корякский автономный округ	301.5	4.0	-	-	2.0	12.0	28.0	1.0
Магаданская область	461.4	8.0	2.0	-	28.0	31.0	89.0	37.0
Сахалинская область	87.1	17.0	18.0	-	30.0	60.0	217.0	30.0
Еврейская автономная область	36.0	5.0	2.0	-	12.0	47.0	98.0	3.0
Чукотский автономный округ	737.7	8.0	3.0	-	13.0	44.0	57.0	16.0
1] По данным Федеральной службы геодезии и картографии России по состоянию на 01.01.1986 г.								
2] Включая сельсоветы, волости, сельские округа и другие органы местного самоуправления.								
3] В этих сельских населенных пунктах на дату переписи никто не проживал. Выбывшее население учитывалось по месту его фактического проживания								
