11. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО УРОВНЮ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ												
												
												
	Численность населения соответствующей национальности в возрасте 15 лет и более	в том числе имеют образование								Не имеют начального общего образования	из них неграмотные 	Не указавшие уровень образования
Все население	622950.0	883.0	80447.0	12019.0	191030.0	83112.0	82174.0	93041.0	67577.0	7288.0	3222.0	5379.0
Русские	594849.0	831.0	75974.0	11492.0	183647.0	80261.0	78541.0	90281.0	65815.0	6704.0	2854.0	1303.0
Украинцы	7589.0	21.0	1674.0	154.0	2677.0	968.0	915.0	722.0	417.0	37.0	16.0	4.0
Городское население	421752.0	701.0	66231.0	9702.0	140412.0	50686.0	57019.0	56684.0	32508.0	2640.0	1082.0	5169.0
Русские	400782.0	667.0	62410.0	9271.0	134899.0	48963.0	54517.0	55034.0	31492.0	2367.0	921.0	1162.0
Украинцы	5516.0	14.0	1455.0	127.0	2055.0	577.0	612.0	418.0	244.0	12.0	4.0	2.0
Сельское население	201198.0	182.0	14216.0	2317.0	50618.0	32426.0	25155.0	36357.0	35069.0	4648.0	2140.0	210.0
Русские	194067.0	164.0	13564.0	2221.0	48748.0	31298.0	24024.0	35247.0	34323.0	4337.0	1933.0	141.0
Украинцы	2073.0	7.0	219.0	27.0	622.0	391.0	303.0	304.0	173.0	25.0	12.0	2.0
Курская область												
Все население	1044038.0	2079.0	139198.0	22249.0	263616.0	163130.0	166129.0	149386.0	119920.0	15361.0	8392.0	2970.0
Русские	1000067.0	1937.0	131360.0	21230.0	252547.0	157761.0	158164.0	144143.0	116991.0	14433.0	7810.0	1501.0
Украинцы	19757.0	79.0	4297.0	356.0	6012.0	2718.0	2900.0	1948.0	1288.0	142.0	55.0	17.0
Городское население	640829.0	1855.0	114377.0	18675.0	186517.0	96135.0	109578.0	72871.0	34381.0	4024.0	2181.0	2416.0
Русские	612125.0	1726.0	107840.0	17853.0	178883.0	93233.0	104788.0	70410.0	32941.0	3458.0	1832.0	993.0
Украинцы	13064.0	72.0	3591.0	266.0	4160.0	1503.0	1709.0	1009.0	673.0	71.0	25.0	10.0
Сельское население	403209.0	224.0	24821.0	3574.0	77099.0	66995.0	56551.0	76515.0	85539.0	11337.0	6211.0	554.0
Русские	387942.0	211.0	23520.0	3377.0	73664.0	64528.0	53376.0	73733.0	84050.0	10975.0	5978.0	508.0
Украинцы	6693.0	7.0	706.0	90.0	1852.0	1215.0	1191.0	939.0	615.0	71.0	30.0	7.0
Липецкая область												
Все население	1029206.0	1479.0	141526.0	21428.0	292844.0	164833.0	144368.0	136157.0	101751.0	16784.0	9624.0	8036.0
Русские	986639.0	1391.0	135260.0	20813.0	283599.0	159858.0	137637.0	131561.0	98949.0	15639.0	8908.0	1932.0
Украинцы	12667.0	29.0	2567.0	178.0	3787.0	1918.0	1873.0	1390.0	809.0	95.0	48.0	21.0
Городское население	665004.0	1332.0	114109.0	17736.0	213389.0	103020.0	91322.0	73234.0	38237.0	4929.0	2801.0	7696.0
Русские	636779.0	1257.0	109000.0	17287.0	207199.0	100449.0	87747.0	71094.0	36751.0	4370.0	2440.0	1625.0
Украинцы	7950.0	24.0	2220.0	125.0	2594.0	971.0	893.0	646.0	417.0	44.0	17.0	16.0
Сельское население	364202.0	147.0	27417.0	3692.0	79455.0	61813.0	53046.0	62923.0	63514.0	11855.0	6823.0	340.0
Русские	349860.0	134.0	26260.0	3526.0	76400.0	59409.0	49890.0	60467.0	62198.0	11269.0	6468.0	307.0
Украинцы	4717.0	5.0	347.0	53.0	1193.0	947.0	980.0	744.0	392.0	51.0	31.0	5.0
Московская область												
Все население	5701183.0	26686.0	1149518.0	205673.0	1590245.0	548953.0	970322.0	693999.0	329127.0	23658.0	10280.0	163002.0
Русские	5172801.0	23173.0	1040983.0	192789.0	1479754.0	513686.0	902058.0	657766.0	310857.0	21296.0	9181.0	30439.0
Украинцы	140011.0	1347.0	44675.0	4206.0	42755.0	11272.0	19450.0	9993.0	5299.0	460.0	172.0	554.0
Татары	48245.0	285.0	10090.0	1606.0	13466.0	4691.0	8459.0	5879.0	3173.0	378.0	217.0	218.0
Белорусы	40439.0	390.0	11899.0	1081.0	11763.0	3558.0	5280.0	3654.0	2506.0	197.0	100.0	111.0
Армяне	30920.0	288.0	9353.0	1329.0	7286.0	1983.0	7411.0	2495.0	531.0	52.0	12.0	192.0
Мордва	20714.0	44.0	2022.0	329.0	5994.0	3359.0	4007.0	2584.0	1975.0	324.0	215.0	76.0
Азербайджанцы	10707.0	78.0	2374.0	313.0	2441.0	868.0	3282.0	1014.0	231.0	33.0	11.0	73.0
Чуваши	11717.0	59.0	1818.0	242.0	3636.0	1761.0	2247.0	1340.0	543.0	35.0	19.0	36.0
Молдаване	9161.0	26.0	932.0	182.0	2607.0	1451.0	2193.0	1180.0	468.0	60.0	34.0	62.0
Евреи	9571.0	261.0	5685.0	364.0	1658.0	281.0	713.0	371.0	161.0	31.0	12.0	46.0
Городское население	4524654.0	23212.0	999558.0	177208.0	1278534.0	399724.0	757265.0	506127.0	216568.0	14061.0	5477.0	152397.0
Русские	4090665.0	20272.0	907115.0	166486.0	1192223.0	375494.0	705707.0	480163.0	203601.0	12492.0	4852.0	27112.0
Украинцы	112366.0	1121.0	38680.0	3540.0	34196.0	7956.0	14917.0	7316.0	3849.0	324.0	119.0	467.0
Татары	39939.0	239.0	8629.0	1383.0	11140.0	3743.0	6922.0	4757.0	2641.0	298.0	173.0	187.0
Белорусы	31251.0	325.0	10213.0	905.0	9213.0	2457.0	3940.0	2489.0	1512.0	109.0	45.0	88.0
Армяне	25058.0	246.0	7867.0	1115.0	5926.0	1486.0	5849.0	1955.0	419.0	36.0	7.0	159.0
Мордва	10434.0	36.0	1285.0	193.0	3244.0	1433.0	1979.0	1116.0	954.0	145.0	89.0	49.0
Азербайджанцы	8967.0	68.0	2010.0	263.0	2058.0	679.0	2763.0	843.0	191.0	29.0	10.0	63.0
Чуваши	7368.0	50.0	1454.0	174.0	2381.0	922.0	1293.0	691.0	349.0	26.0	13.0	28.0
Молдаване	6683.0	17.0	738.0	138.0	1898.0	1004.0	1604.0	834.0	350.0	52.0	29.0	48.0
Евреи	8698.0	234.0	5234.0	327.0	1513.0	251.0	623.0	321.0	134.0	17.0	7.0	44.0
Сельское население	1176529.0	3474.0	149960.0	28465.0	311711.0	149229.0	213057.0	187872.0	112559.0	9597.0	4803.0	10605.0
Русские	1082136.0	2901.0	133868.0	26303.0	287531.0	138192.0	196351.0	177603.0	107256.0	8804.0	4329.0	3327.0
Украинцы	27645.0	226.0	5995.0	666.0	8559.0	3316.0	4533.0	2677.0	1450.0	136.0	53.0	87.0
Татары	8306.0	46.0	1461.0	223.0	2326.0	948.0	1537.0	1122.0	532.0	80.0	44.0	31.0
Белорусы	9188.0	65.0	1686.0	176.0	2550.0	1101.0	1340.0	1165.0	994.0	88.0	55.0	23.0
Армяне	5862.0	42.0	1486.0	214.0	1360.0	497.0	1562.0	540.0	112.0	16.0	5.0	33.0
Мордва	10280.0	8.0	737.0	136.0	2750.0	1926.0	2028.0	1468.0	1021.0	179.0	126.0	27.0
Азербайджанцы	1740.0	10.0	364.0	50.0	383.0	189.0	519.0	171.0	40.0	4.0	1.0	10.0
Чуваши	4349.0	9.0	364.0	68.0	1255.0	839.0	954.0	649.0	194.0	9.0	6.0	8.0
Молдаване	2478.0	9.0	194.0	44.0	709.0	447.0	589.0	346.0	118.0	8.0	5.0	14.0
Евреи	873.0	27.0	451.0	37.0	145.0	30.0	90.0	50.0	27.0	14.0	5.0	2.0
Орловская область												
Все население	729240.0	1746.0	105413.0	17318.0	188525.0	111009.0	114950.0	105415.0	71845.0	7798.0	4200.0	5221.0
Русские	695059.0	1641.0	100194.0	16701.0	181190.0	106924.0	109258.0	101282.0	69642.0	7310.0	3961.0	917.0
Украинцы	10549.0	49.0	2256.0	209.0	3129.0	1542.0	1507.0	1129.0	674.0	49.0	18.0	5.0
Городское население	467665.0	1570.0	86945.0	14507.0	137128.0	62687.0	78170.0	54617.0	24696.0	2391.0	1226.0	4954.0
Русские	447158.0	1479.0	82796.0	14036.0	132610.0	61034.0	75341.0	53104.0	23923.0	2148.0	1118.0	687.0
Украинцы	6547.0	44.0	1889.0	163.0	2121.0	709.0	796.0	477.0	325.0	19.0	2.0	4.0
Сельское население	261575.0	176.0	18468.0	2811.0	51397.0	48322.0	36780.0	50798.0	47149.0	5407.0	2974.0	267.0
Русские	247901.0	162.0	17398.0	2665.0	48580.0	45890.0	33917.0	48178.0	45719.0	5162.0	2843.0	230.0
Украинцы	4002.0	5.0	367.0	46.0	1008.0	833.0	711.0	652.0	349.0	30.0	16.0	1.0
Рязанская область												
Все население	1053782.0	1907.0	146398.0	24769.0	289834.0	147512.0	158314.0	154031.0	105167.0	13286.0	7085.0	12564.0
Русские	996009.0	1746.0	138175.0	23743.0	277460.0	141375.0	149831.0	148106.0	101710.0	12138.0	6460.0	1725.0
Украинцы	12061.0	54.0	2937.0	253.0	3760.0	1473.0	1606.0	1185.0	727.0	53.0	28.0	13.0
Мордва	6797.0	9.0	540.0	69.0	1915.0	1231.0	1137.0	1017.0	708.0	163.0	108.0	8.0
Городское население	727122.0	1711.0	125504.0	21888.0	226271.0	91313.0	116301.0	87156.0	40141.0	4545.0	2359.0	12292.0
Русские	687429.0	1569.0	118700.0	21073.0	218236.0	88374.0	111042.0	84385.0	38529.0	4001.0	2058.0	1520.0
Украинцы	8417.0	49.0	2560.0	195.0	2714.0	779.0	1032.0	665.0	395.0	20.0	11.0	8.0
Мордва	2967.0	7.0	351.0	46.0	900.0	492.0	554.0	354.0	222.0	39.0	24.0	2.0
Сельское население	326660.0	196.0	20894.0	2881.0	63563.0	56199.0	42013.0	66875.0	65026.0	8741.0	4726.0	272.0
Русские	308580.0	177.0	19475.0	2670.0	59224.0	53001.0	38789.0	63721.0	63181.0	8137.0	4402.0	205.0
Украинцы	3644.0	5.0	377.0	58.0	1046.0	694.0	574.0	520.0	332.0	33.0	17.0	5.0
Мордва	3830.0	2.0	189.0	23.0	1015.0	739.0	583.0	663.0	486.0	124.0	84.0	6.0
Смоленская область												
Все население	892875.0	1535.0	121687.0	17782.0	264700.0	116234.0	135498.0	136635.0	82893.0	9757.0	5751.0	6154.0
Русские	835019.0	1412.0	111583.0	16698.0	248384.0	109571.0	126982.0	130316.0	79213.0	8809.0	5098.0	2051.0
Украинцы	16480.0	53.0	3539.0	318.0	5547.0	2071.0	2269.0	1672.0	889.0	77.0	33.0	45.0
Белорусы	15620.0	30.0	3004.0	288.0	5221.0	2089.0	2088.0	1682.0	1064.0	112.0	62.0	42.0
Городское население	631968.0	1448.0	104001.0	15324.0	207688.0	73972.0	101318.0	81510.0	36876.0	3882.0	2222.0	5949.0
Русские	589511.0	1333.0	95466.0	14420.0	195512.0	69933.0	95261.0	77697.0	34796.0	3224.0	1762.0	1869.0
Украинцы	11647.0	53.0	3026.0	258.0	4107.0	1195.0	1478.0	944.0	509.0	35.0	13.0	42.0
Белорусы	11351.0	27.0	2529.0	236.0	3922.0	1323.0	1593.0	1047.0	572.0	62.0	30.0	40.0
Сельское население	260907.0	87.0	17686.0	2458.0	57012.0	42262.0	34180.0	55125.0	46017.0	5875.0	3529.0	205.0
Русские	245508.0	79.0	16117.0	2278.0	52872.0	39638.0	31721.0	52619.0	44417.0	5585.0	3336.0	182.0
Украинцы	4833.0	-	513.0	60.0	1440.0	876.0	791.0	728.0	380.0	42.0	20.0	3.0
Белорусы	4269.0	3.0	475.0	52.0	1299.0	766.0	495.0	635.0	492.0	50.0	32.0	2.0
Тамбовская область												
Все население	1000603.0	1782.0	127027.0	20094.0	266242.0	136888.0	165182.0	150355.0	109664.0	18754.0	11314.0	4615.0
Русские	965760.0	1677.0	122088.0	19421.0	258678.0	133305.0	158935.0	145506.0	106758.0	17628.0	10564.0	1764.0
Украинцы	10340.0	33.0	1939.0	159.0	2901.0	1312.0	1670.0	1406.0	818.0	94.0	61.0	8.0
Городское население	575135.0	1513.0	97569.0	15701.0	178133.0	70218.0	97439.0	69970.0	35949.0	5308.0	3080.0	3335.0
Русские	555142.0	1424.0	93695.0	15192.0	173342.0	68665.0	94250.0	68042.0	34856.0	4794.0	2743.0	882.0
Украинцы	5765.0	27.0	1615.0	116.0	1885.0	537.0	671.0	525.0	351.0	32.0	20.0	6.0
Сельское население	425468.0	269.0	29458.0	4393.0	88109.0	66670.0	67743.0	80385.0	73715.0	13446.0	8234.0	1280.0
Русские	410618.0	253.0	28393.0	4229.0	85336.0	64640.0	64685.0	77464.0	71902.0	12834.0	7821.0	882.0
Украинцы	4575.0	6.0	324.0	43.0	1016.0	775.0	999.0	881.0	467.0	62.0	41.0	2.0
Тверская область												
Все население	1257425.0	2712.0	163811.0	26369.0	372250.0	181631.0	183118.0	180095.0	123838.0	11243.0	5898.0	12358.0
Русские	1160525.0	2418.0	149602.0	24300.0	348063.0	170312.0	169425.0	169529.0	115165.0	9682.0	4956.0	2029.0
Украинцы	21340.0	102.0	4794.0	470.0	7436.0	2521.0	2812.0	1960.0	1099.0	109.0	51.0	37.0
Карелы	14305.0	13.0	662.0	103.0	3257.0	2733.0	1342.0	2302.0	3603.0	267.0	126.0	23.0
Белорусы	8157.0	25.0	1744.0	154.0	2809.0	964.0	966.0	805.0	616.0	65.0	33.0	9.0
Татары	6072.0	13.0	977.0	148.0	1885.0	860.0	943.0	760.0	424.0	46.0	30.0	16.0
Городское население	920689.0	2470.0	144104.0	23017.0	296044.0	119297.0	142747.0	116353.0	60157.0	4561.0	2286.0	11939.0
Русские	852279.0	2207.0	132079.0	21305.0	278684.0	113026.0	132908.0	110255.0	56285.0	3785.0	1845.0	1745.0
Украинцы	16289.0	95.0	4240.0	394.0	5795.0	1607.0	2124.0	1269.0	674.0	60.0	27.0	31.0
Карелы	5763.0	10.0	404.0	55.0	1710.0	1060.0	701.0	887.0	856.0	67.0	29.0	13.0
Белорусы	6080.0	24.0	1538.0	135.0	2116.0	608.0	710.0	558.0	356.0	27.0	12.0	8.0
Татары	4608.0	10.0	833.0	132.0	1521.0	562.0	693.0	519.0	292.0	33.0	21.0	13.0
Сельское население	336736.0	242.0	19707.0	3352.0	76206.0	62334.0	40371.0	63742.0	63681.0	6682.0	3612.0	419.0
Русские	308246.0	211.0	17523.0	2995.0	69379.0	57286.0	36517.0	59274.0	58880.0	5897.0	3111.0	284.0
Украинцы	5051.0	7.0	554.0	76.0	1641.0	914.0	688.0	691.0	425.0	49.0	24.0	6.0
Карелы	8542.0	3.0	258.0	48.0	1547.0	1673.0	641.0	1415.0	2747.0	200.0	97.0	10.0
Белорусы	2077.0	1.0	206.0	19.0	693.0	356.0	256.0	247.0	260.0	38.0	21.0	1.0
Татары	1464.0	3.0	144.0	16.0	364.0	298.0	250.0	241.0	132.0	13.0	9.0	3.0
Тульская область												
Все население	1449891.0	2852.0	200523.0	31690.0	405542.0	175820.0	247570.0	226892.0	142497.0	12420.0	7044.0	4085.0
Русские	1379786.0	2643.0	189773.0	30335.0	388774.0	168454.0	234783.0	217319.0	135283.0	10302.0	5627.0	2120.0
Украинцы	21382.0	67.0	4133.0	397.0	6186.0	2414.0	3036.0	2700.0	2202.0	228.0	101.0	19.0
Татары	8232.0	15.0	940.0	159.0	2206.0	1059.0	1451.0	1253.0	974.0	161.0	102.0	14.0
Белорусы	5799.0	14.0	906.0	91.0	1527.0	656.0	850.0	879.0	806.0	65.0	25.0	5.0
Немцы	4344.0	10.0	452.0	69.0	1186.0	512.0	772.0	659.0	613.0	68.0	41.0	3.0
Городское население	1187121.0	2635.0	184797.0	29250.0	348657.0	136422.0	209034.0	169404.0	94860.0	8210.0	4587.0	3852.0
Русские	1131831.0	2458.0	175332.0	28084.0	335227.0	131287.0	199102.0	162662.0	89379.0	6403.0	3344.0	1897.0
Украинцы	17041.0	55.0	3718.0	342.0	5060.0	1648.0	2354.0	1997.0	1683.0	167.0	73.0	17.0
Татары	7178.0	14.0	847.0	147.0	1930.0	871.0	1276.0	1055.0	876.0	148.0	94.0	14.0
Белорусы	4824.0	12.0	832.0	83.0	1271.0	507.0	683.0	724.0	657.0	50.0	18.0	5.0
Немцы	3521.0	9.0	408.0	65.0	969.0	368.0	617.0	508.0	519.0	55.0	36.0	3.0
Сельское население	262770.0	217.0	15726.0	2440.0	56885.0	39398.0	38536.0	57488.0	47637.0	4210.0	2457.0	233.0
Русские	247955.0	185.0	14441.0	2251.0	53547.0	37167.0	35681.0	54657.0	45904.0	3899.0	2283.0	223.0
Украинцы	4341.0	12.0	415.0	55.0	1126.0	766.0	682.0	703.0	519.0	61.0	28.0	2.0
Татары	1054.0	1.0	93.0	12.0	276.0	188.0	175.0	198.0	98.0	13.0	8.0	-
Белорусы	975.0	2.0	74.0	8.0	256.0	149.0	167.0	155.0	149.0	15.0	7.0	-
Немцы	823.0	1.0	44.0	4.0	217.0	144.0	155.0	151.0	94.0	13.0	5.0	-
Ярославская область												
Все население	1173472.0	2766.0	173368.0	28562.0	319409.0	184243.0	179554.0	163348.0	103016.0	9241.0	3752.0	9965.0
Русские	1117444.0	2573.0	163649.0	27087.0	307000.0	178400.0	170290.0	157552.0	99991.0	8476.0	3424.0	2426.0
Украинцы	12607.0	60.0	3151.0	315.0	3927.0	1613.0	1722.0	1096.0	649.0	70.0	30.0	4.0
Татары	5767.0	20.0	913.0	150.0	1588.0	755.0	961.0	770.0	531.0	69.0	34.0	10.0
Городское население	952305.0	2587.0	158422.0	26330.0	271499.0	142162.0	152913.0	122051.0	61937.0	4579.0	1799.0	9825.0
Русские	905191.0	2413.0	149748.0	24989.0	261274.0	137751.0	145241.0	117620.0	59785.0	4020.0	1572.0	2350.0
Украинцы	10262.0	54.0	2837.0	283.0	3205.0	1180.0	1382.0	811.0	461.0	45.0	19.0	4.0
Татары	5041.0	19.0	817.0	139.0	1401.0	649.0	837.0	665.0	449.0	56.0	31.0	9.0
Сельское население	221167.0	179.0	14946.0	2232.0	47910.0	42081.0	26641.0	41297.0	41079.0	4662.0	1953.0	140.0
Русские	212253.0	160.0	13901.0	2098.0	45726.0	40649.0	25049.0	39932.0	40206.0	4456.0	1852.0	76.0
Украинцы	2345.0	6.0	314.0	32.0	722.0	433.0	340.0	285.0	188.0	25.0	11.0	-
Татары	726.0	1.0	96.0	11.0	187.0	106.0	124.0	105.0	82.0	13.0	3.0	1.0
г. Москва												
Городское население	9126295.0	91064.0	2636564.0	554918.0	2314641.0	634716.0	1474874.0	741569.0	247546.0	28519.0	6472.0	401884.0
Русские	7712238.0	77047.0	2351973.0	498586.0	2050849.0	549364.0	1216188.0	638698.0	216517.0	23412.0	5397.0	89604.0
