5.3. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15 ЛЕТ И БОЛЕЕ ПО ПОЛУ								
И ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Все занятое в экономике население		в том числе по положению в занятии					
Женщины	288540.0	274451.0	13824.0	3439.0	9136.0	749.0	500.0	265.0
Сельское население	114150.0	110685.0	3322.0	900.0	1962.0	279.0	181.0	143.0
Мужчины	58670.0	56512.0	2086.0	559.0	1231.0	192.0	104.0	72.0
Женщины	55480.0	54173.0	1236.0	341.0	731.0	87.0	77.0	71.0
Воронежская область	914838.0	864774.0	48549.0	11284.0	30351.0	4883.0	2031.0	1515.0
Мужчины	469603.0	441275.0	27615.0	7431.0	16472.0	2620.0	1092.0	713.0
Женщины	445235.0	423499.0	20934.0	3853.0	13879.0	2263.0	939.0	802.0
Городское население	627809.0	587939.0	38681.0	9101.0	24349.0	3634.0	1597.0	1189.0
Мужчины	313039.0	291139.0	21356.0	5949.0	12771.0	1815.0	821.0	544.0
Женщины	314770.0	296800.0	17325.0	3152.0	11578.0	1819.0	776.0	645.0
Сельское население	287029.0	276835.0	9868.0	2183.0	6002.0	1249.0	434.0	326.0
Мужчины	156564.0	150136.0	6259.0	1482.0	3701.0	805.0	271.0	169.0
Женщины	130465.0	126699.0	3609.0	701.0	2301.0	444.0	163.0	157.0
Ивановская область	490773.0	464261.0	25871.0	7709.0	16238.0	1236.0	688.0	641.0
Мужчины	235649.0	220177.0	15159.0	4846.0	9218.0	712.0	383.0	313.0
Женщины	255124.0	244084.0	10712.0	2863.0	7020.0	524.0	305.0	328.0
Городское население	416987.0	393229.0	23188.0	7123.0	14473.0	1016.0	576.0	570.0
Мужчины	198493.0	184730.0	13485.0	4476.0	8130.0	567.0	312.0	278.0
Женщины	218494.0	208499.0	9703.0	2647.0	6343.0	449.0	264.0	292.0
Сельское население	73786.0	71032.0	2683.0	586.0	1765.0	220.0	112.0	71.0
Мужчины	37156.0	35447.0	1674.0	370.0	1088.0	145.0	71.0	35.0
Женщины	36630.0	35585.0	1009.0	216.0	677.0	75.0	41.0	36.0
Калужская область	475214.0	452403.0	22463.0	6872.0	13903.0	1266.0	422.0	348.0
Мужчины	238525.0	225220.0	13135.0	4408.0	7782.0	722.0	223.0	170.0
Женщины	236689.0	227183.0	9328.0	2464.0	6121.0	544.0	199.0	178.0
Городское население	379851.0	359624.0	19929.0	6048.0	12421.0	1104.0	356.0	298.0
Мужчины	188154.0	176525.0	11483.0	3887.0	6803.0	609.0	184.0	146.0
Женщины	191697.0	183099.0	8446.0	2161.0	5618.0	495.0	172.0	152.0
Сельское население	95363.0	92779.0	2534.0	824.0	1482.0	162.0	66.0	50.0
Мужчины	50371.0	48695.0	1652.0	521.0	979.0	113.0	39.0	24.0
Женщины	44992.0	44084.0	882.0	303.0	503.0	49.0	27.0	26.0
Костромская область	320647.0	304800.0	15597.0	4938.0	9504.0	899.0	256.0	250.0
Мужчины	159329.0	150456.0	8757.0	3090.0	5018.0	502.0	147.0	116.0
Женщины	161318.0	154344.0	6840.0	1848.0	4486.0	397.0	109.0	134.0
Городское население	228388.0	215412.0	12793.0	4053.0	7949.0	614.0	177.0	183.0
Мужчины	111428.0	104339.0	7012.0	2503.0	4097.0	321.0	91.0	77.0
Женщины	116960.0	111073.0	5781.0	1550.0	3852.0	293.0	86.0	106.0
Сельское население	92259.0	89388.0	2804.0	885.0	1555.0	285.0	79.0	67.0
Мужчины	47901.0	46117.0	1745.0	587.0	921.0	181.0	56.0	39.0
Женщины	44358.0	43271.0	1059.0	298.0	634.0	104.0	23.0	28.0
Курская область	485203.0	458721.0	25883.0	5687.0	18028.0	1572.0	596.0	599.0
Мужчины	243801.0	229025.0	14509.0	3566.0	9688.0	944.0	311.0	267.0
Женщины	241402.0	229696.0	11374.0	2121.0	8340.0	628.0	285.0	332.0
Городское население	337505.0	316361.0	20760.0	4783.0	14618.0	840.0	519.0	384.0
Мужчины	163308.0	151857.0	11297.0	2956.0	7626.0	446.0	269.0	154.0
Женщины	174197.0	164504.0	9463.0	1827.0	6992.0	394.0	250.0	230.0
Сельское население	147698.0	142360.0	5123.0	904.0	3410.0	732.0	77.0	215.0
Мужчины	80493.0	77168.0	3212.0	610.0	2062.0	498.0	42.0	113.0
Женщины	67205.0	65192.0	1911.0	294.0	1348.0	234.0	35.0	102.0
Липецкая область	498050.0	474528.0	22798.0	5362.0	15268.0	1487.0	681.0	724.0
Мужчины	251001.0	237881.0	12737.0	3364.0	8181.0	813.0	379.0	383.0
Женщины	247049.0	236647.0	10061.0	1998.0	7087.0	674.0	302.0	341.0
Городское население	353176.0	333690.0	18924.0	4513.0	12566.0	1294.0	551.0	562.0
Мужчины	175226.0	164615.0	10323.0	2788.0	6544.0	682.0	309.0	288.0
Женщины	177950.0	169075.0	8601.0	1725.0	6022.0	612.0	242.0	274.0
Сельское население	144874.0	140838.0	3874.0	849.0	2702.0	193.0	130.0	162.0
Мужчины	75775.0	73266.0	2414.0	576.0	1637.0	131.0	70.0	95.0
Женщины	69099.0	67572.0	1460.0	273.0	1065.0	62.0	60.0	67.0
Московская область	3226423.0	3109675.0	109380.0	33639.0	58594.0	10581.0	6566.0	7368.0
Мужчины	1655987.0	1588223.0	64043.0	22214.0	32368.0	5828.0	3633.0	3721.0
Женщины	1570436.0	1521452.0	45337.0	11425.0	26226.0	4753.0	2933.0	3647.0
Городское население	2582592.0	2483323.0	93073.0	29015.0	50148.0	8640.0	5270.0	6196.0
Мужчины	1316072.0	1259165.0	53798.0	19044.0	27163.0	4687.0	2904.0	3109.0
Женщины	1266520.0	1224158.0	39275.0	9971.0	22985.0	3953.0	2366.0	3087.0
Сельское население	643831.0	626352.0	16307.0	4624.0	8446.0	1941.0	1296.0	1172.0
Мужчины	339915.0	329058.0	10245.0	3170.0	5205.0	1141.0	729.0	612.0
Женщины	303916.0	297294.0	6062.0	1454.0	3241.0	800.0	567.0	560.0
Орловская область	353278.0	337969.0	14887.0	4313.0	9159.0	985.0	430.0	422.0
Мужчины	175379.0	166461.0	8721.0	2748.0	5221.0	520.0	232.0	197.0
Женщины	177899.0	171508.0	6166.0	1565.0	3938.0	465.0	198.0	225.0
Городское население	247839.0	235184.0	12388.0	3641.0	7719.0	739.0	289.0	267.0
Мужчины	119906.0	112744.0	7042.0	2250.0	4261.0	385.0	146.0	120.0
Женщины	127933.0	122440.0	5346.0	1391.0	3458.0	354.0	143.0	147.0
Сельское население	105439.0	102785.0	2499.0	672.0	1440.0	246.0	141.0	155.0
Мужчины	55473.0	53717.0	1679.0	498.0	960.0	135.0	86.0	77.0
Женщины	49966.0	49068.0	820.0	174.0	480.0	111.0	55.0	78.0
Рязанская область	499285.0	472901.0	25728.0	7226.0	16284.0	1572.0	646.0	656.0
Мужчины	251639.0	236721.0	14607.0	4652.0	8767.0	844.0	344.0	311.0
Женщины	247646.0	236180.0	11121.0	2574.0	7517.0	728.0	302.0	345.0
Городское население	378614.0	355278.0	22788.0	6505.0	14438.0	1318.0	527.0	548.0
Мужчины	187440.0	174441.0	12744.0	4174.0	7616.0	679.0	275.0	255.0
Женщины	191174.0	180837.0	10044.0	2331.0	6822.0	639.0	252.0	293.0
Сельское население	120671.0	117623.0	2940.0	721.0	1846.0	254.0	119.0	108.0
Мужчины	64199.0	62280.0	1863.0	478.0	1151.0	165.0	69.0	56.0
Женщины	56472.0	55343.0	1077.0	243.0	695.0	89.0	50.0	52.0
Смоленская область	437665.0	410065.0	26810.0	6496.0	17111.0	2111.0	1092.0	790.0
Мужчины	216906.0	202226.0	14300.0	3950.0	8683.0	1082.0	585.0	380.0
Женщины	220759.0	207839.0	12510.0	2546.0	8428.0	1029.0	507.0	410.0
Городское население	336006.0	311793.0	23559.0	5758.0	15133.0	1810.0	858.0	654.0
Мужчины	162769.0	150225.0	12236.0	3448.0	7448.0	900.0	440.0	308.0
Женщины	173237.0	161568.0	11323.0	2310.0	7685.0	910.0	418.0	346.0
Сельское население	101659.0	98272.0	3251.0	738.0	1978.0	301.0	234.0	136.0
Мужчины	54137.0	52001.0	2064.0	502.0	1235.0	182.0	145.0	72.0
Женщины	47522.0	46271.0	1187.0	236.0	743.0	119.0	89.0	64.0
Тамбовская область	419617.0	393861.0	25322.0	5336.0	17281.0	2005.0	700.0	434.0
Мужчины	211423.0	197011.0	14195.0	3380.0	9247.0	1160.0	408.0	217.0
Женщины	208194.0	196850.0	11127.0	1956.0	8034.0	845.0	292.0	217.0
Городское население	267840.0	248971.0	18567.0	4125.0	12958.0	1110.0	374.0	302.0
Мужчины	129158.0	119249.0	9774.0	2522.0	6476.0	575.0	201.0	135.0
Женщины	138682.0	129722.0	8793.0	1603.0	6482.0	535.0	173.0	167.0
Сельское население	151777.0	144890.0	6755.0	1211.0	4323.0	895.0	326.0	132.0
Мужчины	82265.0	77762.0	4421.0	858.0	2771.0	585.0	207.0	82.0
Женщины	69512.0	67128.0	2334.0	353.0	1552.0	310.0	119.0	50.0
Тверская область	628685.0	596813.0	30991.0	9120.0	18702.0	2088.0	1081.0	881.0
Мужчины	313711.0	295697.0	17608.0	5734.0	10092.0	1184.0	598.0	406.0
Женщины	314974.0	301116.0	13383.0	3386.0	8610.0	904.0	483.0	475.0
Городское население	495796.0	467980.0	27106.0	8249.0	16230.0	1677.0	950.0	710.0
Мужчины	242386.0	226939.0	15128.0	5141.0	8558.0	921.0	508.0	319.0
Женщины	253410.0	241041.0	11978.0	3108.0	7672.0	756.0	442.0	391.0
Сельское население	132889.0	128833.0	3885.0	871.0	2472.0	411.0	131.0	171.0
Мужчины	71325.0	68758.0	2480.0	593.0	1534.0	263.0	90.0	87.0
Женщины	61564.0	60075.0	1405.0	278.0	938.0	148.0	41.0	84.0
Тульская область	708418.0	676621.0	31074.0	9607.0	18845.0	1864.0	758.0	723.0
Мужчины	349655.0	332048.0	17249.0	5814.0	9939.0	1099.0	397.0	358.0
Женщины	358763.0	344573.0	13825.0	3793.0	8906.0	765.0	361.0	365.0
Городское население	603332.0	574683.0	28035.0	8961.0	16777.0	1589.0	708.0	614.0
Мужчины	293826.0	278123.0	15407.0	5396.0	8722.0	930.0	359.0	296.0
Женщины	309506.0	296560.0	12628.0	3565.0	8055.0	659.0	349.0	318.0
Сельское население	105086.0	101938.0	3039.0	646.0	2068.0	275.0	50.0	109.0
Мужчины	55829.0	53925.0	1842.0	418.0	1217.0	169.0	38.0	62.0
Женщины	49257.0	48013.0	1197.0	228.0	851.0	106.0	12.0	47.0
Ярославская область	635232.0	601220.0	33491.0	10446.0	20378.0	1997.0	670.0	521.0
Мужчины	310373.0	290639.0	19481.0	6619.0	11298.0	1209.0	355.0	253.0
Женщины	324859.0	310581.0	14010.0	3827.0	9080.0	788.0	315.0	268.0
Городское население	535130.0	505831.0	28855.0	9737.0	17675.0	904.0	539.0	444.0
Мужчины	258374.0	241528.0	16639.0	6156.0	9687.0	518.0	278.0	207.0
Женщины	276756.0	264303.0	12216.0	3581.0	7988.0	386.0	261.0	237.0
Сельское население	100102.0	95389.0	4636.0	709.0	2703.0	1093.0	131.0	77.0
Мужчины	51999.0	49111.0	2842.0	463.0	1611.0	691.0	77.0	46.0
Женщины	48103.0	46278.0	1794.0	246.0	1092.0	402.0	54.0	31.0
г. Москва	4996452.0	4741163.0	229901.0	74733.0	105049.0	34669.0	15450.0	25388.0
Мужчины	2681643.0	2521253.0	146461.0	54691.0	61274.0	21318.0	9178.0	13929.0
Женщины	2314809.0	2219910.0	83440.0	20042.0	43775.0	13351.0	6272.0	11459.0
Северо-Западный федеральный округ	6271481.0	5975400.0	289769.0	96296.0	155918.0	25843.0	11712.0	6312.0
Мужчины	3183521.0	3009606.0	170757.0	63346.0	86328.0	14655.0	6428.0	3158.0
Женщины	3087960.0	2965794.0	119012.0	32950.0	69590.0	11188.0	5284.0	3154.0
Городское население	5333954.0	5066270.0	261761.0	88831.0	139535.0	22786.0	10609.0	5923.0
Мужчины	2676682.0	2520927.0	152794.0	58392.0	75999.0	12600.0	5803.0	2961.0
Женщины	2657272.0	2545343.0	108967.0	30439.0	63536.0	10186.0	4806.0	2962.0
Сельское население	937527.0	909130.0	28008.0	7465.0	16383.0	3057.0	1103.0	389.0
Мужчины	506839.0	488679.0	17963.0	4954.0	10329.0	2055.0	625.0	197.0
Женщины	430688.0	420451.0	10045.0	2511.0	6054.0	1002.0	478.0	192.0
Республика Карелия	325472.0	311918.0	13429.0	4771.0	7525.0	903.0	230.0	125.0
Мужчины	162122.0	153604.0	8453.0	3086.0	4669.0	564.0	134.0	65.0
Женщины	163350.0	158314.0	4976.0	1685.0	2856.0	339.0	96.0	60.0
Городское население	258421.0	246574.0	11753.0	4355.0	6424.0	795.0	179.0	94.0
Мужчины	126821.0	119432.0	7339.0	2825.0	3922.0	484.0	108.0	50.0
Женщины	131600.0	127142.0	4414.0	1530.0	2502.0	311.0	71.0	44.0
Сельское население	67051.0	65344.0	1676.0	416.0	1101.0	108.0	51.0	31.0
Мужчины	35301.0	34172.0	1114.0	261.0	747.0	80.0	26.0	15.0
Женщины	31750.0	31172.0	562.0	155.0	354.0	28.0	25.0	16.0
Республика Коми	476898.0	459519.0	17226.0	6201.0	9567.0	966.0	492.0	153.0
Мужчины	242530.0	232816.0	9643.0	3808.0	5014.0	559.0	262.0	71.0
Женщины	234368.0	226703.0	7583.0	2393.0	4553.0	407.0	230.0	82.0
Городское население	379273.0	363829.0	15309.0	5559.0	8506.0	788.0	456.0	135.0
Мужчины	189961.0	181353.0	8542.0	3430.0	4423.0	446.0	243.0	66.0
Женщины	189312.0	182476.0	6767.0	2129.0	4083.0	342.0	213.0	69.0
Сельское население	97625.0	95690.0	1917.0	642.0	1061.0	178.0	36.0	18.0
Мужчины	52569.0	51463.0	1101.0	378.0	591.0	113.0	19.0	5.0
Женщины	45056.0	44227.0	816.0	264.0	470.0	65.0	17.0	13.0
Архангельская область	603798.0	581496.0	22107.0	8024.0	12391.0	1302.0	390.0	195.0
Мужчины	310239.0	297276.0	12864.0	5043.0	6807.0	789.0	225.0	99.0
Женщины	293559.0	284220.0	9243.0	2981.0	5584.0	513.0	165.0	96.0
Городское население	481917.0	463161.0	18583.0	6949.0	10318.0	1014.0	302.0	173.0
Мужчины	243365.0	232533.0	10748.0	4372.0	5627.0	575.0	174.0	84.0
Женщины	238552.0	230628.0	7835.0	2577.0	4691.0	439.0	128.0	89.0
Сельское население	121881.0	118335.0	3524.0	1075.0	2073.0	288.0	88.0	22.0
Мужчины	66874.0	64743.0	2116.0	671.0	1180.0	214.0	51.0	15.0
Женщины	55007.0	53592.0	1408.0	404.0	893.0	74.0	37.0	7.0
Ненецкий автономный округ	19782.0	19277.0	499.0	131.0	354.0	11.0	3.0	6.0
Мужчины	10082.0	9748.0	332.0	95.0	229.0	7.0	1.0	2.0
Женщины	9700.0	9529.0	167.0	36.0	125.0	4.0	2.0	4.0
Городское население	13765.0	13439.0	320.0	118.0	189.0	11.0	2.0	6.0
Мужчины	6910.0	6688.0	220.0	88.0	124.0	7.0	1.0	2.0
Женщины	6855.0	6751.0	100.0	30.0	65.0	4.0	1.0	4.0
Сельское население	6017.0	5838.0	179.0	13.0	165.0	-	1.0	-
Мужчины	3172.0	3060.0	112.0	7.0	105.0	-	-	-
Женщины	2845.0	2778.0	67.0	6.0	60.0	-	1.0	-
Вологодская область	570153.0	540420.0	29523.0	8787.0	18549.0	1507.0	680.0	210.0
Мужчины	282942.0	265465.0	17377.0	5861.0	10356.0	786.0	374.0	100.0
Женщины	287211.0	274955.0	12146.0	2926.0	8193.0	721.0	306.0	110.0
Городское население	421452.0	396181.0	25112.0	7472.0	15724.0	1344.0	572.0	159.0
Мужчины	204671.0	190329.0	14271.0	4892.0	8405.0	668.0	306.0	71.0
Женщины	216781.0	205852.0	10841.0	2580.0	7319.0	676.0	266.0	88.0
Сельское население	148701.0	144239.0	4411.0	1315.0	2825.0	163.0	108.0	51.0
Мужчины	78271.0	75136.0	3106.0	969.0	1951.0	118.0	68.0	29.0
Женщины	70430.0	69103.0	1305.0	346.0	874.0	45.0	40.0	22.0
Калининградская область	427251.0	402045.0	24998.0	7510.0	14523.0	2253.0	712.0	208.0
Мужчины	227483.0	212598.0	14783.0	4906.0	8246.0	1223.0	408.0	102.0
Женщины	199768.0	189447.0	10215.0	2604.0	6277.0	1030.0	304.0	106.0
Городское население	349504.0	327548.0	21766.0	6710.0	12390.0	2068.0	598.0	190.0
Мужчины	183335.0	170580.0	12668.0	4347.0	6868.0	1110.0	343.0	87.0
Женщины	166169.0	156968.0	9098.0	2363.0	5522.0	958.0	255.0	103.0
Сельское население	77747.0	74497.0	3232.0	800.0	2133.0	185.0	114.0	18.0
Мужчины	44148.0	42018.0	2115.0	559.0	1378.0	113.0	65.0	15.0
Женщины	33599.0	32479.0	1117.0	241.0	755.0	72.0	49.0	3.0
Ленинградская область	761162.0	730526.0	29995.0	10050.0	15464.0	2670.0	1811.0	641.0
Мужчины	391776.0	373777.0	17678.0	6201.0	8868.0	1626.0	983.0	321.0
Женщины	369386.0	356749.0	12317.0	3849.0	6596.0	1044.0	828.0	320.0
Городское население	521074.0	497679.0	22949.0	8013.0	11840.0	1774.0	1322.0	446.0
Мужчины	264381.0	250939.0	13213.0	4877.0	6602.0	1020.0	714.0	229.0
Женщины	256693.0	246740.0	9736.0	3136.0	5238.0	754.0	608.0	217.0
Сельское население	240088.0	232847.0	7046.0	2037.0	3624.0	896.0	489.0	195.0
Мужчины	127395.0	122838.0	4465.0	1324.0	2266.0	606.0	269.0	92.0
Женщины	112693.0	110009.0	2581.0	713.0	1358.0	290.0	220.0	103.0
Мурманская область	458173.0	440775.0	17215.0	5444.0	10290.0	1070.0	411.0	183.0
Мужчины	244312.0	234854.0	9360.0	3336.0	5204.0	624.0	196.0	98.0
Женщины	213861.0	205921.0	7855.0	2108.0	5086.0	446.0	215.0	85.0
Городское население	417312.0	400749.0	16389.0	5306.0	10082.0	609.0	392.0	174.0
Мужчины	217938.0	208967.0	8878.0	3273.0	5108.0	309.0	188.0	93.0
Женщины	199374.0	191782.0	7511.0	2033.0	4974.0	300.0	204.0	81.0
Сельское население	40861.0	40026.0	826.0	138.0	208.0	461.0	19.0	9.0
Мужчины	26374.0	25887.0	482.0	63.0	96.0	315.0	8.0	5.0
Женщины	14487.0	14139.0	344.0	75.0	112.0	146.0	11.0	4.0
Новгородская область	289819.0	274351.0	15290.0	4134.0	9199.0	1245.0	712.0	178.0
Мужчины	141980.0	133291.0	8606.0	2631.0	4882.0	715.0	378.0	83.0
Женщины	147839.0	141060.0	6684.0	1503.0	4317.0	530.0	334.0	95.0
Городское население	222052.0	208876.0	13018.0	3626.0	7901.0	878.0	613.0	158.0
Мужчины	107175.0	99966.0	7136.0	2259.0	4078.0	473.0	326.0	73.0
Женщины	114877.0	108910.0	5882.0	1367.0	3823.0	405.0	287.0	85.0
Сельское население	67767.0	65475.0	2272.0	508.0	1298.0	367.0	99.0	20.0
Мужчины	34805.0	33325.0	1470.0	372.0	804.0	242.0	52.0	10.0
Женщины	32962.0	32150.0	802.0	136.0	494.0	125.0	47.0	10.0
Псковская область	309929.0	293880.0	15921.0	4425.0	9888.0	1256.0	352.0	128.0
Мужчины	154940.0	145605.0	9278.0	2822.0	5535.0	702.0	219.0	57.0
Женщины	154989.0	148275.0	6643.0	1603.0	4353.0	554.0	133.0	71.0
Городское население	234123.0	221203.0	12817.0	3891.0	7828.0	845.0	253.0	103.0
Мужчины	113838.0	106508.0	7284.0	2465.0	4219.0	448.0	152.0	46.0
Женщины	120285.0	114695.0	5533.0	1426.0	3609.0	397.0	101.0	57.0
Сельское население	75806.0	72677.0	3104.0	534.0	2060.0	411.0	99.0	25.0
Мужчины	41102.0	39097.0	1994.0	357.0	1316.0	254.0	67.0	11.0
Женщины	34704.0	33580.0	1110.0	177.0	744.0	157.0	32.0	14.0
г. Санкт-Петербург	2048826.0	1940470.0	104065.0	36950.0	48522.0	12671.0	5922.0	4291.0
Мужчины	1025197.0	960320.0	62715.0	25652.0	26747.0	7067.0	3249.0	2162.0
Женщины	1023629.0	980150.0	41350.0	11298.0	21775.0	5604.0	2673.0	2129.0
Южный федеральный округ	7852876.0	7210544.0	640648.0	134988.0	439203.0	40275.0	26182.0	1684.0
Мужчины	4174669.0	3783421.0	390248.0	90405.0	260888.0	23707.0	15248.0	1000.0
Женщины	3678207.0	3427123.0	250400.0	44583.0	178315.0	16568.0	10934.0	684.0
Городское население	5187776.0	4761672.0	425215.0	100360.0	280206.0	27876.0	16773.0	889.0
Мужчины	2681815.0	2429019.0	252253.0	66556.0	160445.0	15818.0	9434.0	543.0
Женщины	2505961.0	2332653.0	172962.0	33804.0	119761.0	12058.0	7339.0	346.0
Сельское население	2665100.0	2448872.0	215433.0	34628.0	158997.0	12399.0	9409.0	795.0
Мужчины	1492854.0	1354402.0	137995.0	23849.0	100443.0	7889.0	5814.0	457.0
Женщины	1172246.0	1094470.0	77438.0	10779.0	58554.0	4510.0	3595.0	338.0
Республика Адыгея	146966.0	137444.0	9522.0	2765.0	6486.0	138.0	133.0	-
Мужчины	75554.0	69543.0	6011.0	1907.0	3913.0	99.0	92.0	-
Женщины	71412.0	67901.0	3511.0	858.0	2573.0	39.0	41.0	-
Городское население	89522.0	82906.0	6616.0	1876.0	4603.0	59.0	78.0	-
Мужчины	44849.0	40820.0	4029.0	1268.0	2682.0	32.0	47.0	-
Женщины	44673.0	42086.0	2587.0	608.0	1921.0	27.0	31.0	-
Сельское население	57444.0	54538.0	2906.0	889.0	1883.0	79.0	55.0	-
Мужчины	30705.0	28723.0	1982.0	639.0	1231.0	67.0	45.0	-
Женщины	26739.0	25815.0	924.0	250.0	652.0	12.0	10.0	-
Республика Дагестан	566839.0	469015.0	97820.0	7724.0	75921.0	10432.0	3743.0	4.0
Мужчины	321061.0	258083.0	62974.0	5610.0	48318.0	6733.0	2313.0	4.0
Женщины	245778.0	210932.0	34846.0	2114.0	27603.0	3699.0	1430.0	-
Городское население	312945.0	263573.0	49369.0	5180.0	34642.0	7358.0	2189.0	3.0
Мужчины	173436.0	142405.0	31028.0	3719.0	21458.0	4524.0	1327.0	3.0
Женщины	139509.0	121168.0	18341.0	1461.0	13184.0	2834.0	862.0	-
Сельское население	253894.0	205442.0	48451.0	2544.0	41279.0	3074.0	1554.0	1.0
Мужчины	147625.0	115678.0	31946.0	1891.0	26860.0	2209.0	986.0	1.0
Женщины	106269.0	89764.0	16505.0	653.0	14419.0	865.0	568.0	-
Республика Ингушетия	41524.0	35785.0	5627.0	536.0	2942.0	745.0	1404.0	112.0
Мужчины	23843.0	20694.0	3098.0	415.0	1594.0	381.0	708.0	51.0
Женщины	17681.0	15091.0	2529.0	121.0	1348.0	364.0	696.0	61.0
Городское население	21899.0	18931.0	2931.0	279.0	1483.0	416.0	753.0	37.0
Мужчины	12692.0	11032.0	1638.0	214.0	823.0	220.0	381.0	22.0
Женщины	9207.0	7899.0	1293.0	65.0	660.0	196.0	372.0	15.0
Сельское население	19625.0	16854.0	2696.0	257.0	1459.0	329.0	651.0	75.0
Мужчины	11151.0	9662.0	1460.0	201.0	771.0	161.0	327.0	29.0
Женщины	8474.0	7192.0	1236.0	56.0	688.0	168.0	324.0	46.0
Кабардино–Балкарская Республика	291904.0	260060.0	31843.0	4681.0	25816.0	986.0	360.0	1.0
Мужчины	152364.0	135484.0	16879.0	3184.0	12888.0	587.0	220.0	1.0
