7. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ЧИСЛУ ЗАНЯТЫХ В ЭКОНОМИКЕ И ЧИСЛУ ИЖДИВЕНЦЕВ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ 							
							
	Число частных домохозяйств	Из них домохозяйства, в которых имеются иждивенцы	в том числе домохозяйства с количеством иждивенцев				Домохозяйства, в которых нет иждивенцев
в них членов домохозяйств	981403.0	337548.0	246640.0	73666.0	17242.0		643855.0
Домохозяйства, в которых нет занятых	103353.0	22976.0	16922.0	4553.0	1501.0	5355.0	80377.0
в них членов домохозяйств	255358.0	69494.0	46855.0	15411.0	7228.0		185864.0
Владимирская область							
Все домохозяйства	447449.0	149181.0	111885.0	30962.0	6334.0	20702.0	298268.0
в них членов домохозяйств	1352203.0	527979.0	370611.0	125151.0	32217.0		824224.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	173588.0	21904.0	21089.0	815.0			151684.0
из них имеют занятых							
1 человека	62761.0	13794.0	13794.0				48967.0
2 человек	37279.0						37279.0
3 человек	146274.0	58403.0	50830.0	7243.0	330.0	990.0	87871.0
из них имеют занятых							
1 человека	45288.0	20657.0	14844.0	5813.0			24631.0
2 человек	71016.0	31218.0	31218.0				39798.0
3 человек	14386.0						14386.0
4 человек	89221.0	46593.0	28245.0	16000.0	2348.0	7119.0	42628.0
из них имеют занятых							
1 человека	19991.0	12464.0	6653.0	3888.0	1923.0	5769.0	7527.0
2 человек	43684.0	23879.0	12726.0	11153.0			19805.0
3 человек	16787.0	7570.0	7570.0				9217.0
4 человек	3522.0						3522.0
5 и более человек	38366.0	22281.0	11721.0	6904.0	3656.0	12593.0	16085.0
в них членов домохозяйств	209321.0	122590.0	62963.0	37792.0	21835.0		86731.0
из них имеют занятых							
1 человека	6827.0	4652.0	1950.0	1344.0	1358.0	4761.0	2175.0
2 человек	13940.0	8328.0	3926.0	3036.0	1366.0	4427.0	5612.0
3 человек	9520.0	5418.0	3366.0	1715.0	337.0	1137.0	4102.0
4 человек	4856.0	2257.0	1769.0	391.0	97.0	347.0	2599.0
5 и более человек	993.0	356.0	247.0	76.0	33.0	123.0	637.0
в них занятых	5181.0	1901.0	1260.0	448.0	193.0		3280.0
Домохозяйства, в которых есть занятые	350850.0	130593.0	98063.0	27416.0	5114.0	16564.0	220257.0
в них членов домохозяйств	1124781.0	474185.0	333977.0	113524.0	26684.0		650596.0
Домохозяйства, в которых нет занятых	96599.0	18588.0	13822.0	3546.0	1220.0	4138.0	78011.0
в них членов домохозяйств	227422.0	53794.0	36634.0	11627.0	5533.0		173628.0
Воронежская область							
Все домохозяйства	688884.0	304750.0	201622.0	80768.0	22360.0	73049.0	384134.0
в них членов домохозяйств	2132526.0	1105512.0	668227.0	324420.0	112865.0		1027014.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	259643.0	41810.0	38973.0	2837.0			217833.0
из них имеют занятых							
1 человека	82768.0	24889.0	24889.0				57879.0
2 человек	43893.0						43893.0
3 человек	213836.0	113856.0	91646.0	21044.0	1166.0	3498.0	99980.0
из них имеют занятых							
1 человека	77143.0	45965.0	29072.0	16893.0			31178.0
2 человек	89621.0	51166.0	51166.0				38455.0
3 человек	13927.0						13927.0
4 человек	142602.0	94816.0	48099.0	38049.0	8668.0	26377.0	47786.0
из них имеют занятых							
1 человека	42900.0	31826.0	13794.0	11144.0	6888.0	20664.0	11074.0
2 человек	64198.0	43332.0	20057.0	23275.0			20866.0
3 человек	18675.0	10721.0	10721.0				7954.0
4 человек	3250.0						3250.0
5 и более человек	72803.0	54268.0	22904.0	18838.0	12526.0	43174.0	18535.0
в них членов домохозяйств	401324.0	301060.0	122947.0	103418.0	74695.0		100264.0
из них имеют занятых							
1 человека	17027.0	13355.0	4344.0	4266.0	4745.0	16540.0	3672.0
2 человек	26589.0	19694.0	7703.0	7831.0	4160.0	13657.0	6895.0
3 человек	14880.0	11401.0	5975.0	4134.0	1292.0	4317.0	3479.0
4 человек	6422.0	4425.0	3051.0	1057.0	317.0	1107.0	1997.0
5 и более человек	1238.0	689.0	424.0	167.0	98.0	367.0	549.0
в них занятых	6444.0	3617.0	2214.0	867.0	536.0		2827.0
Домохозяйства, в которых есть занятые	502531.0	257463.0	171196.0	68767.0	17500.0	56652.0	245068.0
в них членов домохозяйств	1675503.0	959340.0	584085.0	284222.0	91033.0		716163.0
Домохозяйства, в которых нет занятых	186353.0	47287.0	30426.0	12001.0	4860.0	16397.0	139066.0
в них членов домохозяйств	457023.0	146172.0	84142.0	40198.0	21832.0		310851.0
Ивановская область							
Все домохозяйства	338724.0	83550.0	66483.0	13953.0	3114.0	10275.0	255174.0
в них членов домохозяйств	998175.0	287813.0	217952.0	54685.0	15176.0		710362.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	140546.0	15586.0	14817.0	769.0			124960.0
из них имеют занятых							
1 человека	49042.0	8667.0	8667.0				40375.0
2 человек	29708.0						29708.0
3 человек	110156.0	32462.0	28066.0	4080.0	316.0	948.0	77694.0
из них имеют занятых							
1 человека	34340.0	13834.0	10787.0	3047.0			20506.0
2 человек	53613.0	13702.0	13702.0				39911.0
3 человек	9684.0						9684.0
4 человек	64004.0	24106.0	16694.0	6143.0	1269.0	3919.0	39898.0
из них имеют занятых							
1 человека	14604.0	7978.0	5203.0	1849.0	926.0	2778.0	6626.0
2 человек	32357.0	11234.0	7536.0	3698.0			21123.0
3 человек	10647.0	2959.0	2959.0				7688.0
4 человек	2117.0						2117.0
5 и более человек	24018.0	11396.0	6906.0	2961.0	1529.0	5408.0	12622.0
в них членов домохозяйств	130599.0	62831.0	37344.0	16335.0	9152.0		67768.0
из них имеют занятых							
1 человека	4405.0	2777.0	1521.0	684.0	572.0	2036.0	1628.0
2 человек	8959.0	4178.0	2428.0	1248.0	502.0	1650.0	4781.0
3 человек	5631.0	2609.0	1859.0	642.0	108.0	361.0	3022.0
4 человек	2628.0	843.0	685.0	125.0	33.0	111.0	1785.0
5 и более человек	523.0	131.0	88.0	33.0	10.0	30.0	392.0
в них занятых	2720.0	690.0	456.0	178.0	56.0		2030.0
Домохозяйства, в которых есть занятые	258258.0	68912.0	55435.0	11326.0	2151.0	6966.0	189346.0
в них членов домохозяйств	809089.0	246499.0	189127.0	46412.0	10960.0		562590.0
Домохозяйства, в которых нет занятых	80466.0	14638.0	11048.0	2627.0	963.0	3309.0	65828.0
в них членов домохозяйств	189086.0	41314.0	28825.0	8273.0	4216.0		147772.0
Калужская область							
Все домохозяйства	303021.0	117064.0	84088.0	26843.0	6133.0	20046.0	185957.0
в них членов домохозяйств	928726.0	418555.0	278475.0	108746.0	31334.0		510171.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	115706.0	17302.0	16623.0	679.0			98404.0
из них имеют занятых							
1 человека	43286.0	11481.0	11481.0				31805.0
2 человек	26546.0						26546.0
3 человек	95658.0	44205.0	37571.0	6363.0	271.0	813.0	51453.0
из них имеют занятых							
1 человека	29699.0	15654.0	10254.0	5400.0			14045.0
2 человек	46906.0	24194.0	24194.0				22712.0
3 человек	9962.0						9962.0
4 человек	62786.0	36798.0	20715.0	13719.0	2364.0	7182.0	25988.0
из них имеют занятых							
1 человека	14074.0	9661.0	4733.0	2951.0	1977.0	5931.0	4413.0
2 человек	31175.0	19104.0	9043.0	10061.0			12071.0
3 человек	11822.0	6111.0	6111.0				5711.0
4 человек	2540.0						2540.0
5 и более человек	28871.0	18759.0	9179.0	6082.0	3498.0	12051.0	10112.0
в них членов домохозяйств	159196.0	104144.0	49656.0	33423.0	21065.0		55052.0
из них имеют занятых							
1 человека	4961.0	3604.0	1378.0	1071.0	1155.0	4108.0	1357.0
2 человек	10465.0	6960.0	2903.0	2638.0	1419.0	4613.0	3505.0
3 человек	7362.0	4774.0	2759.0	1639.0	376.0	1243.0	2588.0
4 человек	3674.0	2043.0	1550.0	378.0	115.0	415.0	1631.0
5 и более человек	881.0	394.0	232.0	94.0	68.0	288.0	487.0
в них занятых	4740.0	2092.0	1224.0	491.0	377.0		2648.0
Домохозяйства, в которых есть занятые	243353.0	103980.0	74638.0	24232.0	5110.0	16598.0	139373.0
в них членов домохозяйств	788231.0	380505.0	253497.0	100218.0	26790.0		407726.0
Домохозяйства, в которых нет занятых	59668.0	13084.0	9450.0	2611.0	1023.0	3448.0	46584.0
в них членов домохозяйств	140495.0	38050.0	24978.0	8528.0	4544.0		102445.0
Костромская область							
Все домохозяйства	217835.0	71511.0	52874.0	15559.0	3078.0	9978.0	146324.0
в них членов домохозяйств	646952.0	248842.0	171906.0	61664.0	15272.0		398110.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	88101.0	10966.0	10496.0	470.0			77135.0
из них имеют занятых							
1 человека	29886.0	6920.0	6920.0				22966.0
2 человек	19493.0						19493.0
3 человек	70672.0	29015.0	25037.0	3829.0	149.0	447.0	41657.0
из них имеют занятых							
1 человека	21438.0	10458.0	7306.0	3152.0			10980.0
2 человек	36187.0	15537.0	15537.0				20650.0
3 человек	6035.0						6035.0
4 человек	43242.0	22167.0	12607.0	8328.0	1232.0	3721.0	21075.0
из них имеют занятых							
1 человека	9865.0	6104.0	3152.0	1888.0	1064.0	3192.0	3761.0
2 человек	23199.0	11830.0	5859.0	5971.0			11369.0
3 человек	6687.0	3011.0	3011.0				3676.0
4 человек	1254.0						1254.0
5 и более человек	15820.0	9363.0	4734.0	2932.0	1697.0	5810.0	6457.0
в них членов домохозяйств	85766.0	51197.0	25375.0	15925.0	9897.0		34569.0
из них имеют занятых							
1 человека	3064.0	2016.0	849.0	544.0	623.0	2194.0	1048.0
2 человек	6149.0	3523.0	1549.0	1307.0	667.0	2166.0	2626.0
3 человек	3821.0	2344.0	1382.0	782.0	180.0	603.0	1477.0
4 человек	1533.0	816.0	651.0	133.0	32.0	115.0	717.0
5 и более человек	310.0	126.0	89.0	29.0	8.0	28.0	184.0
в них занятых	1598.0	648.0	454.0	153.0	41.0		950.0
Домохозяйства, в которых есть занятые	168921.0	62685.0	46305.0	13806.0	2574.0	8298.0	106236.0
в них членов домохозяйств	534180.0	223744.0	154627.0	56077.0	13040.0		310436.0
Домохозяйства, в которых нет занятых	48914.0	8826.0	6569.0	1753.0	504.0	1680.0	40088.0
в них членов домохозяйств	112772.0	25098.0	17279.0	5587.0	2232.0		87674.0
Курская область							
Все домохозяйства	354749.0	125163.0	89152.0	28721.0	7290.0	24021.0	229586.0
в них членов домохозяйств	1116514.0	457751.0	303907.0	116744.0	37100.0		658763.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	129425.0	17735.0	16591.0	1144.0			111690.0
из них имеют занятых							
1 человека	41302.0	9708.0	9708.0				31594.0
2 человек	22539.0						22539.0
3 человек	108720.0	45322.0	37611.0	7171.0	540.0	1620.0	63398.0
из них имеют занятых							
1 человека	37465.0	18283.0	12784.0	5499.0			19182.0
2 человек	48300.0	19987.0	19987.0				28313.0
3 человек	7255.0						7255.0
4 человек	74068.0	38295.0	22512.0	13155.0	2628.0	8093.0	35773.0
из них имеют занятых							
1 человека	20992.0	12716.0	6973.0	3733.0	2010.0	6030.0	8276.0
2 человек	35558.0	17991.0	9779.0	8212.0			17567.0
3 человек	9854.0	4224.0	4224.0				5630.0
4 человек	1665.0						1665.0
5 и более человек	42536.0	23811.0	12438.0	7251.0	4122.0	14308.0	18725.0
в них членов домохозяйств	235232.0	133135.0	67844.0	40323.0	24968.0		102097.0
из них имеют занятых							
1 человека	9838.0	6149.0	2937.0	1707.0	1505.0	5272.0	3689.0
2 человек	16594.0	8728.0	4257.0	3050.0	1421.0	4621.0	7866.0
3 человек	8439.0	4894.0	3024.0	1499.0	371.0	1218.0	3545.0
4 человек	3677.0	1756.0	1276.0	375.0	105.0	349.0	1921.0
5 и более человек	693.0	301.0	195.0	64.0	42.0	156.0	392.0
в них занятых	3797.0	1598.0	1026.0	330.0	242.0		2199.0
Домохозяйства, в которых есть занятые	264171.0	104737.0	75144.0	24139.0	5454.0	17646.0	159434.0
в них членов домохозяйств	895263.0	395540.0	265291.0	101513.0	28736.0		499723.0
Домохозяйства, в которых нет занятых	90578.0	20426.0	14008.0	4582.0	1836.0	6375.0	70152.0
в них членов домохозяйств	221251.0	62211.0	38616.0	15231.0	8364.0		159040.0
Липецкая область							
Все домохозяйства	350749.0	150273.0	102925.0	37602.0	9746.0	32121.0	200476.0
в них членов домохозяйств	1092553.0	544886.0	342730.0	152186.0	49970.0		547667.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	129403.0	20135.0	19319.0	816.0			109268.0
из них имеют занятых							
1 человека	44479.0	13163.0	13163.0				31316.0
2 человек	24448.0						24448.0
3 человек	110157.0	56876.0	46923.0	9612.0	341.0	1023.0	53281.0
из них имеют занятых							
1 человека	37538.0	21489.0	13435.0	8054.0			16049.0
2 человек	50424.0	28933.0	28933.0				21491.0
3 человек	8186.0						8186.0
4 человек	73522.0	47079.0	24868.0	18474.0	3737.0	11328.0	26443.0
из них имеют занятых							
1 человека	19961.0	14128.0	6304.0	4660.0	3164.0	9492.0	5833.0
2 человек	35461.0	23368.0	10740.0	12628.0			12093.0
3 человек	10921.0	6418.0	6418.0				4503.0
4 человек	1810.0						1810.0
5 и более человек	37667.0	26183.0	11815.0	8700.0	5668.0	19770.0	11484.0
в них членов домохозяйств	209188.0	145672.0	63851.0	47822.0	33999.0		63516.0
из них имеют занятых							
1 человека	8156.0	5874.0	2176.0	1744.0	1954.0	6904.0	2282.0
2 человек	14116.0	9755.0	3902.0	3766.0	2087.0	6802.0	4361.0
3 человек	8097.0	5896.0	3245.0	2076.0	575.0	1910.0	2201.0
4 человек	3496.0	2285.0	1631.0	492.0	162.0	586.0	1211.0
5 и более человек	741.0	400.0	235.0	106.0	59.0	233.0	341.0
в них занятых	4071.0	2077.0	1215.0	545.0	317.0		1994.0
Домохозяйства, в которых есть занятые	267834.0	131709.0	90182.0	33526.0	8001.0	25927.0	136125.0
в них членов домохозяйств	890203.0	487435.0	307662.0	138286.0	41487.0		402768.0
Домохозяйства, в которых нет занятых	82915.0	18564.0	12743.0	4076.0	1745.0	6194.0	64351.0
в них членов домохозяйств	202350.0	57451.0	35068.0	13900.0	8483.0		144899.0
Московская область							
Все домохозяйства	1903170.0	797968.0	552954.0	196071.0	48943.0	158343.0	1105202.0
в них членов домохозяйств	5904139.0	2889845.0	1844513.0	797039.0	248293.0		3014294.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	690538.0	111350.0	107335.0	4015.0			579188.0
из них имеют занятых							
1 человека	294778.0	81824.0	81824.0				212954.0
2 человек	171488.0						171488.0
3 человек	611143.0	287184.0	236923.0	48789.0	1472.0	4416.0	323959.0
из них имеют занятых							
1 человека	194533.0	113333.0	71050.0	42283.0			81200.0
2 человек	286935.0	150032.0	150032.0				136903.0
3 человек	74772.0						74772.0
4 человек	412180.0	261933.0	146171.0	95902.0	19860.0	59983.0	150247.0
из них имеют занятых							
1 человека	88545.0	70571.0	29909.0	23136.0	17526.0	52578.0	17974.0
2 человек	191720.0	132077.0	63401.0	68676.0			59643.0
3 человек	88651.0	48427.0	48427.0				40224.0
4 человек	21583.0						21583.0
5 и более человек	189309.0	137501.0	62525.0	47365.0	27611.0	93944.0	51808.0
в них членов домохозяйств	1040914.0	757861.0	334390.0	259034.0	164437.0		283053.0
из них имеют занятых							
1 человека	26593.0	22639.0	6728.0	6905.0	9006.0	31875.0	3954.0
2 человек	63882.0	49318.0	18564.0	19537.0	11217.0	36438.0	14564.0
3 человек	54512.0	39991.0	21112.0	14963.0	3916.0	12967.0	14521.0
4 человек	28780.0	17892.0	12775.0	3869.0	1248.0	4361.0	10888.0
5 и более человек	7305.0	3385.0	2086.0	818.0	481.0	1785.0	3920.0
в них занятых	40907.0	17978.0	10889.0	4350.0	2739.0		22929.0
Домохозяйства, в которых есть занятые	1594077.0	729489.0	505908.0	180187.0	43394.0	140004.0	864588.0
в них членов домохозяйств	5156679.0	2692335.0	1721450.0	746336.0	224549.0		2464344.0
Домохозяйства, в которых нет занятых	309093.0	68479.0	47046.0	15884.0	5549.0	18339.0	240614.0
в них членов домохозяйств	747460.0	197510.0	123063.0	50703.0	23744.0		549950.0
Орловская область							
Все домохозяйства	245215.0	71246.0	54299.0	13931.0	3016.0	9932.0	173969.0
в них членов домохозяйств	767190.0	261354.0	187421.0	57828.0	16105.0		505836.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	90311.0	10526.0	10075.0	451.0			79785.0
из них имеют занятых							
1 человека	30850.0	5964.0	5964.0				24886.0
2 человек	17159.0						17159.0
3 человек	75935.0	25230.0	21744.0	3351.0	135.0	405.0	50705.0
из них имеют занятых							
1 человека	25594.0	10588.0	8016.0	2572.0			15006.0
2 человек	34770.0	10892.0	10892.0				23878.0
3 человек	5752.0						5752.0
4 человек	50729.0	21332.0	14237.0	6126.0	969.0	2943.0	29397.0
из них имеют занятых							
1 человека	13423.0	7042.0	4468.0	1803.0	771.0	2313.0	6381.0
2 человек	25029.0	10068.0	6299.0	3769.0			14961.0
3 человек	7425.0	2569.0	2569.0				4856.0
4 человек	1237.0						1237.0
5 и более человек	28240.0	14158.0	8243.0	4003.0	1912.0	6584.0	14082.0
в них членов домохозяйств	155847.0	79284.0	45091.0	22369.0	11824.0		76563.0
из них имеют занятых							
1 человека	5779.0	3242.0	1725.0	854.0	663.0	2323.0	2537.0
2 человек	10774.0	5239.0	2870.0	1689.0	680.0	2203.0	5535.0
3 человек	6429.0	3386.0	2255.0	936.0	195.0	651.0	3043.0
4 человек	2703.0	1099.0	847.0	202.0	50.0	163.0	1604.0
5 и более человек	546.0	193.0	126.0	42.0	25.0	95.0	353.0
в них занятых	2811.0	1001.0	646.0	219.0	136.0		1810.0
Домохозяйства, в которых есть занятые	187470.0	60282.0	46031.0	11867.0	2384.0	7748.0	127188.0
в них членов домохозяйств	627136.0	228526.0	164718.0	50814.0	12994.0		398610.0
Домохозяйства, в которых нет занятых	57745.0	10964.0	8268.0	2064.0	632.0	2184.0	46781.0
в них членов домохозяйств	140054.0	32828.0	22703.0	7014.0	3111.0		107226.0
Рязанская область							
Все домохозяйства	358306.0	111682.0	83959.0	22603.0	5120.0	16677.0	246624.0
в них членов домохозяйств	1080073.0	398012.0	281056.0	91165.0	25791.0		682061.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	143593.0	16931.0	16105.0	826.0			126662.0
из них имеют занятых							
1 человека	46153.0	9621.0	9621.0				36532.0
2 человек	27339.0						27339.0
3 человек	113071.0	42707.0	36489.0	5910.0	308.0	924.0	70364.0
из них имеют занятых							
1 человека	36806.0	17013.0	12393.0	4620.0			19793.0
2 человек	52528.0	19662.0	19662.0				32866.0
3 человек	9029.0						9029.0
4 человек	69430.0	33759.0	21309.0	10465.0	1985.0	6047.0	35671.0
из них имеют занятых							
1 человека	17966.0	10928.0	6423.0	2914.0	1591.0	4773.0	7038.0
2 человек	33981.0	16062.0	9388.0	6674.0			17919.0
3 человек	10539.0	4204.0	4204.0				6335.0
4 человек	1955.0						1955.0
5 и более человек	32212.0	18285.0	10056.0	5402.0	2827.0	9706.0	13927.0
в них членов домохозяйств	175954.0	100993.0	54143.0	29923.0	16927.0		74961.0
из них имеют занятых							
1 человека	6500.0	4380.0	2114.0	1200.0	1066.0	3701.0	2120.0
2 человек	12061.0	6565.0	3416.0	2170.0	979.0	3219.0	5496.0
3 человек	7380.0	4177.0	2683.0	1229.0	265.0	878.0	3203.0
4 человек	3353.0	1552.0	1183.0	292.0	77.0	255.0	1801.0
5 и более человек	622.0	224.0	158.0	51.0	15.0	56.0	398.0
в них занятых	3247.0	1164.0	812.0	271.0	81.0		2083.0
Домохозяйства, в которых есть занятые	266212.0	94388.0	71245.0	19150.0	3993.0	12882.0	171824.0
в них членов домохозяйств	862806.0	347102.0	246843.0	79558.0	20701.0		515704.0
Домохозяйства, в которых нет занятых	92094.0	17294.0	12714.0	3453.0	1127.0	3795.0	74800.0
в них членов домохозяйств	217267.0	50910.0	34213.0	11607.0	5090.0		166357.0
Смоленская область							
Все домохозяйства	306316.0	120294.0	87010.0	27067.0	6217.0	20238.0	186022.0
в них членов домохозяйств	920784.0	419862.0	281570.0	107096.0	31196.0		500922.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	121582.0	20253.0	19307.0	946.0			101329.0
из них имеют занятых							
1 человека	42298.0	12185.0	12185.0				30113.0
2 человек	25427.0						25427.0
3 человек	99387.0	47197.0	39252.0	7611.0	334.0	1002.0	52190.0
из них имеют занятых							
1 человека	32708.0	18480.0	12477.0	6003.0			14228.0
2 человек	46016.0	22504.0	22504.0				23512.0
3 человек	7941.0						7941.0
4 человек	59516.0	35527.0	20198.0	12876.0	2453.0	7485.0	23989.0
из них имеют занятых							
1 человека	15360.0	10880.0	5518.0	3404.0	1958.0	5874.0	4480.0
2 человек	28413.0	17078.0	8659.0	8419.0			11335.0
3 человек	9358.0	4814.0	4814.0				4544.0
4 человек	1712.0						1712.0
5 и более человек	25831.0	17317.0	8253.0	5634.0	3430.0	11751.0	8514.0
в них членов домохозяйств	141395.0	95657.0	44408.0	30867.0	20382.0		45738.0
из них имеют занятых							
