2. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЭКОНОМИЧЕСКОЙ АКТИВНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ											
											
	Всего	Имеющие образование									
учащиеся	1466609.0	6523.0	104010.0	400264.0	437373.0	93162.0	391298.0	32051.0	1538.0	62.0	328.0
безработные	3670913.0	5695.0	411672.0	164374.0	1171133.0	527902.0	924129.0	395791.0	58300.0	4384.0	7533.0
из них:											
учащиеся	444730.0	592.0	9858.0	101054.0	56998.0	18458.0	191819.0	60618.0	5036.0	37.0	260.0
Экономически неактивные	18463682.0	23418.0	1614261.0	781313.0	4071726.0	1733442.0	4517278.0	4447704.0	1093646.0	110187.0	70707.0
Городское население	75315677.0	292173.0	14958507.0	3124115.0	23532832.0	9056398.0	14054797.0	7797895.0	1248110.0	118726.0	1132124.0
Экономически активные	52025983.0	252209.0	12769428.0	1887247.0	18928804.0	7051850.0	8328223.0	2404243.0	295029.0	21620.0	87330.0
в том числе:											
занятые в экономике	46988595.0	242080.0	12126175.0	1613930.0	17385469.0	6284810.0	7120306.0	1897311.0	230538.0	17330.0	70646.0
из них:											
учащиеся	2237291.0	12782.0	177181.0	618146.0	587109.0	158416.0	614876.0	64961.0	3013.0	117.0	690.0
безработные	5037388.0	10129.0	643253.0	273317.0	1543335.0	767040.0	1207917.0	506932.0	64491.0	4290.0	16684.0
из них:											
учащиеся	707598.0	1181.0	15994.0	168727.0	76352.0	28854.0	307695.0	100715.0	7489.0	87.0	504.0
Экономически неактивные	21685714.0	37353.0	2098160.0	1190197.0	4464621.0	1960152.0	5569170.0	5229942.0	916764.0	90461.0	128894.0
Мужчины	35113547.0	157402.0	6595096.0	1434386.0	10012506.0	4959054.0	6727294.0	3988001.0	622945.0	57447.0	559416.0
Экономически активные	25883605.0	140214.0	5882435.0	927646.0	8630420.0	4090855.0	4480766.0	1480288.0	190642.0	12071.0	48268.0
в том числе:											
занятые в экономике	23394993.0	135020.0	5596919.0	799085.0	7958666.0	3652203.0	3873639.0	1180361.0	150573.0	9803.0	38724.0
из них:											
учащиеся	963619.0	6537.0	81297.0	261482.0	222401.0	79498.0	272621.0	37578.0	1744.0	62.0	399.0
безработные	2488612.0	5194.0	285516.0	128561.0	671754.0	438652.0	607127.0	299927.0	40069.0	2268.0	9544.0
из них:											
учащиеся	320626.0	613.0	6856.0	75942.0	27927.0	13378.0	137011.0	54432.0	4145.0	55.0	267.0
Экономически неактивные	8495431.0	16043.0	681339.0	486978.0	1335665.0	848260.0	2178782.0	2429836.0	415458.0	41950.0	61120.0
Женщины	40202130.0	134771.0	8363411.0	1689729.0	13520326.0	4097344.0	7327503.0	3809894.0	625165.0	61279.0	572708.0
Экономически активные	26142378.0	111995.0	6886993.0	959601.0	10298384.0	2960995.0	3847457.0	923955.0	104387.0	9549.0	39062.0
в том числе:											
занятые в экономике	23593602.0	107060.0	6529256.0	814845.0	9426803.0	2632607.0	3246667.0	716950.0	79965.0	7527.0	31922.0
из них:											
учащиеся	1273672.0	6245.0	95884.0	356664.0	364708.0	78918.0	342255.0	27383.0	1269.0	55.0	291.0
безработные	2548776.0	4935.0	357737.0	144756.0	871581.0	328388.0	600790.0	207005.0	24422.0	2022.0	7140.0
из них:											
учащиеся	386972.0	568.0	9138.0	92785.0	48425.0	15476.0	170684.0	46283.0	3344.0	32.0	237.0
Экономически неактивные	13190283.0	21310.0	1416821.0	703219.0	3128956.0	1111892.0	3390388.0	2800106.0	501306.0	48511.0	67774.0
Сельское население	24451758.0	22097.0	2054236.0	381725.0	6042886.0	4613019.0	5071164.0	4709163.0	1396840.0	135023.0	25605.0
Экономически активные	15037640.0	18009.0	1703486.0	239768.0	4591726.0	3316907.0	3137485.0	1712144.0	299616.0	13690.0	4809.0
в том числе:											
занятые в экономике	12663842.0	16426.0	1587511.0	200798.0	4055020.0	2819897.0	2475065.0	1282165.0	214203.0	8746.0	4011.0
из них:											
учащиеся	308037.0	601.0	15002.0	66594.0	101133.0	26620.0	85775.0	11489.0	743.0	12.0	68.0
безработные	2373798.0	1583.0	115975.0	38970.0	536706.0	497010.0	662420.0	429979.0	85413.0	4944.0	798.0
из них:											
учащиеся	103697.0	58.0	1328.0	14486.0	12333.0	5359.0	36264.0	30163.0	3636.0	12.0	58.0
Экономически неактивные	9229729.0	3925.0	342882.0	138370.0	1427653.0	1279437.0	1901486.0	2937271.0	1073769.0	119176.0	5760.0
Мужчины	12096411.0	12011.0	918281.0	172508.0	2459116.0	2797583.0	2584832.0	2371238.0	700142.0	67126.0	13574.0
Экономически активные	8059952.0	10113.0	769642.0	110681.0	1966360.0	2131173.0	1797190.0	1054993.0	208395.0	8624.0	2781.0
в том числе:											
занятые в экономике	6808291.0	9290.0	707602.0	91329.0	1729206.0	1833677.0	1458109.0	813800.0	156860.0	6042.0	2376.0
из них:											
учащиеся	115100.0	323.0	6876.0	22994.0	28468.0	12376.0	36732.0	6821.0	474.0	5.0	31.0
безработные	1251661.0	823.0	62040.0	19352.0	237154.0	297496.0	339081.0	241193.0	51535.0	2582.0	405.0
из них:											
учащиеся	45939.0	34.0	608.0	6217.0	3760.0	2377.0	15129.0	15828.0	1944.0	7.0	35.0
Экономически неактивные	3956330.0	1817.0	145442.0	60276.0	484883.0	657887.0	774596.0	1289673.0	481429.0	57500.0	2827.0
Женщины	12355347.0	10086.0	1135955.0	209217.0	3583770.0	1815436.0	2486332.0	2337925.0	696698.0	67897.0	12031.0
Экономически активные	6977688.0	7896.0	933844.0	129087.0	2625366.0	1185734.0	1340295.0	657151.0	91221.0	5066.0	2028.0
в том числе:											
занятые в экономике	5855551.0	7136.0	879909.0	109469.0	2325814.0	986220.0	1016956.0	468365.0	57343.0	2704.0	1635.0
из них:											
учащиеся	192937.0	278.0	8126.0	43600.0	72665.0	14244.0	49043.0	4668.0	269.0	7.0	37.0
безработные	1122137.0	760.0	53935.0	19618.0	299552.0	199514.0	323339.0	188786.0	33878.0	2362.0	393.0
из них:											
учащиеся	57758.0	24.0	720.0	8269.0	8573.0	2982.0	21135.0	14335.0	1692.0	5.0	23.0
Экономически неактивные	5273399.0	2108.0	197440.0	78094.0	942770.0	621550.0	1126890.0	1647598.0	592340.0	61676.0	2933.0
