1. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ ПО ВОЗРАСТНЫМ ГРУППАМ И ЭКОНОМИЧЕСКОЙ АКТИВНОСТИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе											
Мужчины  в возрасте 15-64 лет	47209958.0	33943557.0	30203284.0	1566248.0	3740273.0	342311.0	12451761.0	1318967.0	4592350.0	883929.0	1047235.0	4609280.0	814640.0
в том числе в возрасте, лет:													
15 – 19	5907643.0	1099520.0	630414.0	7645.0	469106.0	14196.0	4586558.0	1011241.0	193696.0	831135.0	114862.0	2435624.0	221565.0
20 – 29	10256826.0	8521455.0	7419210.0	30404.0	1102245.0	21720.0	1597452.0	303962.0	159834.0	19694.0	185643.0	928319.0	137919.0
30 – 39	9608360.0	8538973.0	7731368.0	64559.0	807605.0	34386.0	952649.0	3467.0	232347.0	11630.0	243897.0	461308.0	116738.0
40 – 49	11327432.0	9737113.0	8873385.0	266218.0	863728.0	89783.0	1462429.0	297.0	615709.0	13314.0	320827.0	512282.0	127890.0
50 – 59	6899635.0	5197636.0	4779534.0	572346.0	418102.0	105620.0	1597732.0	-	1148823.0	7346.0	177667.0	263896.0	104267.0
60 – 64	3210062.0	848860.0	769373.0	625076.0	79487.0	76606.0	2254941.0	-	2241941.0	810.0	4339.0	7851.0	106261.0
Из общей численности -													
население в трудоспособном возрасте	42717601.0	33054105.0	29422514.0	940816.0	3631591.0	264362.0	9026273.0	1211555.0	2293419.0	430199.0	1029078.0	4062022.0	637223.0
учащиеся	6337570.0	1445284.0	1078719.0	9866.0	366565.0	9645.0	4715403.0	1318959.0	142596.0	804495.0	72130.0	2377223.0	176883.0
Женщины в возрасте  15-64 лет	52557477.0	33120066.0	29449153.0	2111710.0	3670913.0	338367.0	18463682.0	1462019.0	7470212.0	1753185.0	1291311.0	6486955.0	973729.0
в том числе в возрасте, лет:													
15 – 19	6202067.0	1118946.0	624330.0	4462.0	494616.0	11616.0	4865340.0	1060832.0	175154.0	966598.0	108752.0	2554004.0	217781.0
20 – 29	10841613.0	7599667.0	6468926.0	22815.0	1130741.0	17024.0	3077521.0	396918.0	130757.0	524991.0	293162.0	1731693.0	164425.0
30 – 39	9994341.0	8171915.0	7398918.0	52939.0	772997.0	27219.0	1701834.0	3989.0	194696.0	194553.0	323618.0	984978.0	120592.0
40 – 49	12462317.0	10479222.0	9662786.0	229139.0	816436.0	52584.0	1854479.0	280.0	512627.0	53442.0	405814.0	882316.0	128616.0
50 – 59	8354967.0	5074940.0	4699093.0	1275976.0	375847.0	150475.0	3124072.0	-	2628141.0	12414.0	157044.0	326473.0	155955.0
60 – 64	4702172.0	675376.0	595100.0	526379.0	80276.0	79449.0	3840436.0	-	3828837.0	1187.0	2921.0	7491.0	186360.0
Из общей численности -													
население в трудоспособном возрасте	43650055.0	31264583.0	27783885.0	832689.0	3480698.0	175984.0	11747218.0	1390024.0	1881583.0	1274268.0	1269768.0	5931575.0	638254.0
учащиеся	7371987.0	1911339.0	1466609.0	10490.0	444730.0	10411.0	5275834.0	1460626.0	147111.0	943378.0	78382.0	2646337.0	184814.0
Городское население  в возрасте 15-64 лет	75315677.0	52025983.0	46988595.0	3101701.0	5037388.0	527406.0	21685714.0	2360042.0	8339155.0	1510760.0	504297.0	8971460.0	1603980.0
в том числе в возрасте, лет:													
15 – 19	9154771.0	1655263.0	959557.0	8296.0	695706.0	17568.0	7123207.0	1718161.0	220676.0	934574.0	71942.0	4177854.0	376301.0
20 – 29	16310645.0	12625290.0	11091287.0	39532.0	1534003.0	27243.0	3404793.0	634458.0	181221.0	374474.0	88996.0	2125644.0	280562.0
30 – 39	14657674.0	12771292.0	11755061.0	88365.0	1016231.0	43540.0	1664437.0	6899.0	271800.0	142788.0	103536.0	1139414.0	221945.0
40 – 49	17724090.0	15429496.0	14325787.0	381364.0	1103709.0	110192.0	2057491.0	524.0	786535.0	43655.0	158964.0	1067813.0	237103.0
50 – 59	11763622.0	8217568.0	7653862.0	1569307.0	563706.0	207135.0	3307604.0	-	2766471.0	13884.0	78605.0	448644.0	238450.0
60 – 64	5704875.0	1327074.0	1203041.0	1014837.0	124033.0	121728.0	4128182.0	-	4112452.0	1385.0	2254.0	12091.0	249619.0
Из общей численности -													
население в трудоспособном возрасте	65496480.0	49655737.0	44848207.0	1437299.0	4807530.0	337518.0	14674117.0	2217602.0	2925230.0	1028228.0	488217.0	8014840.0	1166626.0
учащиеся	11198393.0	2944889.0	2237291.0	17822.0	707598.0	17094.0	7950410.0	2358696.0	191904.0	934131.0	69137.0	4396542.0	303094.0
Мужчины  в возрасте 15-64 лет	35113547.0	25883605.0	23394993.0	1328682.0	2488612.0	266458.0	8495431.0	1103002.0	3101449.0	462190.0	208603.0	3620187.0	734511.0
в том числе в возрасте, лет:													
15 – 19	4407652.0	797586.0	462250.0	4814.0	335336.0	9208.0	3419727.0	825593.0	112197.0	424114.0	35824.0	2021999.0	190339.0
20 – 29	7858207.0	6591265.0	5849972.0	21523.0	741293.0	15033.0	1137433.0	273941.0	98462.0	15313.0	31813.0	717904.0	129509.0
30 – 39	7104710.0	6466824.0	5957992.0	47878.0	508832.0	25039.0	527949.0	3205.0	148163.0	8042.0	38705.0	329834.0	109937.0
40 – 49	8229245.0	7254297.0	6697857.0	212603.0	556440.0	71392.0	856943.0	263.0	426582.0	8998.0	62959.0	358141.0	118005.0
50 – 59	5224380.0	4040646.0	3754520.0	495102.0	286126.0	86994.0	1087569.0	-	857835.0	5123.0	38125.0	186486.0	96165.0
60 – 64	2289353.0	732987.0	672402.0	546762.0	60585.0	58792.0	1465810.0	-	1458210.0	600.0	1177.0	5823.0	90556.0
Из общей численности -													
население в трудоспособном возрасте	31919382.0	25123473.0	22715398.0	781755.0	2408075.0	206872.0	6210354.0	1018611.0	1611537.0	231142.0	201296.0	3147768.0	585555.0
учащиеся	5145718.0	1284245.0	963619.0	8648.0	320626.0	8179.0	3713323.0	1102999.0	93376.0	415521.0	32503.0	2068924.0	148150.0
Женщины в возрасте  15-64 лет	40202130.0	26142378.0	23593602.0	1773019.0	2548776.0	260948.0	13190283.0	1257040.0	5237706.0	1048570.0	295694.0	5351273.0	869469.0
в том числе в возрасте, лет:													
15 – 19	4747119.0	857677.0	497307.0	3482.0	360370.0	8360.0	3703480.0	892568.0	108479.0	510460.0	36118.0	2155855.0	185962.0
20 – 29	8452438.0	6034025.0	5241315.0	18009.0	792710.0	12210.0	2267360.0	360517.0	82759.0	359161.0	57183.0	1407740.0	151053.0
30 – 39	7552964.0	6304468.0	5797069.0	40487.0	507399.0	18501.0	1136488.0	3694.0	123637.0	134746.0	64831.0	809580.0	112008.0
40 – 49	9494845.0	8175199.0	7627930.0	168761.0	547269.0	38800.0	1200548.0	261.0	359953.0	34657.0	96005.0	709672.0	119098.0
50 – 59	6539242.0	4176922.0	3899342.0	1074205.0	277580.0	120141.0	2220035.0	-	1908636.0	8761.0	40480.0	262158.0	142285.0
60 – 64	3415522.0	594087.0	530639.0	468075.0	63448.0	62936.0	2662372.0	-	2654242.0	785.0	1077.0	6268.0	159063.0
Из общей численности -													
население в трудоспособном возрасте	33577098.0	24532264.0	22132809.0	655544.0	2399455.0	130646.0	8463763.0	1198991.0	1313693.0	797086.0	286921.0	4867072.0	581071.0
учащиеся	6052675.0	1660644.0	1273672.0	9174.0	386972.0	8915.0	4237087.0	1255697.0	98528.0	518610.0	36634.0	2327618.0	154944.0
Сельское население  в возрасте  15-64 лет	24451758.0	15037640.0	12663842.0	576257.0	2373798.0	153272.0	9229729.0	420944.0	3723407.0	1126354.0	1834249.0	2124775.0	184389.0
в том числе в возрасте, лет:													
15 – 19	2954939.0	563203.0	295187.0	3811.0	268016.0	8244.0	2328691.0	353912.0	148174.0	863159.0	151672.0	811774.0	63045.0
20 – 29	4787794.0	3495832.0	2796849.0	13687.0	698983.0	11501.0	1270180.0	66422.0	109370.0	170211.0	389809.0	534368.0	21782.0
30 – 39	4945027.0	3939596.0	3375225.0	29133.0	564371.0	18065.0	990046.0	557.0	155243.0	63395.0	463979.0	306872.0	15385.0
40 – 49	6065659.0	4786839.0	4210384.0	113993.0	576455.0	32175.0	1259417.0	53.0	341801.0	23101.0	567677.0	326785.0	19403.0
50 – 59	3490980.0	2055008.0	1824765.0	279015.0	230243.0	48960.0	1414200.0	-	1010493.0	5876.0	256106.0	141725.0	21772.0
60 – 64	2207359.0	197162.0	161432.0	136618.0	35730.0	34327.0	1967195.0	-	1958326.0	612.0	5006.0	3251.0	43002.0
Из общей численности -													
население в трудоспособном возрасте	20871176.0	14662951.0	12358192.0	336206.0	2304759.0	102828.0	6099374.0	383977.0	1249772.0	676239.0	1810629.0	1978757.0	108851.0
учащиеся	2511164.0	411734.0	308037.0	2534.0	103697.0	2962.0	2040827.0	420889.0	97803.0	813742.0	81375.0	627018.0	58603.0
Мужчины  в возрасте 15-64 лет	12096411.0	8059952.0	6808291.0	237566.0	1251661.0	75853.0	3956330.0	215965.0	1490901.0	421739.0	838632.0	989093.0	80129.0
в том числе в возрасте, лет:													
15 – 19	1499991.0	301934.0	168164.0	2831.0	133770.0	4988.0	1166831.0	185648.0	81499.0	407021.0	79038.0	413625.0	31226.0
20 – 29	2398619.0	1930190.0	1569238.0	8881.0	360952.0	6687.0	460019.0	30021.0	61372.0	4381.0	153830.0	210415.0	8410.0
30 – 39	2503650.0	2072149.0	1773376.0	16681.0	298773.0	9347.0	424700.0	262.0	84184.0	3588.0	205192.0	131474.0	6801.0
40 – 49	3098187.0	2482816.0	2175528.0	53615.0	307288.0	18391.0	605486.0	34.0	189127.0	4316.0	257868.0	154141.0	9885.0
50 – 59	1675255.0	1156990.0	1025014.0	77244.0	131976.0	18626.0	510163.0	-	290988.0	2223.0	139542.0	77410.0	8102.0
60 – 64	920709.0	115873.0	96971.0	78314.0	18902.0	17814.0	789131.0	-	783731.0	210.0	3162.0	2028.0	15705.0
Из общей численности -													
население в трудоспособном возрасте	10798219.0	7930632.0	6707116.0	159061.0	1223516.0	57490.0	2815919.0	192944.0	681882.0	199057.0	827782.0	914254.0	51668.0
учащиеся	1191852.0	161039.0	115100.0	1218.0	45939.0	1466.0	1002080.0	215960.0	49220.0	388974.0	39627.0	308299.0	28733.0
Женщины в возрасте  15-64 лет	12355347.0	6977688.0	5855551.0	338691.0	1122137.0	77419.0	5273399.0	204979.0	2232506.0	704615.0	995617.0	1135682.0	104260.0
в том числе в возрасте, лет:													
15 – 19	1454948.0	261269.0	127023.0	980.0	134246.0	3256.0	1161860.0	168264.0	66675.0	456138.0	72634.0	398149.0	31819.0
20 – 29	2389175.0	1565642.0	1227611.0	4806.0	338031.0	4814.0	810161.0	36401.0	47998.0	165830.0	235979.0	323953.0	13372.0
30 – 39	2441377.0	1867447.0	1601849.0	12452.0	265598.0	8718.0	565346.0	295.0	71059.0	59807.0	258787.0	175398.0	8584.0
40 – 49	2967472.0	2304023.0	2034856.0	60378.0	269167.0	13784.0	653931.0	19.0	152674.0	18785.0	309809.0	172644.0	9518.0
50 – 59	1815725.0	898018.0	799751.0	201771.0	98267.0	30334.0	904037.0	-	719505.0	3653.0	116564.0	64315.0	13670.0
60 – 64	1286650.0	81289.0	64461.0	58304.0	16828.0	16513.0	1178064.0	-	1174595.0	402.0	1844.0	1223.0	27297.0
Из общей численности -													
население в трудоспособном возрасте	10072957.0	6732319.0	5651076.0	177145.0	1081243.0	45338.0	3283455.0	191033.0	567890.0	477182.0	982847.0	1064503.0	57183.0
учащиеся	1319312.0	250695.0	192937.0	1316.0	57758.0	1496.0	1038747.0	204929.0	48583.0	424768.0	41748.0	318719.0	29870.0
Центральный федеральный округ													
Городское и сельское  население  в возрасте 15-64 лет	26495537.0	17916210.0	16396856.0	969251.0	1519354.0	157336.0	7450701.0	691586.0	3111751.0	501587.0	338133.0	2807644.0	1128626.0
в том числе в возрасте, лет:													
15 – 19	2843891.0	510935.0	330896.0	2282.0	180039.0	3639.0	2042792.0	490741.0	55488.0	308571.0	19004.0	1168988.0	290164.0
20 – 29	5375330.0	4098996.0	3659331.0	11210.0	439665.0	6786.0	1093019.0	197423.0	59286.0	120119.0	57267.0	658924.0	183315.0
30 – 39	5284618.0	4498976.0	4174005.0	26922.0	324971.0	13011.0	648098.0	3126.0	104620.0	49878.0	83034.0	407440.0	137544.0
40 – 49	6407453.0	5427546.0	5072491.0	119421.0	355055.0	36767.0	830786.0	296.0	308599.0	17055.0	115221.0	389615.0	149121.0
50 – 59	4269467.0	2885605.0	2704618.0	439958.0	180987.0	59176.0	1222200.0	-	977706.0	5441.0	62241.0	176812.0	161662.0
60 – 64	2314778.0	494152.0	455515.0	369458.0	38637.0	37957.0	1613806.0	-	1606052.0	523.0	1366.0	5865.0	206820.0
Из общей численности -													
население в трудоспособном возрасте	22732871.0	17056897.0	15606314.0	383277.0	1450583.0	99052.0	4899302.0	648793.0	1040367.0	344389.0	333730.0	2532023.0	776672.0
учащиеся	3246854.0	773041.0	598193.0	4035.0	174848.0	3191.0	2217979.0	690234.0	45266.0	301049.0	12996.0	1168434.0	255834.0
Мужчины  в возрасте 15-64 лет	12648750.0	9109430.0	8305469.0	412263.0	803961.0	85276.0	3026994.0	341204.0	1187411.0	158809.0	158815.0	1180755.0	512326.0
в том числе в возрасте, лет:													
15 – 19	1399039.0	248530.0	159285.0	1410.0	89245.0	2006.0	1004680.0	244481.0	29660.0	142003.0	9525.0	579011.0	145829.0
20 – 29	2672814.0	2195268.0	1966656.0	6529.0	228612.0	4197.0	394268.0	94859.0	33759.0	6108.0	21770.0	237772.0	83278.0
30 – 39	2636535.0	2331561.0	2154202.0	15158.0	177359.0	8252.0	236213.0	1688.0	59936.0	3738.0	37014.0	133837.0	68761.0
40 – 49	3078518.0	2620529.0	2427944.0	70332.0	192585.0	26181.0	381598.0	176.0	174996.0	4335.0	54950.0	147141.0	76391.0
50 – 59	1932315.0	1445694.0	1348926.0	127151.0	96768.0	25814.0	423011.0	-	305793.0	2334.0	34768.0	80116.0	63610.0
60 – 64	929529.0	267848.0	248456.0	191683.0	19392.0	18826.0	587224.0	-	583267.0	291.0	788.0	2878.0	74457.0
Из общей численности -													
население в трудоспособном возрасте	11420778.0	8833392.0	8053987.0	220512.0	779405.0	66257.0	2196341.0	315658.0	596390.0	82577.0	157038.0	1044678.0	391045.0
учащиеся	1533092.0	339373.0	255728.0	2012.0	83645.0	1689.0	1068629.0	341204.0	22835.0	136882.0	6095.0	561613.0	125090.0
Женщины в возрасте  15-64 лет	13846787.0	8806780.0	8091387.0	556988.0	715393.0	72060.0	4423707.0	350382.0	1924340.0	342778.0	179318.0	1626889.0	616300.0
в том числе в возрасте, лет:													
15 – 19	1444852.0	262405.0	171611.0	872.0	90794.0	1633.0	1038112.0	246260.0	25828.0	166568.0	9479.0	589977.0	144335.0
20 – 29	2702516.0	1903728.0	1692675.0	4681.0	211053.0	2589.0	698751.0	102564.0	25527.0	114011.0	35497.0	421152.0	100037.0
30 – 39	2648083.0	2167415.0	2019803.0	11764.0	147612.0	4759.0	411885.0	1438.0	44684.0	46140.0	46020.0	273603.0	68783.0
40 – 49	3328935.0	2807017.0	2644547.0	49089.0	162470.0	10586.0	449188.0	120.0	133603.0	12720.0	60271.0	242474.0	72730.0
50 – 59	2337152.0	1439911.0	1355692.0	312807.0	84219.0	33362.0	799189.0	-	671913.0	3107.0	27473.0	96696.0	98052.0
60 – 64	1385249.0	226304.0	207059.0	177775.0	19245.0	19131.0	1026582.0	-	1022785.0	232.0	578.0	2987.0	132363.0
Из общей численности -													
население в трудоспособном возрасте	11312093.0	8223505.0	7552327.0	162765.0	671178.0	32795.0	2702961.0	333135.0	443977.0	261812.0	176692.0	1487345.0	385627.0
учащиеся	1713762.0	433668.0	342465.0	2023.0	91203.0	1502.0	1149350.0	349030.0	22431.0	164167.0	6901.0	606821.0	130744.0
Городское население  в возрасте 15-64 лет	21690512.0	14949434.0	13741461.0	840070.0	1207973.0	134256.0	5726415.0	600613.0	2314619.0	340666.0	79996.0	2390521.0	1014663.0
в том числе в возрасте, лет:													
15 – 19	2322871.0	413610.0	266894.0	1678.0	146716.0	2782.0	1656775.0	412969.0	36897.0	193642.0	6845.0	1006422.0	252486.0
20 – 29	4511403.0	3445513.0	3090753.0	8694.0	354760.0	5421.0	893894.0	184336.0	42182.0	90259.0	11874.0	565243.0	171996.0
30 – 39	4347575.0	3732928.0	3478487.0	21139.0	254441.0	10664.0	485308.0	3031.0	76276.0	39068.0	17662.0	349271.0	129339.0
40 – 49	5208397.0	4472458.0	4197054.0	97416.0	275404.0	31646.0	598097.0	277.0	234819.0	13069.0	28281.0	321651.0	137842.0
50 – 59	3519232.0	2443737.0	2299787.0	382145.0	143950.0	51528.0	928121.0	-	766036.0	4225.0	14917.0	142943.0	147374.0
60 – 64	1781034.0	441188.0	408486.0	328998.0	32702.0	32215.0	1164220.0	-	1158409.0	403.0	417.0	4991.0	175626.0
Из общей численности -													
население в трудоспособном возрасте	18731739.0	14184962.0	13035548.0	321334.0	1149414.0	84206.0	3832703.0	567170.0	795368.0	243665.0	78210.0	2148290.0	714074.0
учащиеся	2789416.0	703904.0	542140.0	3618.0	161764.0	2897.0	1865748.0	599273.0	33253.0	192899.0	6713.0	1033610.0	219764.0
Сельское население  в возрасте  15-64 лет	4805025.0	2966776.0	2655395.0	129181.0	311381.0	23080.0	1724286.0	90973.0	797132.0	160921.0	258137.0	417123.0	113963.0
в том числе в возрасте, лет:													
15 – 19	521020.0	97325.0	64002.0	604.0	33323.0	857.0	386017.0	77772.0	18591.0	114929.0	12159.0	162566.0	37678.0
20 – 29	863927.0	653483.0	568578.0	2516.0	84905.0	1365.0	199125.0	13087.0	17104.0	29860.0	45393.0	93681.0	11319.0
30 – 39	937043.0	766048.0	695518.0	5783.0	70530.0	2347.0	162790.0	95.0	28344.0	10810.0	65372.0	58169.0	8205.0
40 – 49	1199056.0	955088.0	875437.0	22005.0	79651.0	5121.0	232689.0	19.0	73780.0	3986.0	86940.0	67964.0	11279.0
50 – 59	750235.0	441868.0	404831.0	57813.0	37037.0	7648.0	294079.0	-	211670.0	1216.0	47324.0	33869.0	14288.0
60 – 64	533744.0	52964.0	47029.0	40460.0	5935.0	5742.0	449586.0	-	447643.0	120.0	949.0	874.0	31194.0
Из общей численности -													
население в трудоспособном возрасте	4001132.0	2871935.0	2570766.0	61943.0	301169.0	14846.0	1066599.0	81623.0	244999.0	100724.0	255520.0	383733.0	62598.0
учащиеся	457438.0	69137.0	56053.0	417.0	13084.0	294.0	352231.0	90961.0	12013.0	108150.0	6283.0	134824.0	36070.0
Белгородская область													
Городское и сельское  население  в возрасте 15-64 лет	1035084.0	666916.0	596817.0	28076.0	70099.0	7019.0	346483.0	25113.0	151579.0	30852.0	25997.0	112942.0	21685.0
в том числе в возрасте, лет:													
15 – 19	128250.0	18962.0	10301.0	66.0	8661.0	161.0	101625.0	20915.0	2812.0	20726.0	2071.0	55101.0	7663.0
20 – 29	206573.0	158084.0	136438.0	666.0	21646.0	426.0	45645.0	4160.0	3097.0	7008.0	4910.0	26470.0	2844.0
30 – 39	201527.0	172892.0	158393.0	1579.0	14499.0	606.0	26878.0	30.0	5552.0	2194.0	6349.0	12753.0	1757.0
40 – 49	249722.0	209813.0	193805.0	5414.0	16008.0	1673.0	37706.0	8.0	16101.0	671.0	8188.0	12738.0	2203.0
50 – 59	154261.0	96516.0	88730.0	12901.0	7786.0	2692.0	55262.0	-	44919.0	232.0	4406.0	5705.0	2483.0
60 – 64	94751.0	10649.0	9150.0	7450.0	1499.0	1461.0	79367.0	-	79098.0	21.0	73.0	175.0	4735.0
Из общей численности -													
население в трудоспособном возрасте	885239.0	647672.0	580368.0	15783.0	67304.0	4601.0	224872.0	22866.0	52665.0	20759.0	25649.0	102933.0	12695.0
учащиеся	141804.0	27134.0	20023.0	136.0	7111.0	114.0	107473.0	25113.0	2211.0	20360.0	1382.0	58407.0	7197.0
Мужчины  в возрасте 15-64 лет	488605.0	337711.0	302627.0	12895.0	35084.0	3457.0	141505.0	11947.0	59778.0	10095.0	11806.0	47879.0	9389.0
в том числе в возрасте, лет:													
15 – 19	62341.0	9693.0	5282.0	47.0	4411.0	92.0	48751.0	10230.0	1545.0	9629.0	1073.0	26274.0	3897.0
20 – 29	99386.0	83166.0	72532.0	432.0	10634.0	265.0	15217.0	1701.0	1865.0	162.0	1929.0	9560.0	1003.0
30 – 39	97054.0	85894.0	78603.0	853.0	7291.0	317.0	10395.0	12.0	3123.0	91.0	2739.0	4430.0	765.0
40 – 49	119638.0	101474.0	93505.0	2790.0	7969.0	1021.0	17119.0	4.0	8432.0	122.0	3672.0	4889.0	1045.0
50 – 59	71337.0	51230.0	47224.0	4480.0	4006.0	1010.0	19193.0	-	14111.0	79.0	2348.0	2655.0	914.0
60 – 64	38849.0	6254.0	5481.0	4293.0	773.0	752.0	30830.0	-	30702.0	12.0	45.0	71.0	1765.0
Из общей численности -													
население в трудоспособном возрасте	436235.0	331172.0	297062.0	8602.0	34110.0	2689.0	99209.0	10599.0	28704.0	5170.0	11658.0	43078.0	5854.0
учащиеся	66260.0	12128.0	8720.0	71.0	3408.0	57.0	50589.0	11947.0	1070.0	9475.0	699.0	27398.0	3543.0
Женщины в возрасте  15-64 лет	546479.0	329205.0	294190.0	15181.0	35015.0	3562.0	204978.0	13166.0	91801.0	20757.0	14191.0	65063.0	12296.0
в том числе в возрасте, лет:													
15 – 19	65909.0	9269.0	5019.0	19.0	4250.0	69.0	52874.0	10685.0	1267.0	11097.0	998.0	28827.0	3766.0
20 – 29	107187.0	74918.0	63906.0	234.0	11012.0	161.0	30428.0	2459.0	1232.0	6846.0	2981.0	16910.0	1841.0
30 – 39	104473.0	86998.0	79790.0	726.0	7208.0	289.0	16483.0	18.0	2429.0	2103.0	3610.0	8323.0	992.0
40 – 49	130084.0	108339.0	100300.0	2624.0	8039.0	652.0	20587.0	4.0	7669.0	549.0	4516.0	7849.0	1158.0
50 – 59	82924.0	45286.0	41506.0	8421.0	3780.0	1682.0	36069.0	-	30808.0	153.0	2058.0	3050.0	1569.0
60 – 64	55902.0	4395.0	3669.0	3157.0	726.0	709.0	48537.0	-	48396.0	9.0	28.0	104.0	2970.0
Из общей численности -													
население в трудоспособном возрасте	449004.0	316500.0	283306.0	7181.0	33194.0	1912.0	125663.0	12267.0	23961.0	15589.0	13991.0	59855.0	6841.0
учащиеся	75544.0	15006.0	11303.0	65.0	3703.0	57.0	56884.0	13166.0	1141.0	10885.0	683.0	31009.0	3654.0
Городское население  в возрасте 15-64 лет	711416.0	476167.0	426261.0	21043.0	49906.0	5072.0	220320.0	20182.0	87981.0	16678.0	5904.0	89575.0	14929.0
в том числе в возрасте, лет:													
15 – 19	93344.0	13332.0	6826.0	33.0	6506.0	95.0	74660.0	16704.0	1669.0	10065.0	638.0	45584.0	5352.0
20 – 29	149505.0	115173.0	99315.0	431.0	15858.0	257.0	32064.0	3456.0	1764.0	4555.0	958.0	21331.0	2268.0
30 – 39	135865.0	119189.0	109347.0	988.0	9842.0	428.0	15302.0	18.0	3055.0	1456.0	1307.0	9466.0	1374.0
40 – 49	173320.0	150351.0	139019.0	3862.0	11332.0	1302.0	21278.0	4.0	9765.0	434.0	1961.0	9114.0	1691.0
50 – 59	105303.0	70001.0	64711.0	10023.0	5290.0	1937.0	33577.0	-	28424.0	156.0	1032.0	3965.0	1725.0
60 – 64	54079.0	8121.0	7043.0	5706.0	1078.0	1053.0	43439.0	-	43304.0	12.0	8.0	115.0	2519.0
Из общей численности -													
население в трудоспособном возрасте	620703.0	461423.0	413544.0	11611.0	47879.0	3333.0	149707.0	18421.0	32649.0	11804.0	5800.0	81033.0	9573.0
учащиеся	110295.0	22549.0	16495.0	100.0	6054.0	86.0	82765.0	20182.0	1457.0	10228.0	606.0	50292.0	4981.0
Сельское население  в возрасте  15-64 лет	323668.0	190749.0	170556.0	7033.0	20193.0	1947.0	126163.0	4931.0	63598.0	14174.0	20093.0	23367.0	6756.0
в том числе в возрасте, лет:													
15 – 19	34906.0	5630.0	3475.0	33.0	2155.0	66.0	26965.0	4211.0	1143.0	10661.0	1433.0	9517.0	2311.0
20 – 29	57068.0	42911.0	37123.0	235.0	5788.0	169.0	13581.0	704.0	1333.0	2453.0	3952.0	5139.0	576.0
30 – 39	65662.0	53703.0	49046.0	591.0	4657.0	178.0	11576.0	12.0	2497.0	738.0	5042.0	3287.0	383.0
40 – 49	76402.0	59462.0	54786.0	1552.0	4676.0	371.0	16428.0	4.0	6336.0	237.0	6227.0	3624.0	512.0
50 – 59	48958.0	26515.0	24019.0	2878.0	2496.0	755.0	21685.0	-	16495.0	76.0	3374.0	1740.0	758.0
60 – 64	40672.0	2528.0	2107.0	1744.0	421.0	408.0	35928.0	-	35794.0	9.0	65.0	60.0	2216.0
Из общей численности -													
население в трудоспособном возрасте	264536.0	186249.0	166824.0	4172.0	19425.0	1268.0	75165.0	4445.0	20016.0	8955.0	19849.0	21900.0	3122.0
учащиеся	31509.0	4585.0	3528.0	36.0	1057.0	28.0	24708.0	4931.0	754.0	10132.0	776.0	8115.0	2216.0
Брянская область													
Городское и сельское  население  в возрасте 15-64 лет	922585.0	601093.0	525835.0	27092.0	75258.0	6947.0	313243.0	28850.0	143079.0	36824.0	24392.0	80098.0	8249.0
в том числе в возрасте, лет:													
15 – 19	110721.0	17850.0	9779.0	81.0	8071.0	207.0	90376.0	24264.0	3498.0	25497.0	1694.0	35423.0	2495.0
