1. РАЗМЕЩЕНИЕ НАСЕЛЕНИЯ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМН									
									
	Городское и сельское население			Городское население			Сельское население		
Мурманской области	1769.0	814.0	955.0	680.0	278.0	402.0	1089.0	536.0	553.0
СЕЛЬКУПЫ 	4249.0	2028.0	2221.0	786.0	353.0	433.0	3463.0	1675.0	1788.0
из них проживают на территории:									
Тюменской области	1857.0	892.0	965.0	275.0	124.0	151.0	1582.0	768.0	814.0
Ямало-Ненецкого автономного округа	1797.0	864.0	933.0	228.0	100.0	128.0	1569.0	764.0	805.0
Томской области	1787.0	871.0	916.0	312.0	146.0	166.0	1475.0	725.0	750.0
Красноярского края	412.0	188.0	224.0	58.0	21.0	37.0	354.0	167.0	187.0
СОЙОТЫ 	2769.0	1392.0	1377.0	252.0	112.0	140.0	2517.0	1280.0	1237.0
из них проживают на территории:									
Республики Бурятия	2739.0	1377.0	1362.0	232.0	103.0	129.0	2507.0	1274.0	1233.0
ТАЗЫ 	276.0	131.0	145.0	110.0	53.0	57.0	166.0	78.0	88.0
из них проживают на территории:									
Приморского края	256.0	122.0	134.0	90.0	44.0	46.0	166.0	78.0	88.0
ТЕЛЕНГИТЫ 	2399.0	1151.0	1248.0	115.0	46.0	69.0	2284.0	1105.0	1179.0
из них проживают на территории:									
Республики Алтай	2368.0	1141.0	1227.0	87.0	37.0	50.0	2281.0	1104.0	1177.0
ТЕЛЕУТЫ 	2650.0	1210.0	1440.0	1142.0	529.0	613.0	1508.0	681.0	827.0
из них проживают на территории:									
Кемеровской области	2534.0	1144.0	1390.0	1044.0	476.0	568.0	1490.0	668.0	822.0
ТОФАЛАРЫ 	837.0	421.0	416.0	138.0	73.0	65.0	699.0	348.0	351.0
из них проживают на территории:									
Иркутской области	723.0	362.0	361.0	42.0	24.0	18.0	681.0	338.0	343.0
ТУБАЛАРЫ 	1565.0	786.0	779.0	150.0	65.0	85.0	1415.0	721.0	694.0
из них проживают на территории:									
Республики Алтай	1533.0	772.0	761.0	120.0	52.0	68.0	1413.0	720.0	693.0
ТУВИНЦЫ-ТОДЖИНЦЫ 	4442.0	2154.0	2288.0	7.0	4.0	3.0	4435.0	2150.0	2285.0
из них проживают на территории:									
Республики Тыва	4435.0	2150.0	2285.0	3.0	2.0	1.0	4432.0	2148.0	2284.0
УДЭГЕЙЦЫ 	1657.0	791.0	866.0	425.0	160.0	265.0	1232.0	631.0	601.0
из них проживают на территории:									
Приморского края	918.0	473.0	445.0	178.0	74.0	104.0	740.0	399.0	341.0
Хабаровского края	613.0	278.0	335.0	159.0	57.0	102.0	454.0	221.0	233.0
УЛЬТА (ОРОКИ) 	346.0	168.0	178.0	201.0	95.0	106.0	145.0	73.0	72.0
из них проживают на территории:									
Сахалинской области	298.0	151.0	147.0	169.0	85.0	84.0	129.0	66.0	63.0
УЛЬЧИ 	2913.0	1366.0	1547.0	564.0	239.0	325.0	2349.0	1127.0	1222.0
из них проживают на территории:									
Хабаровского края	2718.0	1273.0	1445.0	413.0	164.0	249.0	2305.0	1109.0	1196.0
ХАНТЫ 	28678.0	13033.0	15645.0	9924.0	4152.0	5772.0	18754.0	8881.0	9873.0
из них проживают на территории:									
Тюменской области	26694.0	12130.0	14564.0	8924.0	3685.0	5239.0	17770.0	8445.0	9325.0
Ханты-Мансийского автономного округа - Югра	17128.0	7850.0	9278.0	6798.0	2904.0	3894.0	10330.0	4946.0	5384.0
Ямало-Ненецкого автономного округа	8760.0	3965.0	4795.0	1657.0	604.0	1053.0	7103.0	3361.0	3742.0
Томской области	873.0	396.0	477.0	186.0	78.0	108.0	687.0	318.0	369.0
Республики Коми	88.0	49.0	39.0	80.0	45.0	35.0	8.0	4.0	4.0
ЧЕЛКАНЦЫ 	855.0	376.0	479.0	135.0	65.0	70.0	720.0	311.0	409.0
из них проживают на территории:									
Республики Алтай	830.0	364.0	466.0	113.0	56.0	57.0	717.0	308.0	409.0
ЧУВАНЦЫ 	1087.0	483.0	604.0	366.0	146.0	220.0	721.0	337.0	384.0
из них проживают на территории:									
Чукотского автономного округа	951.0	425.0	526.0	259.0	99.0	160.0	692.0	326.0	366.0
Магаданской области	39.0	13.0	26.0	36.0	12.0	24.0	3.0	1.0	2.0
ЧУКЧИ 	15767.0	7443.0	8324.0	3402.0	1508.0	1894.0	12365.0	5935.0	6430.0
из них проживают на территории:									
Чукотского автономного округа	12622.0	5940.0	6682.0	2264.0	939.0	1325.0	10358.0	5001.0	5357.0
Корякского автономного округа	1412.0	656.0	756.0	56.0	18.0	38.0	1356.0	638.0	718.0
ЧУЛЫМЦЫ 	656.0	318.0	338.0	54.0	29.0	25.0	602.0	289.0	313.0
из них проживают на территории:									
Томской области	484.0	233.0	251.0	33.0	19.0	14.0	451.0	214.0	237.0
Красноярского края	159.0	76.0	83.0	11.0	2.0	9.0	148.0	74.0	74.0
ШАПСУГИ 	3231.0	1626.0	1605.0	810.0	417.0	393.0	2421.0	1209.0	1212.0
из них проживают на территории:									
Краснодарского края	3213.0	1613.0	1600.0	792.0	404.0	388.0	2421.0	1209.0	1212.0
ШОРЦЫ 	13975.0	6455.0	7520.0	9939.0	4524.0	5415.0	4036.0	1931.0	2105.0
из них проживают на территории:									
Кемеровской области	11554.0	5399.0	6155.0	8545.0	3912.0	4633.0	3009.0	1487.0	1522.0
Республики Хакасия	1078.0	455.0	623.0	531.0	221.0	310.0	547.0	234.0	313.0
Республики Алтай	141.0	75.0	66.0	18.0	14.0	4.0	123.0	61.0	62.0
ЭВЕНКИ 	35527.0	17005.0	18522.0	8576.0	3862.0	4714.0	26951.0	13143.0	13808.0
из них проживают на территории:									
Республики Саха (Якутия)	18232.0	9194.0	9038.0	4221.0	2154.0	2067.0	14011.0	7040.0	6971.0
Красноярского края	4632.0	2069.0	2563.0	1438.0	571.0	867.0	3194.0	1498.0	1696.0
Эвенкийского автономного округа	3802.0	1713.0	2089.0	1079.0	422.0	657.0	2723.0	1291.0	1432.0
Хабаровского края	4533.0	1987.0	2546.0	699.0	226.0	473.0	3834.0	1761.0	2073.0
Республики Бурятия	2334.0	1137.0	1197.0	662.0	295.0	367.0	1672.0	842.0	830.0
Амурской области	1501.0	700.0	801.0	174.0	80.0	94.0	1327.0	620.0	707.0
Читинской области	1492.0	705.0	787.0	213.0	90.0	123.0	1279.0	615.0	664.0
Иркутской области	1431.0	683.0	748.0	350.0	150.0	200.0	1081.0	533.0	548.0
Сахалинской области	243.0	98.0	145.0	89.0	34.0	55.0	154.0	64.0	90.0
Томской области	103.0	51.0	52.0	19.0	9.0	10.0	84.0	42.0	42.0
Тюменской области	109.0	57.0	52.0	36.0	19.0	17.0	73.0	38.0	35.0
ЭВЕНЫ 	19071.0	8059.0	11012.0	6116.0	2224.0	3892.0	12955.0	5835.0	7120.0
из них проживают на территории:									
Республики Саха (Якутия)	11657.0	4609.0	7048.0	3569.0	1123.0	2446.0	8088.0	3486.0	4602.0
Магаданской области	2527.0	1145.0	1382.0	1415.0	584.0	831.0	1112.0	561.0	551.0
Камчатской области	1779.0	832.0	947.0	277.0	116.0	161.0	1502.0	716.0	786.0
Корякского автономного округа	751.0	358.0	393.0	117.0	40.0	77.0	634.0	318.0	316.0
Чукотского автономного округа	1407.0	670.0	737.0	313.0	135.0	178.0	1094.0	535.0	559.0
Хабаровского края	1272.0	594.0	678.0	257.0	121.0	136.0	1015.0	473.0	542.0
ЭНЦЫ 	237.0	122.0	115.0	51.0	23.0	28.0	186.0	99.0	87.0
из них проживают на территории:									
Таймырского (Долгано-Ненецкого) автономного округа	197.0	99.0	98.0	24.0	8.0	16.0	173.0	91.0	82.0
ЭСКИМОСЫ 	1750.0	835.0	915.0	557.0	237.0	320.0	1193.0	598.0	595.0
из них проживают на территории:									
Чукотского автономного округа	1534.0	733.0	801.0	394.0	159.0	235.0	1140.0	574.0	566.0
Корякского автономного округа	3.0	2.0	1.0	-	-	-	3.0	2.0	1.0
ЮКАГИРЫ 	1509.0	722.0	787.0	685.0	328.0	357.0	824.0	394.0	430.0
из них проживают на территории:									
Республики Саха (Якутия)	1097.0	528.0	569.0	426.0	201.0	225.0	671.0	327.0	344.0
Магаданской области	79.0	43.0	36.0	68.0	37.0	31.0	11.0	6.0	5.0
