1. ПРОДОЛЖИТЕЛЬНОСТЬ ПРОЖИВАНИЯ НАСЕЛЕНИЯ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В МЕСТЕ								
ПОСТОЯННОГО ЖИТЕЛЬСТВА ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ								
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Всего	в том числе население в возрасте			Возраст не указан	Из общей численности – население в возрасте, в процентах		
с рождения	22485070.0	6670542.0	11170284.0	4642018.0	2226.0	29.6665387299	49.678671225	20.6448901427
не с рождения	14840411.0	1282988.0	9621299.0	3934764.0	1360.0	8.64523226479	64.8317556704	26.5138478981
в том числе:								
с 1992-2002 года	5544048.0	1042053.0	3687358.0	814099.0	538.0	18.7958870486	66.5102105898	14.6841982609
с 1989-1991 года	1370212.0	155718.0	1027634.0	186756.0	104.0	11.3645187752	74.9981754648	13.6297156936
с 1988 года и ранее	7802765.0	57686.0	4843582.0	2900838.0	659.0	0.739302029473	62.0752002655	37.1770519809
год не указан	123386.0	27531.0	62725.0	33071.0	59.0	22.3129042193	50.8363995915	26.8028787707
не указавшие непрерывность проживания в месте постоянного жительства	143775.0	39618.0	79593.0	21058.0	3506.0	27.5555555556	55.3594157538	14.6464962615
Мужчины, проживающие непрерывно в месте постоянного жительства	17673767.0	4083555.0	10798219.0	2788609.0	3384.0	23.1051761631	61.0974389331	15.7782378822
с рождения	10973824.0	3408195.0	6064479.0	1500095.0	1055.0	31.057496457	55.2631334346	13.669756322
не с рождения	6629839.0	655551.0	4691725.0	1282016.0	547.0	9.88788717192	70.7668014261	19.3370608246
в том числе:								
с 1992-2002 года	2635039.0	532144.0	1835809.0	266850.0	236.0	20.1949193162	69.6691396218	10.1269848378
с 1989-1991 года	637204.0	79679.0	490132.0	67361.0	32.0	12.504472665	76.9191656047	10.5713397907
с 1988 года и ранее	3302286.0	29869.0	2334510.0	937652.0	255.0	0.904494644013	70.6937557801	28.3940276524
год не указан	55310.0	13859.0	31274.0	10153.0	24.0	25.0569517266	56.543120593	18.3565358886
не указавшие непрерывность проживания в месте постоянного жительства	70104.0	19809.0	42015.0	6498.0	1782.0	28.2565902088	59.9323861691	9.26908592948
Женщины, проживающие непрерывно в месте постоянного жительства	19795489.0	3909593.0	10072957.0	5809231.0	3708.0	19.749918782	50.88511327	29.3462364077
с рождения	11511246.0	3262347.0	5105805.0	3141923.0	1171.0	28.3405202182	44.3549290841	27.2943780369
не с рождения	8210572.0	627437.0	4929574.0	2652748.0	813.0	7.64181837757	60.0393492682	32.3089304862
в том числе:								
с 1992-2002 года	2909009.0	509909.0	1851549.0	547249.0	302.0	17.5286154151	63.6487889862	18.8122140564
с 1989-1991 года	733008.0	76039.0	537502.0	119395.0	72.0	10.3735566324	73.3282583546	16.2883624735
с 1988 года и ранее	4500479.0	27817.0	2509072.0	1963186.0	404.0	0.618089763334	55.7512211478	43.6217122666
год не указан	68076.0	13672.0	31451.0	22918.0	35.0	20.0834361596	46.199835478	33.6653152359
не указавшие непрерывность проживания в месте постоянного жительства	73671.0	19809.0	37578.0	14560.0	1724.0	26.8884635745	51.0078592662	19.763543321
Центральный федеральный округ								
Городское и сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	37496981.0	5775192.0	22732871.0	8940599.0	48319.0	15.4017519437	60.6258701201	23.8435168954
с рождения	20876935.0	4805752.0	12270258.0	3795466.0	5459.0	23.0194326897	58.7742309875	18.1801878485
не с рождения	15532415.0	801229.0	9777378.0	4949427.0	4381.0	5.1584315768	62.9482150715	31.8651478215
в том числе:								
с 1992-2002 года	4507065.0	637701.0	3269263.0	598529.0	1572.0	14.1489195297	72.5364067303	13.279795166
с 1989-1991 года	997044.0	92536.0	765862.0	138447.0	199.0	9.28103473869	76.8132599965	13.885746266
с 1988 года и ранее	9773043.0	38602.0	5588053.0	4144289.0	2099.0	0.394984448549	57.1782299536	42.4053081522
год не указан	255263.0	32390.0	154200.0	68162.0	511.0	12.6888738282	60.4082847886	26.7026556924
не указавшие непрерывность проживания в месте постоянного жительства	1087631.0	168211.0	685235.0	195706.0	38479.0	15.4658151524	63.0025256728	17.9937864956
Мужчины, проживающие непрерывно в месте постоянного жительства	17136366.0	2957867.0	11420778.0	2732394.0	25327.0	17.2607599534	66.6464406748	15.9450025752
с рождения	9839176.0	2462072.0	6234915.0	1139351.0	2838.0	25.0231523453	63.3682637652	11.5797400107
не с рождения	6761753.0	410110.0	4818645.0	1530804.0	2194.0	6.06514316628	71.2632508168	22.6391588099
в том числе:								
с 1992-2002 года	2195978.0	326283.0	1693180.0	175682.0	833.0	14.858208962	77.1036868311	8.00017122212
с 1989-1991 года	469620.0	47492.0	377355.0	44677.0	96.0	10.1128572037	80.3532643414	9.51343639538
с 1988 года и ранее	3977610.0	19942.0	2666681.0	1289987.0	1000.0	0.501356342125	67.042294242	32.4312086906
год не указан	118545.0	16393.0	81429.0	20458.0	265.0	13.8285039437	68.6903707453	17.2575815091
не указавшие непрерывность проживания в месте постоянного жительства	535437.0	85685.0	367218.0	62239.0	20295.0	16.0028163911	68.5828584876	11.62396323
Женщины, проживающие непрерывно в месте постоянного жительства	20360615.0	2817325.0	11312093.0	6208205.0	22992.0	13.8371311476	55.5586999705	30.4912449845
с рождения	11037759.0	2343680.0	6035343.0	2656115.0	2621.0	21.2332956355	54.6790612116	24.0638973908
не с рождения	8770662.0	391119.0	4958733.0	3418623.0	2187.0	4.45940112616	56.5377277109	38.977935759
в том числе:								
с 1992-2002 года	2311087.0	311418.0	1576083.0	422847.0	739.0	13.4749578878	68.1966105127	18.2964553044
с 1989-1991 года	527424.0	45044.0	388507.0	93770.0	103.0	8.54037738139	73.6612289164	17.7788648222
с 1988 года и ранее	5795433.0	18660.0	2921372.0	2854302.0	1099.0	0.321977667588	50.4081748508	49.2508842739
год не указан	136718.0	15997.0	72771.0	47704.0	246.0	11.700727044	53.22708056	34.8922599804
не указавшие непрерывность проживания в месте постоянного жительства	552194.0	82526.0	318017.0	133467.0	18184.0	14.9451098708	57.5915348591	24.17030971
Городское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	29976026.0	4494114.0	18731739.0	6704245.0	45928.0	14.9923608953	62.4890670965	22.365356235
с рождения	16334564.0	3765582.0	10148271.0	2415902.0	4809.0	23.052846712	62.1275903048	14.7901223443
не с рождения	12609938.0	574861.0	7926011.0	4105097.0	3969.0	4.55879323118	62.8552733566	32.5544582376
в том числе:								
с 1992-2002 года	3415708.0	456426.0	2554158.0	403730.0	1394.0	13.3625590946	74.7768251853	11.819804269
с 1989-1991 года	717082.0	63839.0	560485.0	92604.0	154.0	8.90260806993	78.1619117479	12.9140042561
с 1988 года и ранее	8253037.0	28726.0	4672517.0	3549872.0	1922.0	0.348065808986	56.6157282465	43.0129175478
год не указан	224111.0	25870.0	138851.0	58891.0	499.0	11.5433869823	61.9563519863	26.277603509
не указавшие непрерывность проживания в месте постоянного жительства	1031524.0	153671.0	657457.0	183246.0	37150.0	14.8974720898	63.7364714733	17.7645890934
Мужчины, проживающие непрерывно в месте постоянного жительства	13690126.0	2300702.0	9326250.0	2038963.0	24211.0	16.8055575237	68.1239164636	14.8936759238
с рождения	7713649.0	1928610.0	5065615.0	716891.0	2533.0	25.0025636375	65.6707999029	9.29379856408
не с рождения	5466865.0	293628.0	3907734.0	1263473.0	2030.0	5.37104903816	71.4803456826	23.1114724801
в том числе:								
с 1992-2002 года	1673759.0	232880.0	1327626.0	112490.0	763.0	13.9135921002	79.3200215802	6.72080030638
с 1989-1991 года	338930.0	32746.0	277914.0	28194.0	76.0	9.66158203759	81.9974626029	8.31853185023
с 1988 года и ранее	3349202.0	14815.0	2228401.0	1105048.0	938.0	0.442344176314	66.5352821359	32.9943670164
год не указан	104974.0	13187.0	73793.0	17741.0	253.0	12.5621582487	70.2964543601	16.900375331
не указавшие непрерывность проживания в месте постоянного жительства	509612.0	78464.0	352901.0	58599.0	19648.0	15.396811692	69.2489580308	11.4987480672
Женщины, проживающие непрерывно в месте постоянного жительства	16285900.0	2193412.0	9405489.0	4665282.0	21717.0	13.4681657139	57.7523440522	28.6461417545
с рождения	8620915.0	1836972.0	5082656.0	1699011.0	2276.0	21.3083182006	58.957268457	19.7080124326
не с рождения	7143073.0	281233.0	4018277.0	2841624.0	1939.0	3.93714301954	56.2541779987	39.781533802
в том числе:								
с 1992-2002 года	1741949.0	223546.0	1226532.0	291240.0	631.0	12.833096721	70.4114758813	16.7192036047
с 1989-1991 года	378152.0	31093.0	282571.0	64410.0	78.0	8.22235503184	74.7241849838	17.032833358
с 1988 года и ранее	4903835.0	13911.0	2444116.0	2444824.0	984.0	0.283675939341	49.8409102264	49.8553479063
год не указан	119137.0	12683.0	65058.0	41150.0	246.0	10.645727188	54.6077205234	34.5400673175
не указавшие непрерывность проживания в месте постоянного жительства	521912.0	75207.0	304556.0	124647.0	17502.0	14.4099005196	58.3538987416	23.8827618449
Сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	7520955.0	1281078.0	4001132.0	2236354.0	2391.0	17.0334485448	53.1997864633	29.7349738165
с рождения	4542371.0	1040170.0	2121987.0	1379564.0	650.0	22.8992744098	46.7154047963	30.3710110865
не с рождения	2922477.0	226368.0	1851367.0	844330.0	412.0	7.74575813599	63.3492410719	28.8909031619
в том числе:								
с 1992-2002 года	1091357.0	181275.0	715105.0	194799.0	178.0	16.6100551882	65.5243884448	17.8492463969
с 1989-1991 года	279962.0	28697.0	205377.0	45843.0	45.0	10.2503196862	73.35888442	16.3747222837
с 1988 года и ранее	1520006.0	9876.0	915536.0	594417.0	177.0	0.649734277365	60.2323938195	39.1062272123
год не указан	31152.0	6520.0	15349.0	9271.0	12.0	20.9296353364	49.2713148433	29.760529019
не указавшие непрерывность проживания в месте постоянного жительства	56107.0	14540.0	27778.0	12460.0	1329.0	25.914769993	49.5089739248	22.2075676832
Мужчины, проживающие непрерывно в месте постоянного жительства	3446240.0	657165.0	2094528.0	693431.0	1116.0	19.0690433632	60.7771948558	20.121378662
с рождения	2125527.0	533462.0	1169300.0	422460.0	305.0	25.0978698459	55.0122393176	19.875541454
не с рождения	1294888.0	116482.0	910911.0	267331.0	164.0	8.99552702628	70.3467017997	20.645105986
в том числе:								
с 1992-2002 года	522219.0	93403.0	365554.0	63192.0	70.0	17.8857912102	70.0001340434	12.1006704084
с 1989-1991 года	130690.0	14746.0	99441.0	16483.0	20.0	11.2831892264	76.089218762	12.6122886219
с 1988 года и ранее	628408.0	5127.0	438280.0	184939.0	62.0	0.815871217426	69.7444972056	29.4297653754
год не указан	13571.0	3206.0	7636.0	2717.0	12.0	23.6239039128	56.2670400118	20.0206322305
не указавшие непрерывность проживания в месте постоянного жительства	25825.0	7221.0	14317.0	3640.0	647.0	27.9612778316	55.4385285576	14.0948693127
Женщины, проживающие непрерывно в месте постоянного жительства	4074715.0	623913.0	1906604.0	1542923.0	1275.0	15.3118193542	46.7911007273	37.8657893865
с рождения	2416844.0	506708.0	952687.0	957104.0	345.0	20.9656891384	39.418638522	39.601397525
не с рождения	1627589.0	109886.0	940456.0	576999.0	248.0	6.75145875279	57.7821550772	35.451148908
в том числе:								
с 1992-2002 года	569138.0	87872.0	349551.0	131607.0	108.0	15.4394891924	61.4176175198	23.1239172222
с 1989-1991 года	149272.0	13951.0	105936.0	29360.0	25.0	9.34602604641	70.9684334637	19.6687925398
с 1988 года и ранее	891598.0	4749.0	477256.0	409478.0	115.0	0.532639149034	53.5281595517	45.9263031097
год не указан	17581.0	3314.0	7713.0	6554.0	-	18.8498947728	43.8712246175	37.2788806097
не указавшие непрерывность проживания в месте постоянного жительства	30282.0	7319.0	13461.0	8820.0	682.0	24.1694736147	44.452149792	29.1262135922
Белгородская область								
Городское и сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	1497585.0	262786.0	885239.0	349043.0	517.0	17.5473178484	59.1111022079	23.3070576962
с рождения	834427.0	214176.0	439091.0	181069.0	91.0	25.6674340595	52.6218590722	21.6998011809
не с рождения	648176.0	45402.0	437555.0	165109.0	110.0	7.00457900323	67.5055849029	25.4728653946
в том числе:								
с 1992-2002 года	243901.0	37316.0	164992.0	41550.0	43.0	15.2996502679	67.647119118	17.03560051
с 1989-1991 года	54211.0	5414.0	41545.0	7245.0	7.0	9.98690302706	76.6357381343	13.3644463301
с 1988 года и ранее	344257.0	1845.0	227868.0	114493.0	51.0	0.535936814647	66.1912466558	33.2580020159
год не указан	5807.0	827.0	3150.0	1821.0	9.0	14.2414327536	54.2448768727	31.3587050112
не указавшие непрерывность проживания в месте постоянного жительства	14982.0	3208.0	8593.0	2865.0	316.0	21.4123615005	57.3554932586	19.122947537
Мужчины, проживающие непрерывно в месте постоянного жительства	682587.0	133834.0	436235.0	112283.0	235.0	19.6068779511	63.9090694666	16.4496247365
с рождения	393499.0	109234.0	226434.0	57798.0	33.0	27.7596639382	57.5437294631	14.6882203004
не с рождения	282346.0	23067.0	205577.0	53643.0	59.0	8.16976334002	72.8103107535	18.9990295595
в том числе:								
с 1992-2002 года	110859.0	18871.0	79083.0	12886.0	19.0	17.0225241072	71.3365626607	11.623774344
с 1989-1991 года	25055.0	2911.0	19705.0	2438.0	1.0	11.6184394332	78.6469766514	9.73059269607
с 1988 года и ранее	144026.0	881.0	105311.0	37795.0	39.0	0.611695110605	73.1194367684	26.2417896769
год не указан	2406.0	404.0	1478.0	524.0	-	16.791354946	61.429758936	21.778886118
не указавшие непрерывность проживания в месте постоянного жительства	6742.0	1533.0	4224.0	842.0	143.0	22.7380599229	62.652032038	12.4888757045
Женщины, проживающие непрерывно в месте постоянного жительства	814998.0	128952.0	449004.0	236760.0	282.0	15.8223701162	55.0926505341	29.0503780377
с рождения	440928.0	104942.0	212657.0	123271.0	58.0	23.8002576384	48.2294161405	27.957172146
не с рождения	365830.0	22335.0	231978.0	111466.0	51.0	6.10529480906	63.4114206052	30.4693436842
в том числе:								
с 1992-2002 года	133042.0	18445.0	85909.0	28664.0	24.0	13.8640429338	64.572841659	21.545075991
с 1989-1991 года	29156.0	2503.0	21840.0	4807.0	6.0	8.58485388942	74.9073947043	16.4871724516
с 1988 года и ранее	200231.0	964.0	122557.0	76698.0	12.0	0.481443932258	61.2078049852	38.3047580045
год не указан	3401.0	423.0	1672.0	1297.0	9.0	12.4375183769	49.1620111732	38.1358423993
не указавшие непрерывность проживания в месте постоянного жительства	8240.0	1675.0	4369.0	2023.0	173.0	20.3276699029	53.0218446602	24.5509708738
Городское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	973211.0	169561.0	620703.0	182548.0	399.0	17.4228404734	63.7788722076	18.7572890154
с рождения	499173.0	140300.0	296011.0	62807.0	55.0	28.1064881314	59.3002826675	12.582210977
не с рождения	462185.0	26868.0	317519.0	117721.0	77.0	5.81325659638	68.6995467183	25.4705366899
в том числе:								
с 1992-2002 года	150881.0	22159.0	105009.0	23690.0	23.0	14.6864084941	69.5972322559	15.7011154486
с 1989-1991 года	32247.0	3031.0	25287.0	3925.0	4.0	9.39932396812	78.4165968927	12.1716748845
с 1988 года и ранее	276000.0	1277.0	185228.0	89454.0	41.0	0.46268115942	67.1115942029	32.4108695652
год не указан	3057.0	401.0	1995.0	652.0	9.0	13.1174353942	65.2600588813	21.3280994439
не указавшие непрерывность проживания в месте постоянного жительства	11853.0	2393.0	7173.0	2020.0	267.0	20.1889816924	60.516324981	17.0420990467
Мужчины, проживающие непрерывно в месте постоянного жительства	443198.0	86280.0	297813.0	58921.0	184.0	19.4675968754	67.19637724	13.2945094518
с рождения	238066.0	71632.0	146307.0	20115.0	12.0	30.0891349458	61.4564868566	8.44933757865
не с рождения	199718.0	13495.0	147999.0	38176.0	48.0	6.75702740865	74.1039866211	19.1149520824
в том числе:								
с 1992-2002 года	67423.0	11050.0	49309.0	7050.0	14.0	16.3890660457	73.1337970722	10.4563724545
с 1989-1991 года	14695.0	1621.0	11857.0	1217.0	-	11.0309629126	80.6873086084	8.28172847907
с 1988 года и ранее	116285.0	634.0	85887.0	29730.0	34.0	0.545212194178	73.8590531883	25.5664961087
год не указан	1315.0	190.0	946.0	179.0	-	14.4486692015	71.9391634981	13.6121673004
не указавшие непрерывность проживания в месте постоянного жительства	5414.0	1153.0	3507.0	630.0	124.0	21.296638345	64.7765053565	11.6364979682
Женщины, проживающие непрерывно в месте постоянного жительства	530013.0	83281.0	322890.0	123627.0	215.0	15.7130108129	60.9211472171	23.3252769272
с рождения	261107.0	68668.0	149704.0	42692.0	43.0	26.2987970449	57.3343495195	16.3503850912
не с рождения	262467.0	13373.0	169520.0	79545.0	29.0	5.09511671944	64.5871671486	30.3066671239
в том числе:								
с 1992-2002 года	83458.0	11109.0	55700.0	16640.0	9.0	13.3108869132	66.7401567255	19.9381724939
с 1989-1991 года	17552.0	1410.0	13430.0	2708.0	4.0	8.03327256153	76.5154968095	15.4284412033
с 1988 года и ранее	159715.0	643.0	99341.0	59724.0	7.0	0.402592117209	62.1989168206	37.3941082553
год не указан	1742.0	211.0	1049.0	473.0	9.0	12.1125143513	60.2181400689	27.1526980482
не указавшие непрерывность проживания в месте постоянного жительства	6439.0	1240.0	3666.0	1390.0	143.0	19.2576487032	56.9343065693	21.5872029818
Сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	524374.0	93225.0	264536.0	166495.0	118.0	17.7783414128	50.4479627136	31.7511928509
с рождения	335254.0	73876.0	143080.0	118262.0	36.0	22.0358295501	42.678088852	35.2753434709
не с рождения	185991.0	18534.0	120036.0	47388.0	33.0	9.96499830637	64.5386067068	25.4786521928
в том числе:								
с 1992-2002 года	93020.0	15157.0	59983.0	17860.0	20.0	16.2943453021	64.4839819394	19.200172006
с 1989-1991 года	21964.0	2383.0	16258.0	3320.0	3.0	10.849572027	74.0211254781	15.1156437807
с 1988 года и ранее	68257.0	568.0	42640.0	25039.0	10.0	0.83214908361	62.4697833189	36.6834170854
год не указан	2750.0	426.0	1155.0	1169.0	-	15.4909090909	42.0	42.5090909091
не указавшие непрерывность проживания в месте постоянного жительства	3129.0	815.0	1420.0	845.0	49.0	26.0466602748	45.3819111537	27.0054330457
Мужчины, проживающие непрерывно в месте постоянного жительства	239389.0	47554.0	138422.0	53362.0	51.0	19.8647389813	57.823041159	22.2909156227
с рождения	155433.0	37602.0	80127.0	37683.0	21.0	24.1917739476	51.5508289745	24.2438864334
не с рождения	82628.0	9572.0	57578.0	15467.0	11.0	11.5844507915	69.6834003001	18.7188362298
в том числе:								
с 1992-2002 года	43436.0	7821.0	29774.0	5836.0	5.0	18.0058016392	68.5468275163	13.4358596556
с 1989-1991 года	10360.0	1290.0	7848.0	1221.0	1.0	12.4517374517	75.7528957529	11.7857142857
с 1988 года и ранее	27741.0	247.0	19424.0	8065.0	5.0	0.890378861613	70.0191052954	29.0724919794
год не указан	1091.0	214.0	532.0	345.0	-	19.6150320807	48.7626031164	31.6223648029
не указавшие непрерывность проживания в месте постоянного жительства	1328.0	380.0	717.0	212.0	19.0	28.6144578313	53.9909638554	15.9638554217
Женщины, проживающие непрерывно в месте постоянного жительства	284985.0	45671.0	126114.0	113133.0	67.0	16.0257557415	44.2528554134	39.6978788357
с рождения	179821.0	36274.0	62953.0	80579.0	15.0	20.1722824364	35.0087030992	44.8106728358
не с рождения	103363.0	8962.0	62458.0	31921.0	22.0	8.67041397792	60.4258777319	30.8824240782
в том числе:								
с 1992-2002 года	49584.0	7336.0	30209.0	12024.0	15.0	14.795095192	60.9248951275	24.2497579864
с 1989-1991 года	11604.0	1093.0	8410.0	2099.0	2.0	9.41916580489	72.4750086177	18.0885901413
с 1988 года и ранее	40516.0	321.0	23216.0	16974.0	5.0	0.792279593247	57.3008194294	41.8945601738
год не указан	1659.0	212.0	623.0	824.0	-	12.778782399	37.552742616	49.6684749849
не указавшие непрерывность проживания в месте постоянного жительства	1801.0	435.0	703.0	633.0	30.0	24.1532481954	39.0338700722	35.1471404775
Брянская область								
Городское и сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	1364558.0	244712.0	793406.0	326323.0	117.0	17.9334260618	58.1438092042	23.9141905291
с рождения	911435.0	216562.0	502829.0	192019.0	25.0	23.760553413	55.1689368962	21.0677667634
не с рождения	447641.0	26987.0	287493.0	133152.0	9.0	6.02871497472	64.224009865	29.7452646205
в том числе:								
с 1992-2002 года	141563.0	21981.0	100619.0	18961.0	2.0	15.5273623758	71.0771882483	13.3940365774
с 1989-1991 года	34584.0	3289.0	26418.0	4877.0	-	9.51017811705	76.387925052	14.1018968309
с 1988 года и ранее	267275.0	1054.0	157854.0	108360.0	7.0	0.394350388177	59.0605181929	40.5425123936
год не указан	4219.0	663.0	2602.0	954.0	-	15.7146243186	61.6733823181	22.6119933634
не указавшие непрерывность проживания в месте постоянного жительства	5482.0	1163.0	3084.0	1152.0	83.0	21.2148850784	56.2568405691	21.0142283838
Мужчины, проживающие непрерывно в месте постоянного жительства	617844.0	125245.0	394130.0	98411.0	58.0	20.2712982565	63.791183535	15.9281307256
